CE9	APW_ENG_20030519.0548-CE1
CE10	APW_ENG_20030519.0548-CE2
CE11	APW_ENG_20030519.0548-CE3
CE12	APW_ENG_20030519.0548-CE4
CE13	APW_ENG_20030519.0548-CE5
CE1	APW_ENG_20030519.0548-CE6
CE3	APW_ENG_20030519.0548-CE7
CE4	APW_ENG_20030519.0548-CE8
CE5	APW_ENG_20030519.0548-CE9
CE6	APW_ENG_20030519.0548-CE10
CE7	APW_ENG_20030519.0548-CE11
CE8	APW_ENG_20030519.0548-CE12
CE2	APW_ENG_20030519.0548-CE13
E12	APW_ENG_20030519.0548-E1
E14	APW_ENG_20030519.0548-E2
E15	APW_ENG_20030519.0548-E3
E17	APW_ENG_20030519.0548-E4
E18	APW_ENG_20030519.0548-E5
E19	APW_ENG_20030519.0548-E6
E20	APW_ENG_20030519.0548-E7
E21	APW_ENG_20030519.0548-E8
E23	APW_ENG_20030519.0548-E9
E24	APW_ENG_20030519.0548-E10
E1	APW_ENG_20030519.0548-E11
E2	APW_ENG_20030519.0548-E12
E3	APW_ENG_20030519.0548-E13
E4	APW_ENG_20030519.0548-E14
E5	APW_ENG_20030519.0548-E15
E6	APW_ENG_20030519.0548-E16
E8	APW_ENG_20030519.0548-E17
E11	APW_ENG_20030519.0548-E18
EM1	APW_ENG_20030519.0548-E11-1
EM20	APW_ENG_20030519.0548-E16-2
EM21	APW_ENG_20030519.0548-E1-3
EM23	APW_ENG_20030519.0548-E2-4
EM24	APW_ENG_20030519.0548-E3-5
EM25	APW_ENG_20030519.0548-E12-6
EM26	APW_ENG_20030519.0548-E16-7
EM27	APW_ENG_20030519.0548-E16-8
EM28	APW_ENG_20030519.0548-E12-9
EM29	APW_ENG_20030519.0548-E12-10
EM30	APW_ENG_20030519.0548-E12-11
EM31	APW_ENG_20030519.0548-E12-12
EM32	APW_ENG_20030519.0548-E1-13
EM33	APW_ENG_20030519.0548-E4-14
EM34	APW_ENG_20030519.0548-E5-15
EM35	APW_ENG_20030519.0548-E16-16
EM36	APW_ENG_20030519.0548-E6-17
EM37	APW_ENG_20030519.0548-E16-18
EM38	APW_ENG_20030519.0548-E7-19
EM39	APW_ENG_20030519.0548-E12-20
EM40	APW_ENG_20030519.0548-E8-21
EM41	APW_ENG_20030519.0548-E9-22
EM42	APW_ENG_20030519.0548-E10-23
EM43	APW_ENG_20030519.0548-E12-24
EM44	APW_ENG_20030519.0548-E16-25
EM45	APW_ENG_20030519.0548-E16-26
EM2	APW_ENG_20030519.0548-E12-27
EM3	APW_ENG_20030519.0548-E13-28
EM4	APW_ENG_20030519.0548-E14-29
EM5	APW_ENG_20030519.0548-E15-30
EM6	APW_ENG_20030519.0548-E16-31
EM22	APW_ENG_20030519.0548-E1-32
EM7	APW_ENG_20030519.0548-E12-33
EM8	APW_ENG_20030519.0548-E16-34
EM9	APW_ENG_20030519.0548-E12-35
EM10	APW_ENG_20030519.0548-E16-36
EM11	APW_ENG_20030519.0548-E16-37
EM12	APW_ENG_20030519.0548-E17-38
EM13	APW_ENG_20030519.0548-E18-39
EM14	APW_ENG_20030519.0548-E16-40
EM15	APW_ENG_20030519.0548-E16-41
EM16	APW_ENG_20030519.0548-E16-42
