CE8	XIN_ENG_20030415.0379-CE1
CE11	XIN_ENG_20030415.0379-CE2
CE12	XIN_ENG_20030415.0379-CE3
CE13	XIN_ENG_20030415.0379-CE4
CE14	XIN_ENG_20030415.0379-CE5
CE10	XIN_ENG_20030415.0379-CE6
CE9	XIN_ENG_20030415.0379-CE7
CE1	XIN_ENG_20030415.0379-CE8
CE2	XIN_ENG_20030415.0379-CE9
CE3	XIN_ENG_20030415.0379-CE10
CE4	XIN_ENG_20030415.0379-CE11
CE5	XIN_ENG_20030415.0379-CE12
CE6	XIN_ENG_20030415.0379-CE13
CE7	XIN_ENG_20030415.0379-CE14
E16	XIN_ENG_20030415.0379-E1
E17	XIN_ENG_20030415.0379-E2
E18	XIN_ENG_20030415.0379-E3
E19	XIN_ENG_20030415.0379-E4
E21	XIN_ENG_20030415.0379-E5
E22	XIN_ENG_20030415.0379-E6
E23	XIN_ENG_20030415.0379-E7
E24	XIN_ENG_20030415.0379-E8
E1	XIN_ENG_20030415.0379-E9
E2	XIN_ENG_20030415.0379-E10
E3	XIN_ENG_20030415.0379-E11
E4	XIN_ENG_20030415.0379-E12
E5	XIN_ENG_20030415.0379-E13
E6	XIN_ENG_20030415.0379-E14
E7	XIN_ENG_20030415.0379-E15
E10	XIN_ENG_20030415.0379-E16
E11	XIN_ENG_20030415.0379-E17
E12	XIN_ENG_20030415.0379-E18
E13	XIN_ENG_20030415.0379-E19
EM1	XIN_ENG_20030415.0379-E9-1
EM21	XIN_ENG_20030415.0379-E19-2
EM24	XIN_ENG_20030415.0379-E1-3
EM25	XIN_ENG_20030415.0379-E2-4
EM26	XIN_ENG_20030415.0379-E13-5
EM27	XIN_ENG_20030415.0379-E3-6
EM28	XIN_ENG_20030415.0379-E4-7
EM30	XIN_ENG_20030415.0379-E16-8
EM31	XIN_ENG_20030415.0379-E9-9
EM33	XIN_ENG_20030415.0379-E19-10
EM23	XIN_ENG_20030415.0379-E5-11
EM20	XIN_ENG_20030415.0379-E6-12
EM11	XIN_ENG_20030415.0379-E13-13
EM22	XIN_ENG_20030415.0379-E7-14
EM18	XIN_ENG_20030415.0379-E8-15
EM32	XIN_ENG_20030415.0379-E5-16
EM29	XIN_ENG_20030415.0379-E4-17
EM2	XIN_ENG_20030415.0379-E10-18
EM3	XIN_ENG_20030415.0379-E11-19
EM4	XIN_ENG_20030415.0379-E12-20
EM5	XIN_ENG_20030415.0379-E13-21
EM6	XIN_ENG_20030415.0379-E11-22
EM7	XIN_ENG_20030415.0379-E14-23
EM8	XIN_ENG_20030415.0379-E15-24
EM9	XIN_ENG_20030415.0379-E13-25
EM10	XIN_ENG_20030415.0379-E11-26
EM12	XIN_ENG_20030415.0379-E11-27
EM13	XIN_ENG_20030415.0379-E17-28
EM14	XIN_ENG_20030415.0379-E18-29
EM15	XIN_ENG_20030415.0379-E11-30
EM16	XIN_ENG_20030415.0379-E11-31
EM17	XIN_ENG_20030415.0379-E11-32
EM19	XIN_ENG_20030415.0379-E19-33
R6	XIN_ENG_20030415.0379-R1
R7	XIN_ENG_20030415.0379-R2
R8	XIN_ENG_20030415.0379-R3
R4	XIN_ENG_20030415.0379-R4
R1	XIN_ENG_20030415.0379-R5
R2	XIN_ENG_20030415.0379-R6
R5	XIN_ENG_20030415.0379-R7
R3	XIN_ENG_20030415.0379-R8
RM6	XIN_ENG_20030415.0379-R1-1
RM7	XIN_ENG_20030415.0379-R2-1
RM8	XIN_ENG_20030415.0379-R3-1
RM4	XIN_ENG_20030415.0379-R4-1
RM1	XIN_ENG_20030415.0379-R5-1
RM2	XIN_ENG_20030415.0379-R6-1
RM5	XIN_ENG_20030415.0379-R7-1
RM3	XIN_ENG_20030415.0379-R8-1
V1	XIN_ENG_20030415.0379-EV1
V2	XIN_ENG_20030415.0379-EV2
VM1	XIN_ENG_20030415.0379-EV1-1
VM2	XIN_ENG_20030415.0379-EV2-1
Q1	XIN_ENG_20030415.0379-T1
Q2	XIN_ENG_20030415.0379-T2
Q3	XIN_ENG_20030415.0379-T3
Q7	XIN_ENG_20030415.0379-T4
Q8	XIN_ENG_20030415.0379-T5
Q6	XIN_ENG_20030415.0379-V1
Q9	XIN_ENG_20030415.0379-T6
Q5	XIN_ENG_20030415.0379-T7
Q4	XIN_ENG_20030415.0379-T8
QM6	XIN_ENG_20030415.0379-V1-1
