CE11	AFP_ENG_20030304.0250-CE1
CE12	AFP_ENG_20030304.0250-CE2
CE13	AFP_ENG_20030304.0250-CE3
CE19	AFP_ENG_20030304.0250-CE4
CE14	AFP_ENG_20030304.0250-CE5
CE15	AFP_ENG_20030304.0250-CE6
CE16	AFP_ENG_20030304.0250-CE7
CE17	AFP_ENG_20030304.0250-CE8
CE18	AFP_ENG_20030304.0250-CE9
CE20	AFP_ENG_20030304.0250-CE10
CE21	AFP_ENG_20030304.0250-CE11
CE22	AFP_ENG_20030304.0250-CE12
CE23	AFP_ENG_20030304.0250-CE13
CE24	AFP_ENG_20030304.0250-CE14
CE26	AFP_ENG_20030304.0250-CE15
CE25	AFP_ENG_20030304.0250-CE16
CE27	AFP_ENG_20030304.0250-CE17
CE3	AFP_ENG_20030304.0250-CE18
CE4	AFP_ENG_20030304.0250-CE19
CE5	AFP_ENG_20030304.0250-CE20
CE6	AFP_ENG_20030304.0250-CE21
CE7	AFP_ENG_20030304.0250-CE22
CE8	AFP_ENG_20030304.0250-CE23
CE2	AFP_ENG_20030304.0250-CE24
CE9	AFP_ENG_20030304.0250-CE25
CE10	AFP_ENG_20030304.0250-CE26
CE1	AFP_ENG_20030304.0250-CE27
E18	AFP_ENG_20030304.0250-E1
E19	AFP_ENG_20030304.0250-E2
E20	AFP_ENG_20030304.0250-E3
E21	AFP_ENG_20030304.0250-E4
E22	AFP_ENG_20030304.0250-E5
E24	AFP_ENG_20030304.0250-E6
E25	AFP_ENG_20030304.0250-E7
E26	AFP_ENG_20030304.0250-E8
E27	AFP_ENG_20030304.0250-E9
E28	AFP_ENG_20030304.0250-E10
E29	AFP_ENG_20030304.0250-E11
E30	AFP_ENG_20030304.0250-E12
E31	AFP_ENG_20030304.0250-E13
E32	AFP_ENG_20030304.0250-E14
E34	AFP_ENG_20030304.0250-E15
E35	AFP_ENG_20030304.0250-E16
E37	AFP_ENG_20030304.0250-E17
E38	AFP_ENG_20030304.0250-E18
E39	AFP_ENG_20030304.0250-E19
E40	AFP_ENG_20030304.0250-E20
E1	AFP_ENG_20030304.0250-E21
E2	AFP_ENG_20030304.0250-E22
E3	AFP_ENG_20030304.0250-E23
E4	AFP_ENG_20030304.0250-E24
E5	AFP_ENG_20030304.0250-E25
E7	AFP_ENG_20030304.0250-E26
E8	AFP_ENG_20030304.0250-E27
E10	AFP_ENG_20030304.0250-E28
E11	AFP_ENG_20030304.0250-E29
E12	AFP_ENG_20030304.0250-E30
E13	AFP_ENG_20030304.0250-E31
E46	AFP_ENG_20030304.0250-E32
E47	AFP_ENG_20030304.0250-E33
EM1	AFP_ENG_20030304.0250-E21-1
EM12	AFP_ENG_20030304.0250-E1-2
EM13	AFP_ENG_20030304.0250-E1-3
EM14	AFP_ENG_20030304.0250-E2-4
EM15	AFP_ENG_20030304.0250-E3-5
EM16	AFP_ENG_20030304.0250-E4-6
EM17	AFP_ENG_20030304.0250-E5-7
EM18	AFP_ENG_20030304.0250-E6-8
EM19	AFP_ENG_20030304.0250-E7-9
EM20	AFP_ENG_20030304.0250-E8-10
EM21	AFP_ENG_20030304.0250-E26-11
EM22	AFP_ENG_20030304.0250-E9-12
EM24	AFP_ENG_20030304.0250-E21-13
EM26	AFP_ENG_20030304.0250-E10-14
EM25	AFP_ENG_20030304.0250-E7-15
EM27	AFP_ENG_20030304.0250-E8-16
EM28	AFP_ENG_20030304.0250-E11-17
EM29	AFP_ENG_20030304.0250-E12-18
EM31	AFP_ENG_20030304.0250-E13-19
EM32	AFP_ENG_20030304.0250-E14-20
EM33	AFP_ENG_20030304.0250-E15-21
EM34	AFP_ENG_20030304.0250-E16-22
EM36	AFP_ENG_20030304.0250-E17-23
EM38	AFP_ENG_20030304.0250-E18-24
EM37	AFP_ENG_20030304.0250-E19-25
EM39	AFP_ENG_20030304.0250-E20-26
EM2	AFP_ENG_20030304.0250-E22-27
EM3	AFP_ENG_20030304.0250-E23-28
EM4	AFP_ENG_20030304.0250-E24-29
EM5	AFP_ENG_20030304.0250-E25-30
EM11	AFP_ENG_20030304.0250-E29-31
EM6	AFP_ENG_20030304.0250-E27-32
EM7	AFP_ENG_20030304.0250-E28-33
EM8	AFP_ENG_20030304.0250-E29-34
EM9	AFP_ENG_20030304.0250-E30-35
EM10	AFP_ENG_20030304.0250-E31-36
EM23	AFP_ENG_20030304.0250-E32-37
EM40	AFP_ENG_20030304.0250-E14-38
EM35	AFP_ENG_20030304.0250-E14-39
EM30	AFP_ENG_20030304.0250-E33-40
R4	AFP_ENG_20030304.0250-R1
R1	AFP_ENG_20030304.0250-R2
R2	AFP_ENG_20030304.0250-R3
R3	AFP_ENG_20030304.0250-R4
R5	AFP_ENG_20030304.0250-R5
R9	AFP_ENG_20030304.0250-R6
R10	AFP_ENG_20030304.0250-R7
R7	AFP_ENG_20030304.0250-R8
R11	AFP_ENG_20030304.0250-R9
RM4	AFP_ENG_20030304.0250-R1-1
RM7	AFP_ENG_20030304.0250-R8-1
RM1	AFP_ENG_20030304.0250-R2-1
RM2	AFP_ENG_20030304.0250-R3-1
RM3	AFP_ENG_20030304.0250-R4-1
RM5	AFP_ENG_20030304.0250-R5-1
RM9	AFP_ENG_20030304.0250-R6-1
RM10	AFP_ENG_20030304.0250-R7-1
RM11	AFP_ENG_20030304.0250-R9-1
V1	AFP_ENG_20030304.0250-EV1
V2	AFP_ENG_20030304.0250-EV2
V3	AFP_ENG_20030304.0250-EV3
V4	AFP_ENG_20030304.0250-EV4
V6	AFP_ENG_20030304.0250-EV5
V7	AFP_ENG_20030304.0250-EV6
V5	AFP_ENG_20030304.0250-EV7
V8	AFP_ENG_20030304.0250-EV8
VM7	AFP_ENG_20030304.0250-EV2-1
VM8	AFP_ENG_20030304.0250-EV2-2
VM14	AFP_ENG_20030304.0250-EV2-3
VM1	AFP_ENG_20030304.0250-EV1-1
VM2	AFP_ENG_20030304.0250-EV2-4
VM3	AFP_ENG_20030304.0250-EV3-1
VM4	AFP_ENG_20030304.0250-EV4-1
VM6	AFP_ENG_20030304.0250-EV1-2
VM11	AFP_ENG_20030304.0250-EV5-1
VM9	AFP_ENG_20030304.0250-EV3-2
VM10	AFP_ENG_20030304.0250-EV5-2
VM12	AFP_ENG_20030304.0250-EV6-1
VM13	AFP_ENG_20030304.0250-EV3-3
VM5	AFP_ENG_20030304.0250-EV7-1
VM15	AFP_ENG_20030304.0250-EV8-1
Q3	AFP_ENG_20030304.0250-T1
Q2	AFP_ENG_20030304.0250-T2
Q4	AFP_ENG_20030304.0250-T3
Q1	AFP_ENG_20030304.0250-T4
