CE10	APW_ENG_20030424.0698-CE1
CE11	APW_ENG_20030424.0698-CE2
CE12	APW_ENG_20030424.0698-CE3
CE1	APW_ENG_20030424.0698-CE4
CE13	APW_ENG_20030424.0698-CE5
CE14	APW_ENG_20030424.0698-CE6
CE15	APW_ENG_20030424.0698-CE7
CE16	APW_ENG_20030424.0698-CE8
CE17	APW_ENG_20030424.0698-CE9
CE18	APW_ENG_20030424.0698-CE10
CE2	APW_ENG_20030424.0698-CE11
CE19	APW_ENG_20030424.0698-CE12
CE20	APW_ENG_20030424.0698-CE13
CE21	APW_ENG_20030424.0698-CE14
CE22	APW_ENG_20030424.0698-CE15
CE23	APW_ENG_20030424.0698-CE16
CE24	APW_ENG_20030424.0698-CE17
CE25	APW_ENG_20030424.0698-CE18
CE3	APW_ENG_20030424.0698-CE19
CE26	APW_ENG_20030424.0698-CE20
CE27	APW_ENG_20030424.0698-CE21
CE28	APW_ENG_20030424.0698-CE22
CE4	APW_ENG_20030424.0698-CE23
CE5	APW_ENG_20030424.0698-CE24
CE6	APW_ENG_20030424.0698-CE25
CE7	APW_ENG_20030424.0698-CE26
CE8	APW_ENG_20030424.0698-CE27
CE9	APW_ENG_20030424.0698-CE28
E14	APW_ENG_20030424.0698-E1
E15	APW_ENG_20030424.0698-E2
E16	APW_ENG_20030424.0698-E3
E17	APW_ENG_20030424.0698-E4
E19	APW_ENG_20030424.0698-E5
E20	APW_ENG_20030424.0698-E6
E21	APW_ENG_20030424.0698-E7
E22	APW_ENG_20030424.0698-E8
E23	APW_ENG_20030424.0698-E9
E24	APW_ENG_20030424.0698-E10
E25	APW_ENG_20030424.0698-E11
E26	APW_ENG_20030424.0698-E12
E27	APW_ENG_20030424.0698-E13
E29	APW_ENG_20030424.0698-E14
E1	APW_ENG_20030424.0698-E15
E31	APW_ENG_20030424.0698-E16
E33	APW_ENG_20030424.0698-E17
E34	APW_ENG_20030424.0698-E18
E35	APW_ENG_20030424.0698-E19
E36	APW_ENG_20030424.0698-E20
E37	APW_ENG_20030424.0698-E21
E38	APW_ENG_20030424.0698-E22
E39	APW_ENG_20030424.0698-E23
E40	APW_ENG_20030424.0698-E24
E41	APW_ENG_20030424.0698-E25
E42	APW_ENG_20030424.0698-E26
E43	APW_ENG_20030424.0698-E27
E44	APW_ENG_20030424.0698-E28
E45	APW_ENG_20030424.0698-E29
E46	APW_ENG_20030424.0698-E30
E47	APW_ENG_20030424.0698-E31
E48	APW_ENG_20030424.0698-E32
E49	APW_ENG_20030424.0698-E33
E50	APW_ENG_20030424.0698-E34
E2	APW_ENG_20030424.0698-E35
E3	APW_ENG_20030424.0698-E36
