CE3	AZZAMOH_20041204.1015-CE1
CE4	AZZAMOH_20041204.1015-CE2
CE5	AZZAMOH_20041204.1015-CE3
CE6	AZZAMOH_20041204.1015-CE4
CE7	AZZAMOH_20041204.1015-CE5
CE8	AZZAMOH_20041204.1015-CE6
CE9	AZZAMOH_20041204.1015-CE7
CE10	AZZAMOH_20041204.1015-CE8
CE13	AZZAMOH_20041204.1015-CE9
CE14	AZZAMOH_20041204.1015-CE10
CE15	AZZAMOH_20041204.1015-CE11
CE1	AZZAMOH_20041204.1015-CE12
CE16	AZZAMOH_20041204.1015-CE13
CE17	AZZAMOH_20041204.1015-CE14
CE18	AZZAMOH_20041204.1015-CE15
CE2	AZZAMOH_20041204.1015-CE16
CE19	AZZAMOH_20041204.1015-CE17
CE20	AZZAMOH_20041204.1015-CE18
CE21	AZZAMOH_20041204.1015-CE19
CE22	AZZAMOH_20041204.1015-CE20
CE23	AZZAMOH_20041204.1015-CE21
CE24	AZZAMOH_20041204.1015-CE22
CE25	AZZAMOH_20041204.1015-CE23
CE27	AZZAMOH_20041204.1015-CE24
E3	AZZAMOH_20041204.1015-E1
E4	AZZAMOH_20041204.1015-E2
E5	AZZAMOH_20041204.1015-E3
E6	AZZAMOH_20041204.1015-E4
E7	AZZAMOH_20041204.1015-E5
E8	AZZAMOH_20041204.1015-E6
E9	AZZAMOH_20041204.1015-E7
E10	AZZAMOH_20041204.1015-E8
E1	AZZAMOH_20041204.1015-E9
E13	AZZAMOH_20041204.1015-E10
E14	AZZAMOH_20041204.1015-E11
E15	AZZAMOH_20041204.1015-E12
E2	AZZAMOH_20041204.1015-E13
E16	AZZAMOH_20041204.1015-E14
E17	AZZAMOH_20041204.1015-E15
E18	AZZAMOH_20041204.1015-E16
E19	AZZAMOH_20041204.1015-E17
E20	AZZAMOH_20041204.1015-E18
E21	AZZAMOH_20041204.1015-E19
E22	AZZAMOH_20041204.1015-E20
E23	AZZAMOH_20041204.1015-E21
E24	AZZAMOH_20041204.1015-E22
E25	AZZAMOH_20041204.1015-E23
E27	AZZAMOH_20041204.1015-E24
EM1	AZZAMOH_20041204.1015-E9-1
EM29	AZZAMOH_20041204.1015-E9-2
EM30	AZZAMOH_20041204.1015-E9-3
EM31	AZZAMOH_20041204.1015-E9-4
EM32	AZZAMOH_20041204.1015-E9-5
EM33	AZZAMOH_20041204.1015-E9-6
EM34	AZZAMOH_20041204.1015-E9-7
EM35	AZZAMOH_20041204.1015-E13-8
EM36	AZZAMOH_20041204.1015-E9-9
EM37	AZZAMOH_20041204.1015-E9-10
EM38	AZZAMOH_20041204.1015-E9-11
EM39	AZZAMOH_20041204.1015-E9-12
EM40	AZZAMOH_20041204.1015-E9-13
EM41	AZZAMOH_20041204.1015-E9-14
EM42	AZZAMOH_20041204.1015-E9-15
EM43	AZZAMOH_20041204.1015-E9-16
EM44	AZZAMOH_20041204.1015-E9-17
EM45	AZZAMOH_20041204.1015-E9-18
EM46	AZZAMOH_20041204.1015-E9-19
EM47	AZZAMOH_20041204.1015-E9-20
EM48	AZZAMOH_20041204.1015-E9-21
EM49	AZZAMOH_20041204.1015-E9-22
EM50	AZZAMOH_20041204.1015-E9-23
EM51	AZZAMOH_20041204.1015-E9-24
EM52	AZZAMOH_20041204.1015-E9-25
EM53	AZZAMOH_20041204.1015-E9-26
EM54	AZZAMOH_20041204.1015-E9-27
EM55	AZZAMOH_20041204.1015-E9-28
EM56	AZZAMOH_20041204.1015-E9-29
EM57	AZZAMOH_20041204.1015-E1-30
EM58	AZZAMOH_20041204.1015-E2-31
EM59	AZZAMOH_20041204.1015-E3-32
EM60	AZZAMOH_20041204.1015-E3-33
EM61	AZZAMOH_20041204.1015-E9-34
EM62	AZZAMOH_20041204.1015-E9-35
EM63	AZZAMOH_20041204.1015-E4-36
EM64	AZZAMOH_20041204.1015-E5-37
EM65	AZZAMOH_20041204.1015-E6-38
EM66	AZZAMOH_20041204.1015-E7-39
EM67	AZZAMOH_20041204.1015-E7-40
EM68	AZZAMOH_20041204.1015-E9-41
EM69	AZZAMOH_20041204.1015-E4-42
EM70	AZZAMOH_20041204.1015-E2-43
EM71	AZZAMOH_20041204.1015-E8-44
EM72	AZZAMOH_20041204.1015-E8-45
EM73	AZZAMOH_20041204.1015-E8-46
EM74	AZZAMOH_20041204.1015-E8-47
EM75	AZZAMOH_20041204.1015-E8-48
EM76	AZZAMOH_20041204.1015-E8-49
EM354	AZZAMOH_20041204.1015-E13-50
EM80	AZZAMOH_20041204.1015-E10-51
EM81	AZZAMOH_20041204.1015-E11-52
EM82	AZZAMOH_20041204.1015-E12-53
EM83	AZZAMOH_20041204.1015-E11-54
EM84	AZZAMOH_20041204.1015-E9-55
EM85	AZZAMOH_20041204.1015-E9-56
EM86	AZZAMOH_20041204.1015-E9-57
EM87	AZZAMOH_20041204.1015-E9-58
EM88	AZZAMOH_20041204.1015-E9-59
EM349	AZZAMOH_20041204.1015-E16-60
EM90	AZZAMOH_20041204.1015-E9-61
EM91	AZZAMOH_20041204.1015-E9-62
EM92	AZZAMOH_20041204.1015-E9-63
EM93	AZZAMOH_20041204.1015-E9-64
EM94	AZZAMOH_20041204.1015-E9-65
EM95	AZZAMOH_20041204.1015-E9-66
