CE11	DIGRESSING_20050102.0130-CE1
CE12	DIGRESSING_20050102.0130-CE2
CE13	DIGRESSING_20050102.0130-CE3
CE14	DIGRESSING_20050102.0130-CE4
CE15	DIGRESSING_20050102.0130-CE5
CE16	DIGRESSING_20050102.0130-CE6
CE33	DIGRESSING_20050102.0130-CE7
CE17	DIGRESSING_20050102.0130-CE8
CE18	DIGRESSING_20050102.0130-CE9
CE19	DIGRESSING_20050102.0130-CE10
CE21	DIGRESSING_20050102.0130-CE11
CE22	DIGRESSING_20050102.0130-CE12
CE23	DIGRESSING_20050102.0130-CE13
CE24	DIGRESSING_20050102.0130-CE14
CE25	DIGRESSING_20050102.0130-CE15
CE48	DIGRESSING_20050102.0130-CE16
CE26	DIGRESSING_20050102.0130-CE17
CE27	DIGRESSING_20050102.0130-CE18
CE34	DIGRESSING_20050102.0130-CE19
CE28	DIGRESSING_20050102.0130-CE20
CE29	DIGRESSING_20050102.0130-CE21
CE31	DIGRESSING_20050102.0130-CE22
CE35	DIGRESSING_20050102.0130-CE23
CE36	DIGRESSING_20050102.0130-CE24
CE1	DIGRESSING_20050102.0130-CE25
CE37	DIGRESSING_20050102.0130-CE26
CE38	DIGRESSING_20050102.0130-CE27
CE39	DIGRESSING_20050102.0130-CE28
CE40	DIGRESSING_20050102.0130-CE29
CE42	DIGRESSING_20050102.0130-CE30
CE43	DIGRESSING_20050102.0130-CE31
CE46	DIGRESSING_20050102.0130-CE32
CE47	DIGRESSING_20050102.0130-CE33
CE51	DIGRESSING_20050102.0130-CE34
CE52	DIGRESSING_20050102.0130-CE35
CE53	DIGRESSING_20050102.0130-CE36
CE54	DIGRESSING_20050102.0130-CE37
CE2	DIGRESSING_20050102.0130-CE38
CE3	DIGRESSING_20050102.0130-CE39
CE4	DIGRESSING_20050102.0130-CE40
CE5	DIGRESSING_20050102.0130-CE41
CE6	DIGRESSING_20050102.0130-CE42
CE8	DIGRESSING_20050102.0130-CE43
CE9	DIGRESSING_20050102.0130-CE44
CE32	DIGRESSING_20050102.0130-CE45
E11	DIGRESSING_20050102.0130-E1
E12	DIGRESSING_20050102.0130-E2
E13	DIGRESSING_20050102.0130-E3
E14	DIGRESSING_20050102.0130-E4
E15	DIGRESSING_20050102.0130-E5
E53	DIGRESSING_20050102.0130-E6
E17	DIGRESSING_20050102.0130-E7
E18	DIGRESSING_20050102.0130-E8
E19	DIGRESSING_20050102.0130-E9
E20	DIGRESSING_20050102.0130-E10
E37	DIGRESSING_20050102.0130-E11
E22	DIGRESSING_20050102.0130-E12
E23	DIGRESSING_20050102.0130-E13
E24	DIGRESSING_20050102.0130-E14
E25	DIGRESSING_20050102.0130-E15
E26	DIGRESSING_20050102.0130-E16
E27	DIGRESSING_20050102.0130-E17
E28	DIGRESSING_20050102.0130-E18
E1	DIGRESSING_20050102.0130-E19
E30	DIGRESSING_20050102.0130-E20
E31	DIGRESSING_20050102.0130-E21
E32	DIGRESSING_20050102.0130-E22
E34	DIGRESSING_20050102.0130-E23
E38	DIGRESSING_20050102.0130-E24
E40	DIGRESSING_20050102.0130-E25
E41	DIGRESSING_20050102.0130-E26
E42	DIGRESSING_20050102.0130-E27
E43	DIGRESSING_20050102.0130-E28
E44	DIGRESSING_20050102.0130-E29
E45	DIGRESSING_20050102.0130-E30
E47	DIGRESSING_20050102.0130-E31
E48	DIGRESSING_20050102.0130-E32
E51	DIGRESSING_20050102.0130-E33
E52	DIGRESSING_20050102.0130-E34
E56	DIGRESSING_20050102.0130-E35
E57	DIGRESSING_20050102.0130-E36
E58	DIGRESSING_20050102.0130-E37
E59	DIGRESSING_20050102.0130-E38
E2	DIGRESSING_20050102.0130-E39
E3	DIGRESSING_20050102.0130-E40
E4	DIGRESSING_20050102.0130-E41
E5	DIGRESSING_20050102.0130-E42
E6	DIGRESSING_20050102.0130-E43
E35	DIGRESSING_20050102.0130-E44
E8	DIGRESSING_20050102.0130-E45
E9	DIGRESSING_20050102.0130-E46
E36	DIGRESSING_20050102.0130-E47
EM1	DIGRESSING_20050102.0130-E19-1
EM22	DIGRESSING_20050102.0130-E46-2
EM23	DIGRESSING_20050102.0130-E1-3
EM24	DIGRESSING_20050102.0130-E2-4
EM25	DIGRESSING_20050102.0130-E3-5
EM26	DIGRESSING_20050102.0130-E46-6
EM27	DIGRESSING_20050102.0130-E3-7
EM28	DIGRESSING_20050102.0130-E3-8
EM29	DIGRESSING_20050102.0130-E4-9
EM30	DIGRESSING_20050102.0130-E4-10
EM31	DIGRESSING_20050102.0130-E5-11
EM32	DIGRESSING_20050102.0130-E5-12
EM33	DIGRESSING_20050102.0130-E5-13
EM34	DIGRESSING_20050102.0130-E5-14
EM35	DIGRESSING_20050102.0130-E4-15
EM36	DIGRESSING_20050102.0130-E5-16
EM37	DIGRESSING_20050102.0130-E4-17
EM38	DIGRESSING_20050102.0130-E4-18
EM39	DIGRESSING_20050102.0130-E4-19
EM40	DIGRESSING_20050102.0130-E7-20
EM42	DIGRESSING_20050102.0130-E8-21
EM43	DIGRESSING_20050102.0130-E9-22
EM44	DIGRESSING_20050102.0130-E10-23
