CE6	EBREAZ_20041125.0450-CE1
CE7	EBREAZ_20041125.0450-CE2
CE8	EBREAZ_20041125.0450-CE3
CE9	EBREAZ_20041125.0450-CE4
CE10	EBREAZ_20041125.0450-CE5
CE11	EBREAZ_20041125.0450-CE6
CE12	EBREAZ_20041125.0450-CE7
CE13	EBREAZ_20041125.0450-CE8
CE14	EBREAZ_20041125.0450-CE9
CE15	EBREAZ_20041125.0450-CE10
CE16	EBREAZ_20041125.0450-CE11
CE17	EBREAZ_20041125.0450-CE12
CE18	EBREAZ_20041125.0450-CE13
CE19	EBREAZ_20041125.0450-CE14
CE1	EBREAZ_20041125.0450-CE15
CE2	EBREAZ_20041125.0450-CE16
CE3	EBREAZ_20041125.0450-CE17
CE4	EBREAZ_20041125.0450-CE18
CE5	EBREAZ_20041125.0450-CE19
E9	EBREAZ_20041125.0450-E1
E10	EBREAZ_20041125.0450-E2
E11	EBREAZ_20041125.0450-E3
E12	EBREAZ_20041125.0450-E4
E13	EBREAZ_20041125.0450-E5
E14	EBREAZ_20041125.0450-E6
E15	EBREAZ_20041125.0450-E7
E18	EBREAZ_20041125.0450-E8
E19	EBREAZ_20041125.0450-E9
E20	EBREAZ_20041125.0450-E10
E21	EBREAZ_20041125.0450-E11
E22	EBREAZ_20041125.0450-E12
E23	EBREAZ_20041125.0450-E13
E25	EBREAZ_20041125.0450-E14
E26	EBREAZ_20041125.0450-E15
E27	EBREAZ_20041125.0450-E16
E1	EBREAZ_20041125.0450-E17
E3	EBREAZ_20041125.0450-E18
E4	EBREAZ_20041125.0450-E19
E5	EBREAZ_20041125.0450-E20
E6	EBREAZ_20041125.0450-E21
E7	EBREAZ_20041125.0450-E22
EM24	EBREAZ_20041125.0450-E19-1
EM25	EBREAZ_20041125.0450-E19-2
EM26	EBREAZ_20041125.0450-E19-3
EM27	EBREAZ_20041125.0450-E19-4
EM28	EBREAZ_20041125.0450-E19-5
EM29	EBREAZ_20041125.0450-E19-6
EM30	EBREAZ_20041125.0450-E19-7
EM31	EBREAZ_20041125.0450-E19-8
EM32	EBREAZ_20041125.0450-E19-9
EM33	EBREAZ_20041125.0450-E19-10
EM34	EBREAZ_20041125.0450-E19-11
EM35	EBREAZ_20041125.0450-E19-12
EM36	EBREAZ_20041125.0450-E19-13
EM37	EBREAZ_20041125.0450-E19-14
EM38	EBREAZ_20041125.0450-E19-15
EM39	EBREAZ_20041125.0450-E19-16
EM40	EBREAZ_20041125.0450-E19-17
EM41	EBREAZ_20041125.0450-E19-18
EM42	EBREAZ_20041125.0450-E19-19
EM43	EBREAZ_20041125.0450-E19-20
EM44	EBREAZ_20041125.0450-E19-21
EM45	EBREAZ_20041125.0450-E19-22
EM46	EBREAZ_20041125.0450-E19-23
EM47	EBREAZ_20041125.0450-E19-24
EM48	EBREAZ_20041125.0450-E19-25
EM50	EBREAZ_20041125.0450-E19-26
EM51	EBREAZ_20041125.0450-E19-27
EM52	EBREAZ_20041125.0450-E19-28
EM53	EBREAZ_20041125.0450-E19-29
EM54	EBREAZ_20041125.0450-E19-30
EM55	EBREAZ_20041125.0450-E1-31
