CE8	HADOUTA_20050221.1055-CE1
CE9	HADOUTA_20050221.1055-CE2
CE10	HADOUTA_20050221.1055-CE3
CE11	HADOUTA_20050221.1055-CE4
CE12	HADOUTA_20050221.1055-CE5
CE13	HADOUTA_20050221.1055-CE6
CE14	HADOUTA_20050221.1055-CE7
CE1	HADOUTA_20050221.1055-CE8
CE17	HADOUTA_20050221.1055-CE9
CE18	HADOUTA_20050221.1055-CE10
CE19	HADOUTA_20050221.1055-CE11
CE20	HADOUTA_20050221.1055-CE12
CE21	HADOUTA_20050221.1055-CE13
CE22	HADOUTA_20050221.1055-CE14
CE23	HADOUTA_20050221.1055-CE15
CE24	HADOUTA_20050221.1055-CE16
CE2	HADOUTA_20050221.1055-CE17
CE3	HADOUTA_20050221.1055-CE18
CE4	HADOUTA_20050221.1055-CE19
CE5	HADOUTA_20050221.1055-CE20
CE6	HADOUTA_20050221.1055-CE21
CE7	HADOUTA_20050221.1055-CE22
E9	HADOUTA_20050221.1055-E1
E10	HADOUTA_20050221.1055-E2
E11	HADOUTA_20050221.1055-E3
E12	HADOUTA_20050221.1055-E4
E13	HADOUTA_20050221.1055-E5
E1	HADOUTA_20050221.1055-E6
E14	HADOUTA_20050221.1055-E7
E15	HADOUTA_20050221.1055-E8
E16	HADOUTA_20050221.1055-E9
E19	HADOUTA_20050221.1055-E10
E20	HADOUTA_20050221.1055-E11
E21	HADOUTA_20050221.1055-E12
E22	HADOUTA_20050221.1055-E13
E24	HADOUTA_20050221.1055-E14
E25	HADOUTA_20050221.1055-E15
E26	HADOUTA_20050221.1055-E16
E27	HADOUTA_20050221.1055-E17
E28	HADOUTA_20050221.1055-E18
E2	HADOUTA_20050221.1055-E19
E3	HADOUTA_20050221.1055-E20
E5	HADOUTA_20050221.1055-E21
E6	HADOUTA_20050221.1055-E22
E7	HADOUTA_20050221.1055-E23
E8	HADOUTA_20050221.1055-E24
EM1	HADOUTA_20050221.1055-E6-1
EM23	HADOUTA_20050221.1055-E19-2
EM24	HADOUTA_20050221.1055-E6-3
EM25	HADOUTA_20050221.1055-E6-4
EM26	HADOUTA_20050221.1055-E6-5
EM27	HADOUTA_20050221.1055-E1-6
EM146	HADOUTA_20050221.1055-E6-7
EM29	HADOUTA_20050221.1055-E1-8
EM30	HADOUTA_20050221.1055-E1-9
EM31	HADOUTA_20050221.1055-E3-10
EM32	HADOUTA_20050221.1055-E6-11
EM33	HADOUTA_20050221.1055-E20-12
EM34	HADOUTA_20050221.1055-E1-13
EM35	HADOUTA_20050221.1055-E6-14
EM36	HADOUTA_20050221.1055-E20-15
EM37	HADOUTA_20050221.1055-E6-16
EM38	HADOUTA_20050221.1055-E6-17
EM39	HADOUTA_20050221.1055-E6-18
EM147	HADOUTA_20050221.1055-E17-19
EM41	HADOUTA_20050221.1055-E2-20
EM143	HADOUTA_20050221.1055-E2-21
