CE9	ZAYEDALSAIDI_20050129.2053-CE1
CE10	ZAYEDALSAIDI_20050129.2053-CE2
CE11	ZAYEDALSAIDI_20050129.2053-CE3
CE13	ZAYEDALSAIDI_20050129.2053-CE4
CE14	ZAYEDALSAIDI_20050129.2053-CE5
CE15	ZAYEDALSAIDI_20050129.2053-CE6
CE16	ZAYEDALSAIDI_20050129.2053-CE7
CE17	ZAYEDALSAIDI_20050129.2053-CE8
CE18	ZAYEDALSAIDI_20050129.2053-CE9
CE20	ZAYEDALSAIDI_20050129.2053-CE10
CE21	ZAYEDALSAIDI_20050129.2053-CE11
CE22	ZAYEDALSAIDI_20050129.2053-CE12
CE23	ZAYEDALSAIDI_20050129.2053-CE13
CE25	ZAYEDALSAIDI_20050129.2053-CE14
CE1	ZAYEDALSAIDI_20050129.2053-CE15
CE2	ZAYEDALSAIDI_20050129.2053-CE16
CE3	ZAYEDALSAIDI_20050129.2053-CE17
CE5	ZAYEDALSAIDI_20050129.2053-CE18
CE6	ZAYEDALSAIDI_20050129.2053-CE19
CE7	ZAYEDALSAIDI_20050129.2053-CE20
E12	ZAYEDALSAIDI_20050129.2053-E1
E13	ZAYEDALSAIDI_20050129.2053-E2
E15	ZAYEDALSAIDI_20050129.2053-E3
E16	ZAYEDALSAIDI_20050129.2053-E4
E17	ZAYEDALSAIDI_20050129.2053-E5
E18	ZAYEDALSAIDI_20050129.2053-E6
E19	ZAYEDALSAIDI_20050129.2053-E7
E20	ZAYEDALSAIDI_20050129.2053-E8
E21	ZAYEDALSAIDI_20050129.2053-E9
E23	ZAYEDALSAIDI_20050129.2053-E10
E24	ZAYEDALSAIDI_20050129.2053-E11
E25	ZAYEDALSAIDI_20050129.2053-E12
E1	ZAYEDALSAIDI_20050129.2053-E13
E26	ZAYEDALSAIDI_20050129.2053-E14
E28	ZAYEDALSAIDI_20050129.2053-E15
E2	ZAYEDALSAIDI_20050129.2053-E16
E3	ZAYEDALSAIDI_20050129.2053-E17
E6	ZAYEDALSAIDI_20050129.2053-E18
E8	ZAYEDALSAIDI_20050129.2053-E19
E9	ZAYEDALSAIDI_20050129.2053-E20
E11	ZAYEDALSAIDI_20050129.2053-E21
EM1	ZAYEDALSAIDI_20050129.2053-E13-1
EM19	ZAYEDALSAIDI_20050129.2053-E20-2
EM20	ZAYEDALSAIDI_20050129.2053-E1-3
EM21	ZAYEDALSAIDI_20050129.2053-E2-4
EM22	ZAYEDALSAIDI_20050129.2053-E2-5
EM24	ZAYEDALSAIDI_20050129.2053-E2-6
EM25	ZAYEDALSAIDI_20050129.2053-E3-7
EM26	ZAYEDALSAIDI_20050129.2053-E2-8
