CE6	HADOUTA_20041215.0106-CE1
CE1	HADOUTA_20041215.0106-CE2
CE2	HADOUTA_20041215.0106-CE3
CE3	HADOUTA_20041215.0106-CE4
CE4	HADOUTA_20041215.0106-CE5
CE7	HADOUTA_20041215.0106-CE6
E6	HADOUTA_20041215.0106-E1
E1	HADOUTA_20041215.0106-E2
E2	HADOUTA_20041215.0106-E3
E3	HADOUTA_20041215.0106-E4
E4	HADOUTA_20041215.0106-E5
E7	HADOUTA_20041215.0106-E6
EM1	HADOUTA_20041215.0106-E2-1
EM27	HADOUTA_20041215.0106-E3-2
EM28	HADOUTA_20041215.0106-E3-3
EM29	HADOUTA_20041215.0106-E2-4
EM31	HADOUTA_20041215.0106-E3-5
EM32	HADOUTA_20041215.0106-E2-6
EM33	HADOUTA_20041215.0106-E1-7
EM34	HADOUTA_20041215.0106-E1-8
EM35	HADOUTA_20041215.0106-E1-9
EM36	HADOUTA_20041215.0106-E1-10
EM37	HADOUTA_20041215.0106-E1-11
EM38	HADOUTA_20041215.0106-E1-12
EM39	HADOUTA_20041215.0106-E1-13
EM43	HADOUTA_20041215.0106-E5-14
EM44	HADOUTA_20041215.0106-E5-15
EM2	HADOUTA_20041215.0106-E2-16
EM3	HADOUTA_20041215.0106-E3-17
EM40	HADOUTA_20041215.0106-E4-18
EM6	HADOUTA_20041215.0106-E4-19
EM7	HADOUTA_20041215.0106-E4-20
EM8	HADOUTA_20041215.0106-E5-21
EM9	HADOUTA_20041215.0106-E2-22
EM10	HADOUTA_20041215.0106-E2-23
EM11	HADOUTA_20041215.0106-E5-24
EM12	HADOUTA_20041215.0106-E5-25
EM41	HADOUTA_20041215.0106-E6-26
EM14	HADOUTA_20041215.0106-E5-27
EM16	HADOUTA_20041215.0106-E2-28
EM17	HADOUTA_20041215.0106-E2-29
EM18	HADOUTA_20041215.0106-E2-30
EM19	HADOUTA_20041215.0106-E2-31
EM20	HADOUTA_20041215.0106-E3-32
EM21	HADOUTA_20041215.0106-E3-33
EM42	HADOUTA_20041215.0106-E3-34
EM23	HADOUTA_20041215.0106-E2-35
EM24	HADOUTA_20041215.0106-E2-36
EM25	HADOUTA_20041215.0106-E2-37
EM26	HADOUTA_20041215.0106-E2-38
R4	HADOUTA_20041215.0106-R1
R5	HADOUTA_20041215.0106-R2
R6	HADOUTA_20041215.0106-R3
RM4	HADOUTA_20041215.0106-R1-1
RM5	HADOUTA_20041215.0106-R2-1
RM6	HADOUTA_20041215.0106-R3-1
Q1	HADOUTA_20041215.0106-T1
Q3	HADOUTA_20041215.0106-T2
