CE3	DIGRESSING_20041115.1932-CE1
CE4	DIGRESSING_20041115.1932-CE2
CE5	DIGRESSING_20041115.1932-CE3
CE6	DIGRESSING_20041115.1932-CE4
CE7	DIGRESSING_20041115.1932-CE5
CE8	DIGRESSING_20041115.1932-CE6
CE9	DIGRESSING_20041115.1932-CE7
CE10	DIGRESSING_20041115.1932-CE8
CE11	DIGRESSING_20041115.1932-CE9
CE12	DIGRESSING_20041115.1932-CE10
CE13	DIGRESSING_20041115.1932-CE11
CE14	DIGRESSING_20041115.1932-CE12
CE15	DIGRESSING_20041115.1932-CE13
CE16	DIGRESSING_20041115.1932-CE14
CE17	DIGRESSING_20041115.1932-CE15
CE18	DIGRESSING_20041115.1932-CE16
CE1	DIGRESSING_20041115.1932-CE17
CE19	DIGRESSING_20041115.1932-CE18
CE20	DIGRESSING_20041115.1932-CE19
CE21	DIGRESSING_20041115.1932-CE20
CE2	DIGRESSING_20041115.1932-CE21
E3	DIGRESSING_20041115.1932-E1
E4	DIGRESSING_20041115.1932-E2
E6	DIGRESSING_20041115.1932-E3
E7	DIGRESSING_20041115.1932-E4
E8	DIGRESSING_20041115.1932-E5
E9	DIGRESSING_20041115.1932-E6
E10	DIGRESSING_20041115.1932-E7
E11	DIGRESSING_20041115.1932-E8
E12	DIGRESSING_20041115.1932-E9
E13	DIGRESSING_20041115.1932-E10
E14	DIGRESSING_20041115.1932-E11
E15	DIGRESSING_20041115.1932-E12
E16	DIGRESSING_20041115.1932-E13
E17	DIGRESSING_20041115.1932-E14
E1	DIGRESSING_20041115.1932-E15
E18	DIGRESSING_20041115.1932-E16
E19	DIGRESSING_20041115.1932-E17
E22	DIGRESSING_20041115.1932-E18
E20	DIGRESSING_20041115.1932-E19
E21	DIGRESSING_20041115.1932-E20
E2	DIGRESSING_20041115.1932-E21
EM1	DIGRESSING_20041115.1932-E15-1
EM29	DIGRESSING_20041115.1932-E21-2
EM30	DIGRESSING_20041115.1932-E21-3
EM31	DIGRESSING_20041115.1932-E21-4
EM32	DIGRESSING_20041115.1932-E21-5
EM33	DIGRESSING_20041115.1932-E21-6
EM34	DIGRESSING_20041115.1932-E21-7
EM35	DIGRESSING_20041115.1932-E21-8
EM36	DIGRESSING_20041115.1932-E21-9
EM37	DIGRESSING_20041115.1932-E21-10
EM38	DIGRESSING_20041115.1932-E1-11
EM39	DIGRESSING_20041115.1932-E2-12
EM40	DIGRESSING_20041115.1932-E3-13
