CE11	ALFILFILM_20050202.1025-CE1
CE12	ALFILFILM_20050202.1025-CE2
CE13	ALFILFILM_20050202.1025-CE3
CE14	ALFILFILM_20050202.1025-CE4
CE15	ALFILFILM_20050202.1025-CE5
CE16	ALFILFILM_20050202.1025-CE6
CE17	ALFILFILM_20050202.1025-CE7
CE18	ALFILFILM_20050202.1025-CE8
CE19	ALFILFILM_20050202.1025-CE9
CE20	ALFILFILM_20050202.1025-CE10
CE21	ALFILFILM_20050202.1025-CE11
CE22	ALFILFILM_20050202.1025-CE12
CE23	ALFILFILM_20050202.1025-CE13
CE1	ALFILFILM_20050202.1025-CE14
CE2	ALFILFILM_20050202.1025-CE15
CE3	ALFILFILM_20050202.1025-CE16
CE4	ALFILFILM_20050202.1025-CE17
CE5	ALFILFILM_20050202.1025-CE18
CE6	ALFILFILM_20050202.1025-CE19
CE7	ALFILFILM_20050202.1025-CE20
CE8	ALFILFILM_20050202.1025-CE21
CE9	ALFILFILM_20050202.1025-CE22
CE10	ALFILFILM_20050202.1025-CE23
E14	ALFILFILM_20050202.1025-E1
E15	ALFILFILM_20050202.1025-E2
E16	ALFILFILM_20050202.1025-E3
E17	ALFILFILM_20050202.1025-E4
E18	ALFILFILM_20050202.1025-E5
E19	ALFILFILM_20050202.1025-E6
E20	ALFILFILM_20050202.1025-E7
E21	ALFILFILM_20050202.1025-E8
E22	ALFILFILM_20050202.1025-E9
E23	ALFILFILM_20050202.1025-E10
E24	ALFILFILM_20050202.1025-E11
E25	ALFILFILM_20050202.1025-E12
E26	ALFILFILM_20050202.1025-E13
E27	ALFILFILM_20050202.1025-E14
E28	ALFILFILM_20050202.1025-E15
E29	ALFILFILM_20050202.1025-E16
E30	ALFILFILM_20050202.1025-E17
E2	ALFILFILM_20050202.1025-E18
E4	ALFILFILM_20050202.1025-E19
E5	ALFILFILM_20050202.1025-E20
E6	ALFILFILM_20050202.1025-E21
E7	ALFILFILM_20050202.1025-E22
E8	ALFILFILM_20050202.1025-E23
E9	ALFILFILM_20050202.1025-E24
E10	ALFILFILM_20050202.1025-E25
E11	ALFILFILM_20050202.1025-E26
E12	ALFILFILM_20050202.1025-E27
E13	ALFILFILM_20050202.1025-E28
EM1	ALFILFILM_20050202.1025-E18-1
EM20	ALFILFILM_20050202.1025-E28-2
EM22	ALFILFILM_20050202.1025-E1-3
EM23	ALFILFILM_20050202.1025-E2-4
EM25	ALFILFILM_20050202.1025-E28-5
EM26	ALFILFILM_20050202.1025-E28-6
EM27	ALFILFILM_20050202.1025-E28-7
EM28	ALFILFILM_20050202.1025-E28-8
EM29	ALFILFILM_20050202.1025-E3-9
EM30	ALFILFILM_20050202.1025-E28-10
EM31	ALFILFILM_20050202.1025-E28-11
EM33	ALFILFILM_20050202.1025-E25-12
EM34	ALFILFILM_20050202.1025-E28-13
EM35	ALFILFILM_20050202.1025-E28-14
EM36	ALFILFILM_20050202.1025-E28-15
EM37	ALFILFILM_20050202.1025-E4-16
EM38	ALFILFILM_20050202.1025-E5-17
EM39	ALFILFILM_20050202.1025-E4-18
EM40	ALFILFILM_20050202.1025-E4-19
EM41	ALFILFILM_20050202.1025-E6-20
EM42	ALFILFILM_20050202.1025-E6-21
EM43	ALFILFILM_20050202.1025-E6-22
EM45	ALFILFILM_20050202.1025-E7-23
EM46	ALFILFILM_20050202.1025-E8-24
EM47	ALFILFILM_20050202.1025-E4-25
EM48	ALFILFILM_20050202.1025-E4-26
EM49	ALFILFILM_20050202.1025-E9-27
EM50	ALFILFILM_20050202.1025-E10-28
EM51	ALFILFILM_20050202.1025-E11-29
EM52	ALFILFILM_20050202.1025-E12-30
EM53	ALFILFILM_20050202.1025-E28-31
EM54	ALFILFILM_20050202.1025-E28-32
EM55	ALFILFILM_20050202.1025-E4-33
EM56	ALFILFILM_20050202.1025-E4-34
EM57	ALFILFILM_20050202.1025-E4-35
EM58	ALFILFILM_20050202.1025-E13-36
EM59	ALFILFILM_20050202.1025-E4-37
EM60	ALFILFILM_20050202.1025-E4-38
EM61	ALFILFILM_20050202.1025-E13-39
EM62	ALFILFILM_20050202.1025-E4-40
EM63	ALFILFILM_20050202.1025-E6-41
EM65	ALFILFILM_20050202.1025-E14-42
EM66	ALFILFILM_20050202.1025-E14-43
EM67	ALFILFILM_20050202.1025-E14-44
EM68	ALFILFILM_20050202.1025-E14-45
EM69	ALFILFILM_20050202.1025-E15-46
EM70	ALFILFILM_20050202.1025-E16-47
EM71	ALFILFILM_20050202.1025-E17-48
EM3	ALFILFILM_20050202.1025-E19-49
EM4	ALFILFILM_20050202.1025-E20-50
EM5	ALFILFILM_20050202.1025-E20-51
EM6	ALFILFILM_20050202.1025-E20-52
EM7	ALFILFILM_20050202.1025-E21-53
EM8	ALFILFILM_20050202.1025-E21-54
