CE8	EGYDAYS_20050226.1158-CE1
CE9	EGYDAYS_20050226.1158-CE2
CE10	EGYDAYS_20050226.1158-CE3
CE11	EGYDAYS_20050226.1158-CE4
CE1	EGYDAYS_20050226.1158-CE5
CE2	EGYDAYS_20050226.1158-CE6
CE3	EGYDAYS_20050226.1158-CE7
CE4	EGYDAYS_20050226.1158-CE8
CE5	EGYDAYS_20050226.1158-CE9
CE6	EGYDAYS_20050226.1158-CE10
E8	EGYDAYS_20050226.1158-E1
E9	EGYDAYS_20050226.1158-E2
E10	EGYDAYS_20050226.1158-E3
E12	EGYDAYS_20050226.1158-E4
E13	EGYDAYS_20050226.1158-E5
E1	EGYDAYS_20050226.1158-E6
E2	EGYDAYS_20050226.1158-E7
E3	EGYDAYS_20050226.1158-E8
E4	EGYDAYS_20050226.1158-E9
E5	EGYDAYS_20050226.1158-E10
E6	EGYDAYS_20050226.1158-E11
EM1	EGYDAYS_20050226.1158-E6-1
EM25	EGYDAYS_20050226.1158-E2-2
EM27	EGYDAYS_20050226.1158-E1-3
EM28	EGYDAYS_20050226.1158-E3-4
EM29	EGYDAYS_20050226.1158-E3-5
EM30	EGYDAYS_20050226.1158-E4-6
EM31	EGYDAYS_20050226.1158-E6-7
EM32	EGYDAYS_20050226.1158-E3-8
EM33	EGYDAYS_20050226.1158-E5-9
EM2	EGYDAYS_20050226.1158-E7-10
EM3	EGYDAYS_20050226.1158-E8-11
EM4	EGYDAYS_20050226.1158-E8-12
EM5	EGYDAYS_20050226.1158-E8-13
EM6	EGYDAYS_20050226.1158-E8-14
EM7	EGYDAYS_20050226.1158-E8-15
EM8	EGYDAYS_20050226.1158-E6-16
EM9	EGYDAYS_20050226.1158-E6-17
EM10	EGYDAYS_20050226.1158-E6-18
EM11	EGYDAYS_20050226.1158-E6-19
EM12	EGYDAYS_20050226.1158-E6-20
EM13	EGYDAYS_20050226.1158-E9-21
EM14	EGYDAYS_20050226.1158-E6-22
EM15	EGYDAYS_20050226.1158-E6-23
EM16	EGYDAYS_20050226.1158-E6-24
EM17	EGYDAYS_20050226.1158-E6-25
EM18	EGYDAYS_20050226.1158-E6-26
EM19	EGYDAYS_20050226.1158-E6-27
EM20	EGYDAYS_20050226.1158-E10-28
EM21	EGYDAYS_20050226.1158-E11-29
EM22	EGYDAYS_20050226.1158-E10-30
EM34	EGYDAYS_20050226.1158-E8-31
R1	EGYDAYS_20050226.1158-R1
R2	EGYDAYS_20050226.1158-R2
RM1	EGYDAYS_20050226.1158-R1-1
RM2	EGYDAYS_20050226.1158-R2-1
Q1	EGYDAYS_20050226.1158-T1
Q2	EGYDAYS_20050226.1158-T2
Q3	EGYDAYS_20050226.1158-T3
Q4	EGYDAYS_20050226.1158-T4
Q5	EGYDAYS_20050226.1158-T5
Q6	EGYDAYS_20050226.1158-T6
Q7	EGYDAYS_20050226.1158-T7
