CE8	EBREAZ_20041203.1056-CE1
CE9	EBREAZ_20041203.1056-CE2
CE10	EBREAZ_20041203.1056-CE3
CE11	EBREAZ_20041203.1056-CE4
CE12	EBREAZ_20041203.1056-CE5
CE13	EBREAZ_20041203.1056-CE6
CE14	EBREAZ_20041203.1056-CE7
CE15	EBREAZ_20041203.1056-CE8
CE16	EBREAZ_20041203.1056-CE9
CE17	EBREAZ_20041203.1056-CE10
CE18	EBREAZ_20041203.1056-CE11
CE1	EBREAZ_20041203.1056-CE12
CE19	EBREAZ_20041203.1056-CE13
CE20	EBREAZ_20041203.1056-CE14
CE21	EBREAZ_20041203.1056-CE15
CE22	EBREAZ_20041203.1056-CE16
CE23	EBREAZ_20041203.1056-CE17
CE24	EBREAZ_20041203.1056-CE18
CE25	EBREAZ_20041203.1056-CE19
CE26	EBREAZ_20041203.1056-CE20
CE27	EBREAZ_20041203.1056-CE21
CE2	EBREAZ_20041203.1056-CE22
CE3	EBREAZ_20041203.1056-CE23
CE4	EBREAZ_20041203.1056-CE24
CE5	EBREAZ_20041203.1056-CE25
CE6	EBREAZ_20041203.1056-CE26
CE7	EBREAZ_20041203.1056-CE27
E8	EBREAZ_20041203.1056-E1
E10	EBREAZ_20041203.1056-E2
E11	EBREAZ_20041203.1056-E3
E12	EBREAZ_20041203.1056-E4
E13	EBREAZ_20041203.1056-E5
E14	EBREAZ_20041203.1056-E6
E15	EBREAZ_20041203.1056-E7
E16	EBREAZ_20041203.1056-E8
E17	EBREAZ_20041203.1056-E9
E18	EBREAZ_20041203.1056-E10
E19	EBREAZ_20041203.1056-E11
E1	EBREAZ_20041203.1056-E12
E20	EBREAZ_20041203.1056-E13
E21	EBREAZ_20041203.1056-E14
E22	EBREAZ_20041203.1056-E15
E23	EBREAZ_20041203.1056-E16
E25	EBREAZ_20041203.1056-E17
E26	EBREAZ_20041203.1056-E18
E27	EBREAZ_20041203.1056-E19
E28	EBREAZ_20041203.1056-E20
E29	EBREAZ_20041203.1056-E21
E2	EBREAZ_20041203.1056-E22
E3	EBREAZ_20041203.1056-E23
E4	EBREAZ_20041203.1056-E24
E5	EBREAZ_20041203.1056-E25
E6	EBREAZ_20041203.1056-E26
E7	EBREAZ_20041203.1056-E27
EM1	EBREAZ_20041203.1056-E12-1
EM24	EBREAZ_20041203.1056-E27-2
EM25	EBREAZ_20041203.1056-E27-3
EM27	EBREAZ_20041203.1056-E25-4
EM28	EBREAZ_20041203.1056-E26-5
EM29	EBREAZ_20041203.1056-E1-6
EM30	EBREAZ_20041203.1056-E2-7
EM31	EBREAZ_20041203.1056-E1-8
EM32	EBREAZ_20041203.1056-E1-9
EM33	EBREAZ_20041203.1056-E1-10
EM34	EBREAZ_20041203.1056-E1-11
EM35	EBREAZ_20041203.1056-E1-12
EM37	EBREAZ_20041203.1056-E3-13
EM38	EBREAZ_20041203.1056-E4-14
EM152	EBREAZ_20041203.1056-E27-15
EM41	EBREAZ_20041203.1056-E5-16
EM42	EBREAZ_20041203.1056-E5-17
EM43	EBREAZ_20041203.1056-E26-18
EM44	EBREAZ_20041203.1056-E26-19
EM45	EBREAZ_20041203.1056-E26-20
EM46	EBREAZ_20041203.1056-E26-21
EM47	EBREAZ_20041203.1056-E26-22
