CE9	ENSANKHORDA_20041104.1315-CE1
CE10	ENSANKHORDA_20041104.1315-CE2
CE11	ENSANKHORDA_20041104.1315-CE3
CE12	ENSANKHORDA_20041104.1315-CE4
CE1	ENSANKHORDA_20041104.1315-CE5
CE2	ENSANKHORDA_20041104.1315-CE6
CE3	ENSANKHORDA_20041104.1315-CE7
CE4	ENSANKHORDA_20041104.1315-CE8
CE5	ENSANKHORDA_20041104.1315-CE9
CE6	ENSANKHORDA_20041104.1315-CE10
CE7	ENSANKHORDA_20041104.1315-CE11
CE8	ENSANKHORDA_20041104.1315-CE12
E9	ENSANKHORDA_20041104.1315-E1
E10	ENSANKHORDA_20041104.1315-E2
E11	ENSANKHORDA_20041104.1315-E3
E12	ENSANKHORDA_20041104.1315-E4
E1	ENSANKHORDA_20041104.1315-E5
E2	ENSANKHORDA_20041104.1315-E6
E3	ENSANKHORDA_20041104.1315-E7
E4	ENSANKHORDA_20041104.1315-E8
E5	ENSANKHORDA_20041104.1315-E9
E6	ENSANKHORDA_20041104.1315-E10
E7	ENSANKHORDA_20041104.1315-E11
E8	ENSANKHORDA_20041104.1315-E12
EM1	ENSANKHORDA_20041104.1315-E5-1
EM23	ENSANKHORDA_20041104.1315-E12-2
EM24	ENSANKHORDA_20041104.1315-E12-3
EM25	ENSANKHORDA_20041104.1315-E12-4
EM26	ENSANKHORDA_20041104.1315-E12-5
EM27	ENSANKHORDA_20041104.1315-E12-6
EM28	ENSANKHORDA_20041104.1315-E12-7
EM29	ENSANKHORDA_20041104.1315-E7-8
EM30	ENSANKHORDA_20041104.1315-E5-9
EM31	ENSANKHORDA_20041104.1315-E1-10
EM32	ENSANKHORDA_20041104.1315-E1-11
EM33	ENSANKHORDA_20041104.1315-E2-12
EM34	ENSANKHORDA_20041104.1315-E12-13
EM35	ENSANKHORDA_20041104.1315-E12-14
EM36	ENSANKHORDA_20041104.1315-E12-15
EM37	ENSANKHORDA_20041104.1315-E3-16
EM58	ENSANKHORDA_20041104.1315-E8-17
EM39	ENSANKHORDA_20041104.1315-E4-18
EM49	ENSANKHORDA_20041104.1315-E4-19
EM41	ENSANKHORDA_20041104.1315-E4-20
EM44	ENSANKHORDA_20041104.1315-E7-21
EM45	ENSANKHORDA_20041104.1315-E9-22
EM46	ENSANKHORDA_20041104.1315-E9-23
EM53	ENSANKHORDA_20041104.1315-E5-24
EM54	ENSANKHORDA_20041104.1315-E4-25
EM55	ENSANKHORDA_20041104.1315-E4-26
EM50	ENSANKHORDA_20041104.1315-E7-27
EM56	ENSANKHORDA_20041104.1315-E4-28
EM57	ENSANKHORDA_20041104.1315-E7-29
EM2	ENSANKHORDA_20041104.1315-E6-30
EM3	ENSANKHORDA_20041104.1315-E6-31
EM4	ENSANKHORDA_20041104.1315-E6-32
EM5	ENSANKHORDA_20041104.1315-E6-33
EM6	ENSANKHORDA_20041104.1315-E6-34
EM51	ENSANKHORDA_20041104.1315-E7-35
EM8	ENSANKHORDA_20041104.1315-E8-36
EM9	ENSANKHORDA_20041104.1315-E8-37
EM10	ENSANKHORDA_20041104.1315-E9-38
EM11	ENSANKHORDA_20041104.1315-E10-39
EM12	ENSANKHORDA_20041104.1315-E10-40
EM13	ENSANKHORDA_20041104.1315-E9-41
EM14	ENSANKHORDA_20041104.1315-E11-42
EM15	ENSANKHORDA_20041104.1315-E8-43
EM16	ENSANKHORDA_20041104.1315-E8-44
EM17	ENSANKHORDA_20041104.1315-E8-45
EM18	ENSANKHORDA_20041104.1315-E8-46
EM19	ENSANKHORDA_20041104.1315-E8-47
EM20	ENSANKHORDA_20041104.1315-E8-48
EM21	ENSANKHORDA_20041104.1315-E12-49
EM22	ENSANKHORDA_20041104.1315-E12-50
R10	ENSANKHORDA_20041104.1315-R1
R11	ENSANKHORDA_20041104.1315-R2
R12	ENSANKHORDA_20041104.1315-R3
R13	ENSANKHORDA_20041104.1315-R4
R14	ENSANKHORDA_20041104.1315-R5
R15	ENSANKHORDA_20041104.1315-R6
RM11	ENSANKHORDA_20041104.1315-R1-1
RM12	ENSANKHORDA_20041104.1315-R2-1
RM13	ENSANKHORDA_20041104.1315-R3-1
RM14	ENSANKHORDA_20041104.1315-R3-2
RM15	ENSANKHORDA_20041104.1315-R3-3
RM16	ENSANKHORDA_20041104.1315-R1-2
Q1	ENSANKHORDA_20041104.1315-T1
Q2	ENSANKHORDA_20041104.1315-T2
