CE1	HADOUTA_20041226.1238-CE1
CE2	HADOUTA_20041226.1238-CE2
CE3	HADOUTA_20041226.1238-CE3
CE4	HADOUTA_20041226.1238-CE4
E1	HADOUTA_20041226.1238-E1
E2	HADOUTA_20041226.1238-E2
E3	HADOUTA_20041226.1238-E3
E4	HADOUTA_20041226.1238-E4
EM1	HADOUTA_20041226.1238-E1-1
EM26	HADOUTA_20041226.1238-E1-2
EM2	HADOUTA_20041226.1238-E1-3
EM3	HADOUTA_20041226.1238-E1-4
EM4	HADOUTA_20041226.1238-E1-5
EM5	HADOUTA_20041226.1238-E2-6
EM6	HADOUTA_20041226.1238-E2-7
EM7	HADOUTA_20041226.1238-E3-8
EM8	HADOUTA_20041226.1238-E1-9
EM9	HADOUTA_20041226.1238-E1-10
EM10	HADOUTA_20041226.1238-E1-11
EM11	HADOUTA_20041226.1238-E1-12
EM12	HADOUTA_20041226.1238-E1-13
EM13	HADOUTA_20041226.1238-E1-14
EM14	HADOUTA_20041226.1238-E1-15
EM15	HADOUTA_20041226.1238-E1-16
EM16	HADOUTA_20041226.1238-E1-17
EM17	HADOUTA_20041226.1238-E1-18
EM18	HADOUTA_20041226.1238-E1-19
EM19	HADOUTA_20041226.1238-E1-20
EM20	HADOUTA_20041226.1238-E1-21
EM21	HADOUTA_20041226.1238-E1-22
EM22	HADOUTA_20041226.1238-E1-23
EM23	HADOUTA_20041226.1238-E1-24
EM24	HADOUTA_20041226.1238-E1-25
EM25	HADOUTA_20041226.1238-E4-26
Q1	HADOUTA_20041226.1238-T1
Q2	HADOUTA_20041226.1238-T2
Q3	HADOUTA_20041226.1238-T3
Q4	HADOUTA_20041226.1238-T4
