CE47	MISRDIGITAL_20041105.0002-CE1
CE9	MISRDIGITAL_20041105.0002-CE2
CE10	MISRDIGITAL_20041105.0002-CE3
CE12	MISRDIGITAL_20041105.0002-CE4
CE13	MISRDIGITAL_20041105.0002-CE5
CE14	MISRDIGITAL_20041105.0002-CE6
CE15	MISRDIGITAL_20041105.0002-CE7
CE16	MISRDIGITAL_20041105.0002-CE8
CE17	MISRDIGITAL_20041105.0002-CE9
CE19	MISRDIGITAL_20041105.0002-CE10
CE20	MISRDIGITAL_20041105.0002-CE11
CE21	MISRDIGITAL_20041105.0002-CE12
CE22	MISRDIGITAL_20041105.0002-CE13
CE1	MISRDIGITAL_20041105.0002-CE14
CE23	MISRDIGITAL_20041105.0002-CE15
CE24	MISRDIGITAL_20041105.0002-CE16
CE26	MISRDIGITAL_20041105.0002-CE17
CE27	MISRDIGITAL_20041105.0002-CE18
CE29	MISRDIGITAL_20041105.0002-CE19
CE30	MISRDIGITAL_20041105.0002-CE20
CE31	MISRDIGITAL_20041105.0002-CE21
CE32	MISRDIGITAL_20041105.0002-CE22
CE33	MISRDIGITAL_20041105.0002-CE23
CE34	MISRDIGITAL_20041105.0002-CE24
CE35	MISRDIGITAL_20041105.0002-CE25
CE36	MISRDIGITAL_20041105.0002-CE26
CE37	MISRDIGITAL_20041105.0002-CE27
CE39	MISRDIGITAL_20041105.0002-CE28
CE40	MISRDIGITAL_20041105.0002-CE29
CE41	MISRDIGITAL_20041105.0002-CE30
CE42	MISRDIGITAL_20041105.0002-CE31
CE43	MISRDIGITAL_20041105.0002-CE32
CE44	MISRDIGITAL_20041105.0002-CE33
CE2	MISRDIGITAL_20041105.0002-CE34
CE45	MISRDIGITAL_20041105.0002-CE35
CE46	MISRDIGITAL_20041105.0002-CE36
CE48	MISRDIGITAL_20041105.0002-CE37
CE49	MISRDIGITAL_20041105.0002-CE38
CE50	MISRDIGITAL_20041105.0002-CE39
CE51	MISRDIGITAL_20041105.0002-CE40
