CE5	HADOUTA_20041227.1645-CE1
CE1	HADOUTA_20041227.1645-CE2
CE2	HADOUTA_20041227.1645-CE3
CE3	HADOUTA_20041227.1645-CE4
CE4	HADOUTA_20041227.1645-CE5
E5	HADOUTA_20041227.1645-E1
E1	HADOUTA_20041227.1645-E2
E2	HADOUTA_20041227.1645-E3
E3	HADOUTA_20041227.1645-E4
E4	HADOUTA_20041227.1645-E5
EM1	HADOUTA_20041227.1645-E2-1
EM27	HADOUTA_20041227.1645-E4-2
EM28	HADOUTA_20041227.1645-E4-3
EM29	HADOUTA_20041227.1645-E4-4
EM30	HADOUTA_20041227.1645-E2-5
EM31	HADOUTA_20041227.1645-E5-6
EM32	HADOUTA_20041227.1645-E5-7
EM33	HADOUTA_20041227.1645-E5-8
EM34	HADOUTA_20041227.1645-E5-9
EM35	HADOUTA_20041227.1645-E4-10
EM36	HADOUTA_20041227.1645-E2-11
EM37	HADOUTA_20041227.1645-E3-12
EM38	HADOUTA_20041227.1645-E1-13
EM2	HADOUTA_20041227.1645-E2-14
EM3	HADOUTA_20041227.1645-E3-15
EM4	HADOUTA_20041227.1645-E3-16
EM5	HADOUTA_20041227.1645-E3-17
EM6	HADOUTA_20041227.1645-E3-18
EM7	HADOUTA_20041227.1645-E3-19
EM8	HADOUTA_20041227.1645-E3-20
EM9	HADOUTA_20041227.1645-E3-21
EM10	HADOUTA_20041227.1645-E2-22
EM11	HADOUTA_20041227.1645-E4-23
EM12	HADOUTA_20041227.1645-E4-24
EM13	HADOUTA_20041227.1645-E4-25
EM14	HADOUTA_20041227.1645-E4-26
EM15	HADOUTA_20041227.1645-E4-27
EM16	HADOUTA_20041227.1645-E4-28
EM17	HADOUTA_20041227.1645-E4-29
EM18	HADOUTA_20041227.1645-E4-30
EM19	HADOUTA_20041227.1645-E5-31
EM20	HADOUTA_20041227.1645-E5-32
EM21	HADOUTA_20041227.1645-E4-33
EM22	HADOUTA_20041227.1645-E4-34
EM23	HADOUTA_20041227.1645-E4-35
EM24	HADOUTA_20041227.1645-E4-36
EM25	HADOUTA_20041227.1645-E4-37
EM26	HADOUTA_20041227.1645-E4-38
Q1	HADOUTA_20041227.1645-T1
Q3	HADOUTA_20041227.1645-T2
