CE8	EBREAZ_20041122.0146-CE1
CE9	EBREAZ_20041122.0146-CE2
CE10	EBREAZ_20041122.0146-CE3
CE11	EBREAZ_20041122.0146-CE4
CE12	EBREAZ_20041122.0146-CE5
CE1	EBREAZ_20041122.0146-CE6
CE2	EBREAZ_20041122.0146-CE7
CE3	EBREAZ_20041122.0146-CE8
CE4	EBREAZ_20041122.0146-CE9
CE5	EBREAZ_20041122.0146-CE10
CE6	EBREAZ_20041122.0146-CE11
CE7	EBREAZ_20041122.0146-CE12
E8	EBREAZ_20041122.0146-E1
E9	EBREAZ_20041122.0146-E2
E10	EBREAZ_20041122.0146-E3
E11	EBREAZ_20041122.0146-E4
E12	EBREAZ_20041122.0146-E5
E1	EBREAZ_20041122.0146-E6
E2	EBREAZ_20041122.0146-E7
E3	EBREAZ_20041122.0146-E8
E4	EBREAZ_20041122.0146-E9
E5	EBREAZ_20041122.0146-E10
E6	EBREAZ_20041122.0146-E11
E7	EBREAZ_20041122.0146-E12
EM1	EBREAZ_20041122.0146-E6-1
EM24	EBREAZ_20041122.0146-E6-2
EM25	EBREAZ_20041122.0146-E6-3
EM26	EBREAZ_20041122.0146-E6-4
EM27	EBREAZ_20041122.0146-E6-5
EM28	EBREAZ_20041122.0146-E6-6
EM29	EBREAZ_20041122.0146-E8-7
EM30	EBREAZ_20041122.0146-E8-8
EM32	EBREAZ_20041122.0146-E1-9
EM33	EBREAZ_20041122.0146-E2-10
EM34	EBREAZ_20041122.0146-E3-11
EM35	EBREAZ_20041122.0146-E7-12
EM36	EBREAZ_20041122.0146-E2-13
EM37	EBREAZ_20041122.0146-E2-14
EM38	EBREAZ_20041122.0146-E4-15
EM39	EBREAZ_20041122.0146-E5-16
EM40	EBREAZ_20041122.0146-E5-17
EM41	EBREAZ_20041122.0146-E5-18
EM42	EBREAZ_20041122.0146-E5-19
EM43	EBREAZ_20041122.0146-E8-20
EM44	EBREAZ_20041122.0146-E8-21
EM45	EBREAZ_20041122.0146-E8-22
EM46	EBREAZ_20041122.0146-E8-23
EM47	EBREAZ_20041122.0146-E8-24
EM48	EBREAZ_20041122.0146-E8-25
EM49	EBREAZ_20041122.0146-E1-26
EM50	EBREAZ_20041122.0146-E1-27
EM51	EBREAZ_20041122.0146-E1-28
EM52	EBREAZ_20041122.0146-E6-29
EM53	EBREAZ_20041122.0146-E8-30
EM54	EBREAZ_20041122.0146-E8-31
EM2	EBREAZ_20041122.0146-E6-32
EM3	EBREAZ_20041122.0146-E6-33
EM4	EBREAZ_20041122.0146-E6-34
EM6	EBREAZ_20041122.0146-E6-35
EM7	EBREAZ_20041122.0146-E7-36
EM8	EBREAZ_20041122.0146-E6-37
EM9	EBREAZ_20041122.0146-E8-38
EM10	EBREAZ_20041122.0146-E8-39
EM11	EBREAZ_20041122.0146-E8-40
EM12	EBREAZ_20041122.0146-E9-41
EM13	EBREAZ_20041122.0146-E9-42
EM14	EBREAZ_20041122.0146-E9-43
EM15	EBREAZ_20041122.0146-E9-44
EM16	EBREAZ_20041122.0146-E8-45
EM17	EBREAZ_20041122.0146-E10-46
EM18	EBREAZ_20041122.0146-E11-47
EM19	EBREAZ_20041122.0146-E11-48
EM20	EBREAZ_20041122.0146-E11-49
EM21	EBREAZ_20041122.0146-E12-50
EM22	EBREAZ_20041122.0146-E12-51
EM23	EBREAZ_20041122.0146-E6-52
R1	EBREAZ_20041122.0146-R1
RM1	EBREAZ_20041122.0146-R1-1
Q1	EBREAZ_20041122.0146-T1
Q2	EBREAZ_20041122.0146-T2
