CE8	HADOUTA_20050111.0755-CE1
CE9	HADOUTA_20050111.0755-CE2
CE1	HADOUTA_20050111.0755-CE3
CE2	HADOUTA_20050111.0755-CE4
CE3	HADOUTA_20050111.0755-CE5
CE5	HADOUTA_20050111.0755-CE6
CE6	HADOUTA_20050111.0755-CE7
CE7	HADOUTA_20050111.0755-CE8
E8	HADOUTA_20050111.0755-E1
E9	HADOUTA_20050111.0755-E2
E1	HADOUTA_20050111.0755-E3
E2	HADOUTA_20050111.0755-E4
E3	HADOUTA_20050111.0755-E5
E5	HADOUTA_20050111.0755-E6
E6	HADOUTA_20050111.0755-E7
E7	HADOUTA_20050111.0755-E8
EM1	HADOUTA_20050111.0755-E3-1
EM24	HADOUTA_20050111.0755-E5-2
EM25	HADOUTA_20050111.0755-E6-3
EM26	HADOUTA_20050111.0755-E5-4
EM27	HADOUTA_20050111.0755-E5-5
EM28	HADOUTA_20050111.0755-E5-6
EM29	HADOUTA_20050111.0755-E5-7
EM30	HADOUTA_20050111.0755-E5-8
EM31	HADOUTA_20050111.0755-E5-9
EM32	HADOUTA_20050111.0755-E5-10
EM33	HADOUTA_20050111.0755-E5-11
EM34	HADOUTA_20050111.0755-E1-12
EM35	HADOUTA_20050111.0755-E5-13
EM36	HADOUTA_20050111.0755-E5-14
EM37	HADOUTA_20050111.0755-E5-15
EM38	HADOUTA_20050111.0755-E3-16
EM39	HADOUTA_20050111.0755-E3-17
EM40	HADOUTA_20050111.0755-E2-18
EM41	HADOUTA_20050111.0755-E7-19
EM42	HADOUTA_20050111.0755-E7-20
EM43	HADOUTA_20050111.0755-E5-21
EM44	HADOUTA_20050111.0755-E7-22
EM45	HADOUTA_20050111.0755-E7-23
EM46	HADOUTA_20050111.0755-E5-24
EM47	HADOUTA_20050111.0755-E2-25
EM2	HADOUTA_20050111.0755-E3-26
EM3	HADOUTA_20050111.0755-E4-27
EM4	HADOUTA_20050111.0755-E4-28
EM5	HADOUTA_20050111.0755-E4-29
EM6	HADOUTA_20050111.0755-E5-30
EM48	HADOUTA_20050111.0755-E3-31
EM49	HADOUTA_20050111.0755-E2-32
EM8	HADOUTA_20050111.0755-E6-33
EM9	HADOUTA_20050111.0755-E5-34
EM10	HADOUTA_20050111.0755-E6-35
EM11	HADOUTA_20050111.0755-E5-36
EM12	HADOUTA_20050111.0755-E3-37
EM13	HADOUTA_20050111.0755-E3-38
EM14	HADOUTA_20050111.0755-E5-39
EM15	HADOUTA_20050111.0755-E7-40
EM16	HADOUTA_20050111.0755-E8-41
EM17	HADOUTA_20050111.0755-E7-42
EM18	HADOUTA_20050111.0755-E7-43
EM19	HADOUTA_20050111.0755-E7-44
EM20	HADOUTA_20050111.0755-E5-45
EM21	HADOUTA_20050111.0755-E5-46
EM22	HADOUTA_20050111.0755-E5-47
EM23	HADOUTA_20050111.0755-E6-48
R1	HADOUTA_20050111.0755-R1
RM1	HADOUTA_20050111.0755-R1-1
V2	HADOUTA_20050111.0755-EV1
V3	HADOUTA_20050111.0755-EV2
V4	HADOUTA_20050111.0755-EV3
VM2	HADOUTA_20050111.0755-EV1-1
VM3	HADOUTA_20050111.0755-EV2-1
VM4	HADOUTA_20050111.0755-EV3-1
Q1	HADOUTA_20050111.0755-T1
Q2	HADOUTA_20050111.0755-T2
Q3	HADOUTA_20050111.0755-T3
Q4	HADOUTA_20050111.0755-T4
Q5	HADOUTA_20050111.0755-T5
