CE16	MELEGY_20050222.2126-CE1
CE9	MELEGY_20050222.2126-CE2
CE10	MELEGY_20050222.2126-CE3
CE12	MELEGY_20050222.2126-CE4
CE13	MELEGY_20050222.2126-CE5
CE14	MELEGY_20050222.2126-CE6
CE1	MELEGY_20050222.2126-CE7
CE15	MELEGY_20050222.2126-CE8
CE2	MELEGY_20050222.2126-CE9
CE4	MELEGY_20050222.2126-CE10
CE5	MELEGY_20050222.2126-CE11
CE6	MELEGY_20050222.2126-CE12
CE7	MELEGY_20050222.2126-CE13
CE8	MELEGY_20050222.2126-CE14
E9	MELEGY_20050222.2126-E1
E10	MELEGY_20050222.2126-E2
E12	MELEGY_20050222.2126-E3
E13	MELEGY_20050222.2126-E4
E1	MELEGY_20050222.2126-E5
E14	MELEGY_20050222.2126-E6
E15	MELEGY_20050222.2126-E7
E2	MELEGY_20050222.2126-E8
E16	MELEGY_20050222.2126-E9
E4	MELEGY_20050222.2126-E10
E5	MELEGY_20050222.2126-E11
E6	MELEGY_20050222.2126-E12
E7	MELEGY_20050222.2126-E13
E8	MELEGY_20050222.2126-E14
EM1	MELEGY_20050222.2126-E5-1
EM23	MELEGY_20050222.2126-E10-2
EM24	MELEGY_20050222.2126-E5-3
EM25	MELEGY_20050222.2126-E5-4
EM26	MELEGY_20050222.2126-E5-5
EM27	MELEGY_20050222.2126-E10-6
EM28	MELEGY_20050222.2126-E5-7
EM135	MELEGY_20050222.2126-E6-8
EM31	MELEGY_20050222.2126-E1-9
EM32	MELEGY_20050222.2126-E5-10
EM33	MELEGY_20050222.2126-E5-11
EM34	MELEGY_20050222.2126-E5-12
EM35	MELEGY_20050222.2126-E10-13
EM36	MELEGY_20050222.2126-E5-14
EM37	MELEGY_20050222.2126-E5-15
EM38	MELEGY_20050222.2126-E10-16
EM39	MELEGY_20050222.2126-E5-17
EM40	MELEGY_20050222.2126-E5-18
EM41	MELEGY_20050222.2126-E10-19
EM42	MELEGY_20050222.2126-E5-20
EM43	MELEGY_20050222.2126-E10-21
EM44	MELEGY_20050222.2126-E5-22
EM45	MELEGY_20050222.2126-E5-23
EM46	MELEGY_20050222.2126-E5-24
EM47	MELEGY_20050222.2126-E10-25
EM48	MELEGY_20050222.2126-E5-26
EM49	MELEGY_20050222.2126-E2-27
EM136	MELEGY_20050222.2126-E6-28
EM51	MELEGY_20050222.2126-E5-29
EM52	MELEGY_20050222.2126-E2-30
EM53	MELEGY_20050222.2126-E10-31
EM54	MELEGY_20050222.2126-E10-32
EM55	MELEGY_20050222.2126-E5-33
EM56	MELEGY_20050222.2126-E10-34
EM58	MELEGY_20050222.2126-E10-35
EM59	MELEGY_20050222.2126-E5-36
EM60	MELEGY_20050222.2126-E10-37
EM61	MELEGY_20050222.2126-E5-38
EM62	MELEGY_20050222.2126-E10-39
EM63	MELEGY_20050222.2126-E10-40
EM64	MELEGY_20050222.2126-E10-41
EM65	MELEGY_20050222.2126-E10-42
EM66	MELEGY_20050222.2126-E5-43
EM67	MELEGY_20050222.2126-E3-44
EM68	MELEGY_20050222.2126-E4-45
EM70	MELEGY_20050222.2126-E1-46
EM71	MELEGY_20050222.2126-E3-47
EM72	MELEGY_20050222.2126-E5-48
EM73	MELEGY_20050222.2126-E10-49
EM74	MELEGY_20050222.2126-E10-50
EM75	MELEGY_20050222.2126-E10-51
EM76	MELEGY_20050222.2126-E5-52
EM77	MELEGY_20050222.2126-E5-53
EM78	MELEGY_20050222.2126-E10-54
EM79	MELEGY_20050222.2126-E3-55
EM80	MELEGY_20050222.2126-E8-56
EM81	MELEGY_20050222.2126-E3-57
EM82	MELEGY_20050222.2126-E5-58
EM83	MELEGY_20050222.2126-E5-59
EM84	MELEGY_20050222.2126-E10-60
EM85	MELEGY_20050222.2126-E5-61
EM86	MELEGY_20050222.2126-E5-62
EM87	MELEGY_20050222.2126-E10-63
EM88	MELEGY_20050222.2126-E5-64
EM89	MELEGY_20050222.2126-E10-65
EM90	MELEGY_20050222.2126-E10-66
EM91	MELEGY_20050222.2126-E5-67
EM92	MELEGY_20050222.2126-E10-68
EM93	MELEGY_20050222.2126-E5-69
EM94	MELEGY_20050222.2126-E5-70
EM95	MELEGY_20050222.2126-E5-71
EM96	MELEGY_20050222.2126-E3-72
EM98	MELEGY_20050222.2126-E6-73
EM99	MELEGY_20050222.2126-E6-74
EM100	MELEGY_20050222.2126-E5-75
EM101	MELEGY_20050222.2126-E5-76
EM102	MELEGY_20050222.2126-E5-77
EM103	MELEGY_20050222.2126-E5-78
EM104	MELEGY_20050222.2126-E5-79
EM106	MELEGY_20050222.2126-E6-80
EM107	MELEGY_20050222.2126-E5-81
EM108	MELEGY_20050222.2126-E6-82
EM109	MELEGY_20050222.2126-E5-83
EM110	MELEGY_20050222.2126-E7-84
EM111	MELEGY_20050222.2126-E6-85
EM112	MELEGY_20050222.2126-E5-86
EM113	MELEGY_20050222.2126-E10-87
EM114	MELEGY_20050222.2126-E5-88
EM115	MELEGY_20050222.2126-E10-89
EM116	MELEGY_20050222.2126-E10-90
EM117	MELEGY_20050222.2126-E5-91
EM118	MELEGY_20050222.2126-E5-92
EM120	MELEGY_20050222.2126-E5-93
EM121	MELEGY_20050222.2126-E5-94
EM122	MELEGY_20050222.2126-E5-95
EM123	MELEGY_20050222.2126-E5-96
EM124	MELEGY_20050222.2126-E5-97
EM125	MELEGY_20050222.2126-E6-98
EM126	MELEGY_20050222.2126-E5-99
EM127	MELEGY_20050222.2126-E5-100
EM128	MELEGY_20050222.2126-E6-101
EM129	MELEGY_20050222.2126-E5-102
EM130	MELEGY_20050222.2126-E5-103
EM131	MELEGY_20050222.2126-E5-104
EM132	MELEGY_20050222.2126-E5-105
EM2	MELEGY_20050222.2126-E5-106
EM137	MELEGY_20050222.2126-E5-107
EM133	MELEGY_20050222.2126-E5-108
EM3	MELEGY_20050222.2126-E8-109
EM4	MELEGY_20050222.2126-E5-110
EM134	MELEGY_20050222.2126-E9-111
EM6	MELEGY_20050222.2126-E10-112
EM7	MELEGY_20050222.2126-E5-113
EM8	MELEGY_20050222.2126-E5-114
EM9	MELEGY_20050222.2126-E5-115
EM10	MELEGY_20050222.2126-E5-116
EM11	MELEGY_20050222.2126-E5-117
EM12	MELEGY_20050222.2126-E10-118
EM13	MELEGY_20050222.2126-E10-119
EM14	MELEGY_20050222.2126-E5-120
EM15	MELEGY_20050222.2126-E5-121
EM16	MELEGY_20050222.2126-E11-122
EM17	MELEGY_20050222.2126-E12-123
EM18	MELEGY_20050222.2126-E13-124
EM19	MELEGY_20050222.2126-E14-125
EM20	MELEGY_20050222.2126-E8-126
EM21	MELEGY_20050222.2126-E5-127
EM22	MELEGY_20050222.2126-E10-128
R6	MELEGY_20050222.2126-R1
R7	MELEGY_20050222.2126-R2
R1	MELEGY_20050222.2126-R3
R8	MELEGY_20050222.2126-R4
RM6	MELEGY_20050222.2126-R1-1
RM7	MELEGY_20050222.2126-R1-2
RM1	MELEGY_20050222.2126-R3-1
RM8	MELEGY_20050222.2126-R4-1
V1	MELEGY_20050222.2126-EV1
V2	MELEGY_20050222.2126-EV2
V3	MELEGY_20050222.2126-EV3
VM1	MELEGY_20050222.2126-EV1-1
VM2	MELEGY_20050222.2126-EV2-1
VM3	MELEGY_20050222.2126-EV3-1
Q6	MELEGY_20050222.2126-T1
Q1	MELEGY_20050222.2126-T2
Q3	MELEGY_20050222.2126-T3
Q4	MELEGY_20050222.2126-T4
Q5	MELEGY_20050222.2126-T5
