CE7	ALFILFILM_20050208.1659-CE1
CE8	ALFILFILM_20050208.1659-CE2
CE9	ALFILFILM_20050208.1659-CE3
CE10	ALFILFILM_20050208.1659-CE4
CE28	ALFILFILM_20050208.1659-CE5
CE11	ALFILFILM_20050208.1659-CE6
CE12	ALFILFILM_20050208.1659-CE7
CE13	ALFILFILM_20050208.1659-CE8
CE14	ALFILFILM_20050208.1659-CE9
CE15	ALFILFILM_20050208.1659-CE10
CE16	ALFILFILM_20050208.1659-CE11
CE1	ALFILFILM_20050208.1659-CE12
CE17	ALFILFILM_20050208.1659-CE13
CE18	ALFILFILM_20050208.1659-CE14
CE19	ALFILFILM_20050208.1659-CE15
CE20	ALFILFILM_20050208.1659-CE16
CE21	ALFILFILM_20050208.1659-CE17
CE22	ALFILFILM_20050208.1659-CE18
CE23	ALFILFILM_20050208.1659-CE19
CE24	ALFILFILM_20050208.1659-CE20
CE26	ALFILFILM_20050208.1659-CE21
CE27	ALFILFILM_20050208.1659-CE22
CE29	ALFILFILM_20050208.1659-CE23
CE30	ALFILFILM_20050208.1659-CE24
CE31	ALFILFILM_20050208.1659-CE25
CE2	ALFILFILM_20050208.1659-CE26
CE3	ALFILFILM_20050208.1659-CE27
CE4	ALFILFILM_20050208.1659-CE28
CE5	ALFILFILM_20050208.1659-CE29
CE6	ALFILFILM_20050208.1659-CE30
E9	ALFILFILM_20050208.1659-E1
E10	ALFILFILM_20050208.1659-E2
E11	ALFILFILM_20050208.1659-E3
E12	ALFILFILM_20050208.1659-E4
E13	ALFILFILM_20050208.1659-E5
E34	ALFILFILM_20050208.1659-E6
E14	ALFILFILM_20050208.1659-E7
E15	ALFILFILM_20050208.1659-E8
E17	ALFILFILM_20050208.1659-E9
E1	ALFILFILM_20050208.1659-E10
E18	ALFILFILM_20050208.1659-E11
E19	ALFILFILM_20050208.1659-E12
E20	ALFILFILM_20050208.1659-E13
E21	ALFILFILM_20050208.1659-E14
E22	ALFILFILM_20050208.1659-E15
E23	ALFILFILM_20050208.1659-E16
E24	ALFILFILM_20050208.1659-E17
E25	ALFILFILM_20050208.1659-E18
E26	ALFILFILM_20050208.1659-E19
E27	ALFILFILM_20050208.1659-E20
E28	ALFILFILM_20050208.1659-E21
E29	ALFILFILM_20050208.1659-E22
E2	ALFILFILM_20050208.1659-E23
E31	ALFILFILM_20050208.1659-E24
E32	ALFILFILM_20050208.1659-E25
E33	ALFILFILM_20050208.1659-E26
E35	ALFILFILM_20050208.1659-E27
E36	ALFILFILM_20050208.1659-E28
E37	ALFILFILM_20050208.1659-E29
E38	ALFILFILM_20050208.1659-E30
E3	ALFILFILM_20050208.1659-E31
E4	ALFILFILM_20050208.1659-E32
E5	ALFILFILM_20050208.1659-E33
E6	ALFILFILM_20050208.1659-E34
E7	ALFILFILM_20050208.1659-E35
E8	ALFILFILM_20050208.1659-E36
EM1	ALFILFILM_20050208.1659-E23-1
EM25	ALFILFILM_20050208.1659-E35-2
EM26	ALFILFILM_20050208.1659-E10-3
EM27	ALFILFILM_20050208.1659-E35-4
EM28	ALFILFILM_20050208.1659-E10-5
EM29	ALFILFILM_20050208.1659-E10-6
EM30	ALFILFILM_20050208.1659-E10-7
EM31	ALFILFILM_20050208.1659-E35-8
EM32	ALFILFILM_20050208.1659-E35-9
EM33	ALFILFILM_20050208.1659-E35-10
EM34	ALFILFILM_20050208.1659-E35-11
EM35	ALFILFILM_20050208.1659-E1-12
EM36	ALFILFILM_20050208.1659-E10-13
EM37	ALFILFILM_20050208.1659-E2-14
EM134	ALFILFILM_20050208.1659-E6-15
EM39	ALFILFILM_20050208.1659-E3-16
EM40	ALFILFILM_20050208.1659-E4-17
EM41	ALFILFILM_20050208.1659-E4-18
EM42	ALFILFILM_20050208.1659-E5-19
EM43	ALFILFILM_20050208.1659-E5-20
EM44	ALFILFILM_20050208.1659-E5-21
EM46	ALFILFILM_20050208.1659-E5-22
EM47	ALFILFILM_20050208.1659-E5-23
EM48	ALFILFILM_20050208.1659-E5-24
EM50	ALFILFILM_20050208.1659-E5-25
EM51	ALFILFILM_20050208.1659-E5-26
EM52	ALFILFILM_20050208.1659-E5-27
EM53	ALFILFILM_20050208.1659-E5-28
EM55	ALFILFILM_20050208.1659-E7-29
EM56	ALFILFILM_20050208.1659-E5-30
EM57	ALFILFILM_20050208.1659-E5-31
EM58	ALFILFILM_20050208.1659-E5-32
EM59	ALFILFILM_20050208.1659-E5-33
EM60	ALFILFILM_20050208.1659-E5-34
EM61	ALFILFILM_20050208.1659-E5-35
EM135	ALFILFILM_20050208.1659-E5-36
EM64	ALFILFILM_20050208.1659-E10-37
EM65	ALFILFILM_20050208.1659-E10-38
EM66	ALFILFILM_20050208.1659-E10-39
EM67	ALFILFILM_20050208.1659-E10-40
EM68	ALFILFILM_20050208.1659-E5-41
EM69	ALFILFILM_20050208.1659-E5-42
EM70	ALFILFILM_20050208.1659-E5-43
EM71	ALFILFILM_20050208.1659-E5-44
EM72	ALFILFILM_20050208.1659-E5-45
EM73	ALFILFILM_20050208.1659-E5-46
EM74	ALFILFILM_20050208.1659-E5-47
EM136	ALFILFILM_20050208.1659-E6-48
EM137	ALFILFILM_20050208.1659-E6-49
EM76	ALFILFILM_20050208.1659-E8-50
EM77	ALFILFILM_20050208.1659-E9-51
EM78	ALFILFILM_20050208.1659-E8-52
EM79	ALFILFILM_20050208.1659-E8-53
EM80	ALFILFILM_20050208.1659-E11-54
EM81	ALFILFILM_20050208.1659-E5-55
EM82	ALFILFILM_20050208.1659-E10-56
EM83	ALFILFILM_20050208.1659-E10-57
EM84	ALFILFILM_20050208.1659-E10-58
EM85	ALFILFILM_20050208.1659-E10-59
EM86	ALFILFILM_20050208.1659-E10-60
EM87	ALFILFILM_20050208.1659-E10-61
EM88	ALFILFILM_20050208.1659-E10-62
EM89	ALFILFILM_20050208.1659-E10-63
EM90	ALFILFILM_20050208.1659-E10-64
EM91	ALFILFILM_20050208.1659-E10-65
EM92	ALFILFILM_20050208.1659-E10-66
EM93	ALFILFILM_20050208.1659-E10-67
EM94	ALFILFILM_20050208.1659-E10-68
EM95	ALFILFILM_20050208.1659-E5-69
EM96	ALFILFILM_20050208.1659-E12-70
EM97	ALFILFILM_20050208.1659-E12-71
EM98	ALFILFILM_20050208.1659-E10-72
EM99	ALFILFILM_20050208.1659-E33-73
EM100	ALFILFILM_20050208.1659-E33-74
EM101	ALFILFILM_20050208.1659-E13-75
EM102	ALFILFILM_20050208.1659-E14-76
EM138	ALFILFILM_20050208.1659-E6-77
EM105	ALFILFILM_20050208.1659-E15-78
EM106	ALFILFILM_20050208.1659-E8-79
EM107	ALFILFILM_20050208.1659-E10-80
EM108	ALFILFILM_20050208.1659-E16-81
EM109	ALFILFILM_20050208.1659-E17-82
EM110	ALFILFILM_20050208.1659-E18-83
EM111	ALFILFILM_20050208.1659-E19-84
EM112	ALFILFILM_20050208.1659-E20-85
EM113	ALFILFILM_20050208.1659-E8-86
EM114	ALFILFILM_20050208.1659-E10-87
EM115	ALFILFILM_20050208.1659-E8-88
EM116	ALFILFILM_20050208.1659-E5-89
EM117	ALFILFILM_20050208.1659-E21-90
EM118	ALFILFILM_20050208.1659-E22-91
EM119	ALFILFILM_20050208.1659-E5-92
EM139	ALFILFILM_20050208.1659-E6-93
EM140	ALFILFILM_20050208.1659-E27-94
EM120	ALFILFILM_20050208.1659-E33-95
EM121	ALFILFILM_20050208.1659-E33-96
EM122	ALFILFILM_20050208.1659-E10-97
EM123	ALFILFILM_20050208.1659-E32-98
EM124	ALFILFILM_20050208.1659-E10-99
EM125	ALFILFILM_20050208.1659-E10-100
EM126	ALFILFILM_20050208.1659-E10-101
EM127	ALFILFILM_20050208.1659-E24-102
EM128	ALFILFILM_20050208.1659-E25-103
EM129	ALFILFILM_20050208.1659-E25-104
EM130	ALFILFILM_20050208.1659-E26-105
EM131	ALFILFILM_20050208.1659-E26-106
EM141	ALFILFILM_20050208.1659-E28-107
EM142	ALFILFILM_20050208.1659-E29-108
EM143	ALFILFILM_20050208.1659-E10-109
EM144	ALFILFILM_20050208.1659-E10-110
EM145	ALFILFILM_20050208.1659-E30-111
EM2	ALFILFILM_20050208.1659-E10-112
EM3	ALFILFILM_20050208.1659-E10-113
EM4	ALFILFILM_20050208.1659-E31-114
EM5	ALFILFILM_20050208.1659-E32-115
EM6	ALFILFILM_20050208.1659-E31-116
EM7	ALFILFILM_20050208.1659-E10-117
EM132	ALFILFILM_20050208.1659-E10-118
EM133	ALFILFILM_20050208.1659-E33-119
EM10	ALFILFILM_20050208.1659-E10-120
EM11	ALFILFILM_20050208.1659-E10-121
EM12	ALFILFILM_20050208.1659-E10-122
EM13	ALFILFILM_20050208.1659-E10-123
EM15	ALFILFILM_20050208.1659-E32-124
EM16	ALFILFILM_20050208.1659-E32-125
EM17	ALFILFILM_20050208.1659-E34-126
EM18	ALFILFILM_20050208.1659-E35-127
EM19	ALFILFILM_20050208.1659-E36-128
EM20	ALFILFILM_20050208.1659-E35-129
EM21	ALFILFILM_20050208.1659-E35-130
EM22	ALFILFILM_20050208.1659-E10-131
EM23	ALFILFILM_20050208.1659-E10-132
EM24	ALFILFILM_20050208.1659-E10-133
R1	ALFILFILM_20050208.1659-R1
R2	ALFILFILM_20050208.1659-R2
R3	ALFILFILM_20050208.1659-R3
RM1	ALFILFILM_20050208.1659-R1-1
RM2	ALFILFILM_20050208.1659-R2-1
RM3	ALFILFILM_20050208.1659-R3-1
V1	ALFILFILM_20050208.1659-EV1
VM1	ALFILFILM_20050208.1659-EV1-1
Q6	ALFILFILM_20050208.1659-T1
Q1	ALFILFILM_20050208.1659-T2
Q2	ALFILFILM_20050208.1659-T3
Q3	ALFILFILM_20050208.1659-T4
Q4	ALFILFILM_20050208.1659-T5
Q5	ALFILFILM_20050208.1659-T6
