CE8	ANN20001118.1500.0101-CE1
CE9	ANN20001118.1500.0101-CE2
CE10	ANN20001118.1500.0101-CE3
CE11	ANN20001118.1500.0101-CE4
CE12	ANN20001118.1500.0101-CE5
CE21	ANN20001118.1500.0101-CE6
CE13	ANN20001118.1500.0101-CE7
CE31	ANN20001118.1500.0101-CE8
CE14	ANN20001118.1500.0101-CE9
CE15	ANN20001118.1500.0101-CE10
CE16	ANN20001118.1500.0101-CE11
CE17	ANN20001118.1500.0101-CE12
CE18	ANN20001118.1500.0101-CE13
CE19	ANN20001118.1500.0101-CE14
CE20	ANN20001118.1500.0101-CE15
CE22	ANN20001118.1500.0101-CE16
CE23	ANN20001118.1500.0101-CE17
CE39	ANN20001118.1500.0101-CE18
CE25	ANN20001118.1500.0101-CE19
CE26	ANN20001118.1500.0101-CE20
CE27	ANN20001118.1500.0101-CE21
CE28	ANN20001118.1500.0101-CE22
CE29	ANN20001118.1500.0101-CE23
CE30	ANN20001118.1500.0101-CE24
CE24	ANN20001118.1500.0101-CE25
CE32	ANN20001118.1500.0101-CE26
CE33	ANN20001118.1500.0101-CE27
CE34	ANN20001118.1500.0101-CE28
CE35	ANN20001118.1500.0101-CE29
CE36	ANN20001118.1500.0101-CE30
CE37	ANN20001118.1500.0101-CE31
CE38	ANN20001118.1500.0101-CE32
CE40	ANN20001118.1500.0101-CE33
CE41	ANN20001118.1500.0101-CE34
CE1	ANN20001118.1500.0101-CE35
CE2	ANN20001118.1500.0101-CE36
CE3	ANN20001118.1500.0101-CE37
CE4	ANN20001118.1500.0101-CE38
CE5	ANN20001118.1500.0101-CE39
CE6	ANN20001118.1500.0101-CE40
CE7	ANN20001118.1500.0101-CE41
E12	ANN20001118.1500.0101-E1
E13	ANN20001118.1500.0101-E2
E14	ANN20001118.1500.0101-E3
E15	ANN20001118.1500.0101-E4
E16	ANN20001118.1500.0101-E5
E17	ANN20001118.1500.0101-E6
E18	ANN20001118.1500.0101-E7
E20	ANN20001118.1500.0101-E8
E87	ANN20001118.1500.0101-E9
E22	ANN20001118.1500.0101-E10
E23	ANN20001118.1500.0101-E11
E25	ANN20001118.1500.0101-E12
E26	ANN20001118.1500.0101-E13
E28	ANN20001118.1500.0101-E14
E29	ANN20001118.1500.0101-E15
E30	ANN20001118.1500.0101-E16
E31	ANN20001118.1500.0101-E17
E32	ANN20001118.1500.0101-E18
E33	ANN20001118.1500.0101-E19
E34	ANN20001118.1500.0101-E20
E35	ANN20001118.1500.0101-E21
E82	ANN20001118.1500.0101-E22
E83	ANN20001118.1500.0101-E23
E38	ANN20001118.1500.0101-E24
E39	ANN20001118.1500.0101-E25
E41	ANN20001118.1500.0101-E26
E42	ANN20001118.1500.0101-E27
E88	ANN20001118.1500.0101-E28
E44	ANN20001118.1500.0101-E29
E46	ANN20001118.1500.0101-E30
E47	ANN20001118.1500.0101-E31
E48	ANN20001118.1500.0101-E32
E49	ANN20001118.1500.0101-E33
E50	ANN20001118.1500.0101-E34
E51	ANN20001118.1500.0101-E35
E53	ANN20001118.1500.0101-E36
E54	ANN20001118.1500.0101-E37
E55	ANN20001118.1500.0101-E38
E56	ANN20001118.1500.0101-E39
E57	ANN20001118.1500.0101-E40
E59	ANN20001118.1500.0101-E41
E60	ANN20001118.1500.0101-E42
E62	ANN20001118.1500.0101-E43
E63	ANN20001118.1500.0101-E44
E64	ANN20001118.1500.0101-E45
E85	ANN20001118.1500.0101-E46
E65	ANN20001118.1500.0101-E47
E66	ANN20001118.1500.0101-E48
E67	ANN20001118.1500.0101-E49
E68	ANN20001118.1500.0101-E50
E69	ANN20001118.1500.0101-E51
E70	ANN20001118.1500.0101-E52
E74	ANN20001118.1500.0101-E53
E86	ANN20001118.1500.0101-E54
E2	ANN20001118.1500.0101-E55
E3	ANN20001118.1500.0101-E56
E4	ANN20001118.1500.0101-E57
E5	ANN20001118.1500.0101-E58
