CE12	AFA20001208.1400.0118-CE1
CE13	AFA20001208.1400.0118-CE2
CE14	AFA20001208.1400.0118-CE3
CE15	AFA20001208.1400.0118-CE4
CE16	AFA20001208.1400.0118-CE5
CE17	AFA20001208.1400.0118-CE6
CE18	AFA20001208.1400.0118-CE7
CE19	AFA20001208.1400.0118-CE8
CE20	AFA20001208.1400.0118-CE9
CE21	AFA20001208.1400.0118-CE10
CE22	AFA20001208.1400.0118-CE11
CE23	AFA20001208.1400.0118-CE12
CE24	AFA20001208.1400.0118-CE13
CE25	AFA20001208.1400.0118-CE14
CE26	AFA20001208.1400.0118-CE15
CE27	AFA20001208.1400.0118-CE16
CE28	AFA20001208.1400.0118-CE17
CE41	AFA20001208.1400.0118-CE18
CE29	AFA20001208.1400.0118-CE19
CE30	AFA20001208.1400.0118-CE20
CE31	AFA20001208.1400.0118-CE21
CE32	AFA20001208.1400.0118-CE22
CE33	AFA20001208.1400.0118-CE23
CE34	AFA20001208.1400.0118-CE24
CE35	AFA20001208.1400.0118-CE25
CE38	AFA20001208.1400.0118-CE26
CE39	AFA20001208.1400.0118-CE27
CE40	AFA20001208.1400.0118-CE28
CE3	AFA20001208.1400.0118-CE29
CE4	AFA20001208.1400.0118-CE30
CE5	AFA20001208.1400.0118-CE31
CE6	AFA20001208.1400.0118-CE32
CE2	AFA20001208.1400.0118-CE33
CE7	AFA20001208.1400.0118-CE34
CE1	AFA20001208.1400.0118-CE35
CE8	AFA20001208.1400.0118-CE36
CE9	AFA20001208.1400.0118-CE37
CE10	AFA20001208.1400.0118-CE38
CE11	AFA20001208.1400.0118-CE39
E16	AFA20001208.1400.0118-E1
E17	AFA20001208.1400.0118-E2
E18	AFA20001208.1400.0118-E3
E19	AFA20001208.1400.0118-E4
E20	AFA20001208.1400.0118-E5
E21	AFA20001208.1400.0118-E6
E22	AFA20001208.1400.0118-E7
E23	AFA20001208.1400.0118-E8
E24	AFA20001208.1400.0118-E9
E25	AFA20001208.1400.0118-E10
E26	AFA20001208.1400.0118-E11
E28	AFA20001208.1400.0118-E12
E29	AFA20001208.1400.0118-E13
E30	AFA20001208.1400.0118-E14
E31	AFA20001208.1400.0118-E15
E32	AFA20001208.1400.0118-E16
E33	AFA20001208.1400.0118-E17
E34	AFA20001208.1400.0118-E18
E35	AFA20001208.1400.0118-E19
E36	AFA20001208.1400.0118-E20
E37	AFA20001208.1400.0118-E21
E38	AFA20001208.1400.0118-E22
E41	AFA20001208.1400.0118-E23
E42	AFA20001208.1400.0118-E24
E43	AFA20001208.1400.0118-E25
E69	AFA20001208.1400.0118-E26
E44	AFA20001208.1400.0118-E27
E68	AFA20001208.1400.0118-E28
E45	AFA20001208.1400.0118-E29
E46	AFA20001208.1400.0118-E30
E47	AFA20001208.1400.0118-E31
E48	AFA20001208.1400.0118-E32
E49	AFA20001208.1400.0118-E33
E50	AFA20001208.1400.0118-E34
E51	AFA20001208.1400.0118-E35
E52	AFA20001208.1400.0118-E36
E53	AFA20001208.1400.0118-E37
E55	AFA20001208.1400.0118-E38
E56	AFA20001208.1400.0118-E39
E57	AFA20001208.1400.0118-E40
E58	AFA20001208.1400.0118-E41
E59	AFA20001208.1400.0118-E42
E2	AFA20001208.1400.0118-E43
E67	AFA20001208.1400.0118-E44
E3	AFA20001208.1400.0118-E45
E4	AFA20001208.1400.0118-E46
E5	AFA20001208.1400.0118-E47
E6	AFA20001208.1400.0118-E48
E8	AFA20001208.1400.0118-E49
E9	AFA20001208.1400.0118-E50
E11	AFA20001208.1400.0118-E51
E12	AFA20001208.1400.0118-E52
E13	AFA20001208.1400.0118-E53
E14	AFA20001208.1400.0118-E54
E15	AFA20001208.1400.0118-E55
EM17	AFA20001208.1400.0118-E52-1
EM18	AFA20001208.1400.0118-E52-2
EM19	AFA20001208.1400.0118-E50-3
EM20	AFA20001208.1400.0118-E1-4
EM21	AFA20001208.1400.0118-E2-5
EM22	AFA20001208.1400.0118-E50-6
EM23	AFA20001208.1400.0118-E2-7
EM24	AFA20001208.1400.0118-E3-8
EM25	AFA20001208.1400.0118-E3-9
EM27	AFA20001208.1400.0118-E50-10
EM28	AFA20001208.1400.0118-E4-11
EM26	AFA20001208.1400.0118-E5-12
EM29	AFA20001208.1400.0118-E6-13
EM30	AFA20001208.1400.0118-E6-14
EM32	AFA20001208.1400.0118-E7-15
EM31	AFA20001208.1400.0118-E50-16
EM33	AFA20001208.1400.0118-E8-17
EM34	AFA20001208.1400.0118-E50-18
EM35	AFA20001208.1400.0118-E9-19
EM37	AFA20001208.1400.0118-E10-20
EM38	AFA20001208.1400.0118-E1-21
EM39	AFA20001208.1400.0118-E11-22
EM40	AFA20001208.1400.0118-E11-23
EM41	AFA20001208.1400.0118-E12-24
EM42	AFA20001208.1400.0118-E11-25
EM43	AFA20001208.1400.0118-E13-26
EM44	AFA20001208.1400.0118-E14-27
EM45	AFA20001208.1400.0118-E15-28
EM46	AFA20001208.1400.0118-E15-29
EM121	AFA20001208.1400.0118-E37-30
EM48	AFA20001208.1400.0118-E50-31
EM49	AFA20001208.1400.0118-E16-32
EM50	AFA20001208.1400.0118-E15-33
EM51	AFA20001208.1400.0118-E50-34
EM52	AFA20001208.1400.0118-E50-35
EM53	AFA20001208.1400.0118-E50-36
EM56	AFA20001208.1400.0118-E50-37
EM54	AFA20001208.1400.0118-E17-38
EM55	AFA20001208.1400.0118-E17-39
EM57	AFA20001208.1400.0118-E18-40
EM58	AFA20001208.1400.0118-E50-41
EM59	AFA20001208.1400.0118-E19-42
EM60	AFA20001208.1400.0118-E47-43
EM63	AFA20001208.1400.0118-E5-44
EM64	AFA20001208.1400.0118-E50-45
EM134	AFA20001208.1400.0118-E50-46
EM66	AFA20001208.1400.0118-E20-47
EM67	AFA20001208.1400.0118-E21-48
EM68	AFA20001208.1400.0118-E50-49
EM69	AFA20001208.1400.0118-E52-50
EM70	AFA20001208.1400.0118-E52-51
EM71	AFA20001208.1400.0118-E52-52
EM72	AFA20001208.1400.0118-E53-53
EM73	AFA20001208.1400.0118-E22-54
EM74	AFA20001208.1400.0118-E50-55
EM91	AFA20001208.1400.0118-E26-56
EM123	AFA20001208.1400.0118-E28-57
EM76	AFA20001208.1400.0118-E23-58
EM77	AFA20001208.1400.0118-E52-59
EM78	AFA20001208.1400.0118-E50-60
EM79	AFA20001208.1400.0118-E50-61
EM80	AFA20001208.1400.0118-E24-62
EM81	AFA20001208.1400.0118-E1-63
EM83	AFA20001208.1400.0118-E50-64
EM85	AFA20001208.1400.0118-E50-65
EM82	AFA20001208.1400.0118-E25-66
EM1	AFA20001208.1400.0118-E43-67
EM84	AFA20001208.1400.0118-E8-68
EM86	AFA20001208.1400.0118-E46-69
EM87	AFA20001208.1400.0118-E55-70
EM89	AFA20001208.1400.0118-E55-71
EM90	AFA20001208.1400.0118-E55-72
EM88	AFA20001208.1400.0118-E54-73
EM92	AFA20001208.1400.0118-E46-74
EM93	AFA20001208.1400.0118-E50-75
EM94	AFA20001208.1400.0118-E50-76
EM95	AFA20001208.1400.0118-E50-77
EM96	AFA20001208.1400.0118-E50-78
EM97	AFA20001208.1400.0118-E50-79
EM100	AFA20001208.1400.0118-E50-80
EM98	AFA20001208.1400.0118-E27-81
EM99	AFA20001208.1400.0118-E27-82
EM103	AFA20001208.1400.0118-E29-83
EM102	AFA20001208.1400.0118-E30-84
EM105	AFA20001208.1400.0118-E31-85
EM104	AFA20001208.1400.0118-E54-86
EM106	AFA20001208.1400.0118-E52-87
EM107	AFA20001208.1400.0118-E32-88
EM108	AFA20001208.1400.0118-E32-89
EM110	AFA20001208.1400.0118-E33-90
EM109	AFA20001208.1400.0118-E52-91
EM111	AFA20001208.1400.0118-E34-92
EM112	AFA20001208.1400.0118-E55-93
EM113	AFA20001208.1400.0118-E23-94
EM114	AFA20001208.1400.0118-E52-95
EM115	AFA20001208.1400.0118-E50-96
EM116	AFA20001208.1400.0118-E52-97
EM118	AFA20001208.1400.0118-E35-98
EM119	AFA20001208.1400.0118-E36-99
EM120	AFA20001208.1400.0118-E43-100
EM122	AFA20001208.1400.0118-E52-101
EM124	AFA20001208.1400.0118-E38-102
EM126	AFA20001208.1400.0118-E32-103
EM125	AFA20001208.1400.0118-E39-104
EM130	AFA20001208.1400.0118-E40-105
EM131	AFA20001208.1400.0118-E41-106
EM132	AFA20001208.1400.0118-E42-107
EM133	AFA20001208.1400.0118-E41-108
EM61	AFA20001208.1400.0118-E50-109
EM36	AFA20001208.1400.0118-E9-110
EM2	AFA20001208.1400.0118-E45-111
EM62	AFA20001208.1400.0118-E50-112
EM117	AFA20001208.1400.0118-E52-113
EM75	AFA20001208.1400.0118-E52-114
