CE28	ANN20001019.0900.0066-CE1
CE8	ANN20001019.0900.0066-CE2
CE9	ANN20001019.0900.0066-CE3
CE10	ANN20001019.0900.0066-CE4
CE13	ANN20001019.0900.0066-CE5
CE14	ANN20001019.0900.0066-CE6
CE15	ANN20001019.0900.0066-CE7
CE16	ANN20001019.0900.0066-CE8
CE20	ANN20001019.0900.0066-CE9
CE21	ANN20001019.0900.0066-CE10
CE22	ANN20001019.0900.0066-CE11
CE23	ANN20001019.0900.0066-CE12
CE25	ANN20001019.0900.0066-CE13
CE27	ANN20001019.0900.0066-CE14
CE24	ANN20001019.0900.0066-CE15
CE29	ANN20001019.0900.0066-CE16
CE30	ANN20001019.0900.0066-CE17
CE31	ANN20001019.0900.0066-CE18
CE32	ANN20001019.0900.0066-CE19
CE2	ANN20001019.0900.0066-CE20
CE11	ANN20001019.0900.0066-CE21
CE26	ANN20001019.0900.0066-CE22
CE7	ANN20001019.0900.0066-CE23
CE3	ANN20001019.0900.0066-CE24
CE4	ANN20001019.0900.0066-CE25
CE5	ANN20001019.0900.0066-CE26
CE1	ANN20001019.0900.0066-CE27
CE17	ANN20001019.0900.0066-CE28
CE18	ANN20001019.0900.0066-CE29
CE19	ANN20001019.0900.0066-CE30
CE6	ANN20001019.0900.0066-CE31
E14	ANN20001019.0900.0066-E1
E15	ANN20001019.0900.0066-E2
E16	ANN20001019.0900.0066-E3
E17	ANN20001019.0900.0066-E4
E21	ANN20001019.0900.0066-E5
E22	ANN20001019.0900.0066-E6
E23	ANN20001019.0900.0066-E7
E24	ANN20001019.0900.0066-E8
E26	ANN20001019.0900.0066-E9
E27	ANN20001019.0900.0066-E10
E28	ANN20001019.0900.0066-E11
E29	ANN20001019.0900.0066-E12
E30	ANN20001019.0900.0066-E13
E1	ANN20001019.0900.0066-E14
E31	ANN20001019.0900.0066-E15
E32	ANN20001019.0900.0066-E16
E33	ANN20001019.0900.0066-E17
E35	ANN20001019.0900.0066-E18
E36	ANN20001019.0900.0066-E19
E37	ANN20001019.0900.0066-E20
E38	ANN20001019.0900.0066-E21
E39	ANN20001019.0900.0066-E22
E40	ANN20001019.0900.0066-E23
E48	ANN20001019.0900.0066-E24
E49	ANN20001019.0900.0066-E25
E50	ANN20001019.0900.0066-E26
E51	ANN20001019.0900.0066-E27
E2	ANN20001019.0900.0066-E28
E4	ANN20001019.0900.0066-E29
E5	ANN20001019.0900.0066-E30
E6	ANN20001019.0900.0066-E31
E8	ANN20001019.0900.0066-E32
E9	ANN20001019.0900.0066-E33
E10	ANN20001019.0900.0066-E34
E11	ANN20001019.0900.0066-E35
E12	ANN20001019.0900.0066-E36
E13	ANN20001019.0900.0066-E37
EM1	ANN20001019.0900.0066-E14-1
EM12	ANN20001019.0900.0066-E2-2
EM13	ANN20001019.0900.0066-E3-3
EM14	ANN20001019.0900.0066-E4-4
EM15	ANN20001019.0900.0066-E4-5
EM17	ANN20001019.0900.0066-E4-6
EM16	ANN20001019.0900.0066-E37-7
EM20	ANN20001019.0900.0066-E5-8
EM23	ANN20001019.0900.0066-E5-9
EM21	ANN20001019.0900.0066-E6-10
EM24	ANN20001019.0900.0066-E7-11
EM22	ANN20001019.0900.0066-E6-12
EM5	ANN20001019.0900.0066-E29-13
EM27	ANN20001019.0900.0066-E9-14
EM28	ANN20001019.0900.0066-E9-15
EM29	ANN20001019.0900.0066-E9-16
EM30	ANN20001019.0900.0066-E14-17
EM32	ANN20001019.0900.0066-E9-18
EM33	ANN20001019.0900.0066-E31-19
EM42	ANN20001019.0900.0066-E5-20
EM45	ANN20001019.0900.0066-E14-21
EM46	ANN20001019.0900.0066-E10-22
EM47	ANN20001019.0900.0066-E11-23
EM48	ANN20001019.0900.0066-E12-24
EM49	ANN20001019.0900.0066-E13-25
EM50	ANN20001019.0900.0066-E10-26
EM51	ANN20001019.0900.0066-E10-27
EM52	ANN20001019.0900.0066-E10-28
EM55	ANN20001019.0900.0066-E10-29
EM53	ANN20001019.0900.0066-E31-30
EM54	ANN20001019.0900.0066-E31-31
EM59	ANN20001019.0900.0066-E9-32
EM40	ANN20001019.0900.0066-E5-33
EM60	ANN20001019.0900.0066-E15-34
EM63	ANN20001019.0900.0066-E9-35
EM64	ANN20001019.0900.0066-E16-36
EM66	ANN20001019.0900.0066-E17-37
EM31	ANN20001019.0900.0066-E9-38
EM56	ANN20001019.0900.0066-E18-39
EM57	ANN20001019.0900.0066-E18-40
EM69	ANN20001019.0900.0066-E18-41
EM70	ANN20001019.0900.0066-E19-42
EM71	ANN20001019.0900.0066-E20-43
EM72	ANN20001019.0900.0066-E21-44
EM73	ANN20001019.0900.0066-E22-45
EM68	ANN20001019.0900.0066-E9-46
EM43	ANN20001019.0900.0066-E5-47
EM44	ANN20001019.0900.0066-E5-48
EM58	ANN20001019.0900.0066-E9-49
EM2	ANN20001019.0900.0066-E14-50
EM18	ANN20001019.0900.0066-E23-51
EM62	ANN20001019.0900.0066-E9-52
EM67	ANN20001019.0900.0066-E9-53
EM3	ANN20001019.0900.0066-E24-54
EM4	ANN20001019.0900.0066-E28-55
EM25	ANN20001019.0900.0066-E25-56
EM26	ANN20001019.0900.0066-E8-57
EM61	ANN20001019.0900.0066-E26-58
EM10	ANN20001019.0900.0066-E27-59
EM65	ANN20001019.0900.0066-E1-60
EM6	ANN20001019.0900.0066-E29-61
EM8	ANN20001019.0900.0066-E30-62
EM7	ANN20001019.0900.0066-E31-63
EM11	ANN20001019.0900.0066-E32-64
EM34	ANN20001019.0900.0066-E31-65
EM35	ANN20001019.0900.0066-E33-66
EM36	ANN20001019.0900.0066-E33-67
EM37	ANN20001019.0900.0066-E34-68
EM38	ANN20001019.0900.0066-E35-69
EM41	ANN20001019.0900.0066-E36-70
EM39	ANN20001019.0900.0066-E35-71
EM9	ANN20001019.0900.0066-E37-72
R3	ANN20001019.0900.0066-R1
R1	ANN20001019.0900.0066-R2
R2	ANN20001019.0900.0066-R3
R5	ANN20001019.0900.0066-R4
R6	ANN20001019.0900.0066-R5
R10	ANN20001019.0900.0066-R6
R9	ANN20001019.0900.0066-R7
R4	ANN20001019.0900.0066-R8
R7	ANN20001019.0900.0066-R9
R8	ANN20001019.0900.0066-R10
RM3	ANN20001019.0900.0066-R1-1
RM1	ANN20001019.0900.0066-R2-1
RM2	ANN20001019.0900.0066-R3-1
RM5	ANN20001019.0900.0066-R4-1
RM6	ANN20001019.0900.0066-R5-1
RM10	ANN20001019.0900.0066-R6-1
RM9	ANN20001019.0900.0066-R7-1
RM4	ANN20001019.0900.0066-R8-1
RM7	ANN20001019.0900.0066-R9-1
RM8	ANN20001019.0900.0066-R10-1
V1	ANN20001019.0900.0066-EV1
V2	ANN20001019.0900.0066-EV2
V3	ANN20001019.0900.0066-EV3
V5	ANN20001019.0900.0066-EV4
V6	ANN20001019.0900.0066-EV5
V8	ANN20001019.0900.0066-EV6
V9	ANN20001019.0900.0066-EV7
V10	ANN20001019.0900.0066-EV8
V11	ANN20001019.0900.0066-EV9
V4	ANN20001019.0900.0066-EV10
V7	ANN20001019.0900.0066-EV11
VM1	ANN20001019.0900.0066-EV1-1
VM2	ANN20001019.0900.0066-EV2-1
VM3	ANN20001019.0900.0066-EV3-1
VM5	ANN20001019.0900.0066-EV4-1
VM6	ANN20001019.0900.0066-EV5-1
VM8	ANN20001019.0900.0066-EV6-1
VM9	ANN20001019.0900.0066-EV7-1
VM10	ANN20001019.0900.0066-EV8-1
VM11	ANN20001019.0900.0066-EV9-1
VM4	ANN20001019.0900.0066-EV10-1
VM7	ANN20001019.0900.0066-EV11-1
Q2	ANN20001019.0900.0066-T1
Q4	ANN20001019.0900.0066-T2
Q3	ANN20001019.0900.0066-T3
Q1	ANN20001019.0900.0066-T4
