CE13	ANN20001201.2100.0146-CE1
CE14	ANN20001201.2100.0146-CE2
CE3	ANN20001201.2100.0146-CE3
CE1	ANN20001201.2100.0146-CE4
CE2	ANN20001201.2100.0146-CE5
CE4	ANN20001201.2100.0146-CE6
CE5	ANN20001201.2100.0146-CE7
CE6	ANN20001201.2100.0146-CE8
CE7	ANN20001201.2100.0146-CE9
CE8	ANN20001201.2100.0146-CE10
CE11	ANN20001201.2100.0146-CE11
CE10	ANN20001201.2100.0146-CE12
CE12	ANN20001201.2100.0146-CE13
E16	ANN20001201.2100.0146-E1
E17	ANN20001201.2100.0146-E2
E19	ANN20001201.2100.0146-E3
E1	ANN20001201.2100.0146-E4
E2	ANN20001201.2100.0146-E5
E3	ANN20001201.2100.0146-E6
E4	ANN20001201.2100.0146-E7
E5	ANN20001201.2100.0146-E8
E6	ANN20001201.2100.0146-E9
E7	ANN20001201.2100.0146-E10
E8	ANN20001201.2100.0146-E11
E13	ANN20001201.2100.0146-E12
E12	ANN20001201.2100.0146-E13
E14	ANN20001201.2100.0146-E14
EM1	ANN20001201.2100.0146-E4-1
EM19	ANN20001201.2100.0146-E7-2
EM20	ANN20001201.2100.0146-E7-3
EM21	ANN20001201.2100.0146-E1-4
EM22	ANN20001201.2100.0146-E2-5
EM23	ANN20001201.2100.0146-E2-6
EM24	ANN20001201.2100.0146-E2-7
EM3	ANN20001201.2100.0146-E3-8
EM2	ANN20001201.2100.0146-E5-9
EM5	ANN20001201.2100.0146-E6-10
EM6	ANN20001201.2100.0146-E8-11
EM4	ANN20001201.2100.0146-E6-12
EM7	ANN20001201.2100.0146-E9-13
EM8	ANN20001201.2100.0146-E9-14
EM9	ANN20001201.2100.0146-E10-15
EM10	ANN20001201.2100.0146-E11-16
EM11	ANN20001201.2100.0146-E11-17
EM17	ANN20001201.2100.0146-E12-18
EM12	ANN20001201.2100.0146-E7-19
EM13	ANN20001201.2100.0146-E6-20
EM14	ANN20001201.2100.0146-E6-21
EM15	ANN20001201.2100.0146-E7-22
EM16	ANN20001201.2100.0146-E13-23
EM18	ANN20001201.2100.0146-E14-24
R1	ANN20001201.2100.0146-R1
R2	ANN20001201.2100.0146-R2
R3	ANN20001201.2100.0146-R3
RM1	ANN20001201.2100.0146-R1-1
RM2	ANN20001201.2100.0146-R2-1
RM3	ANN20001201.2100.0146-R3-1
V1	ANN20001201.2100.0146-EV1
V2	ANN20001201.2100.0146-EV2
V3	ANN20001201.2100.0146-EV3
VM1	ANN20001201.2100.0146-EV1-1
VM2	ANN20001201.2100.0146-EV2-1
VM3	ANN20001201.2100.0146-EV3-1
Q8	ANN20001201.2100.0146-V1
Q1	ANN20001201.2100.0146-T1
Q2	ANN20001201.2100.0146-T2
Q3	ANN20001201.2100.0146-V2
Q4	ANN20001201.2100.0146-V3
Q5	ANN20001201.2100.0146-T3
Q6	ANN20001201.2100.0146-V4
Q7	ANN20001201.2100.0146-V5
Q10	ANN20001201.2100.0146-V6
Q11	ANN20001201.2100.0146-V7
Q12	ANN20001201.2100.0146-T4
Q13	ANN20001201.2100.0146-T5
Q15	ANN20001201.2100.0146-T6
Q9	ANN20001201.2100.0146-V8
QM8	ANN20001201.2100.0146-V1-1
QM3	ANN20001201.2100.0146-V2-1
QM4	ANN20001201.2100.0146-V3-1
QM6	ANN20001201.2100.0146-V4-1
QM7	ANN20001201.2100.0146-V5-1
QM10	ANN20001201.2100.0146-V6-1
QM11	ANN20001201.2100.0146-V7-1
QM9	ANN20001201.2100.0146-V8-1
