CE9	ANN20001125.2100.0155-CE1
CE10	ANN20001125.2100.0155-CE2
CE11	ANN20001125.2100.0155-CE3
CE12	ANN20001125.2100.0155-CE4
CE13	ANN20001125.2100.0155-CE5
CE1	ANN20001125.2100.0155-CE6
CE2	ANN20001125.2100.0155-CE7
CE3	ANN20001125.2100.0155-CE8
CE4	ANN20001125.2100.0155-CE9
CE5	ANN20001125.2100.0155-CE10
CE6	ANN20001125.2100.0155-CE11
CE7	ANN20001125.2100.0155-CE12
CE8	ANN20001125.2100.0155-CE13
E17	ANN20001125.2100.0155-E1
E12	ANN20001125.2100.0155-E2
E13	ANN20001125.2100.0155-E3
E15	ANN20001125.2100.0155-E4
E18	ANN20001125.2100.0155-E5
E1	ANN20001125.2100.0155-E6
E2	ANN20001125.2100.0155-E7
E3	ANN20001125.2100.0155-E8
E4	ANN20001125.2100.0155-E9
E5	ANN20001125.2100.0155-E10
E6	ANN20001125.2100.0155-E11
E7	ANN20001125.2100.0155-E12
E8	ANN20001125.2100.0155-E13
E9	ANN20001125.2100.0155-E14
E10	ANN20001125.2100.0155-E15
EM1	ANN20001125.2100.0155-E6-1
EM20	ANN20001125.2100.0155-E15-2
EM21	ANN20001125.2100.0155-E1-3
EM23	ANN20001125.2100.0155-E8-4
EM24	ANN20001125.2100.0155-E2-5
EM26	ANN20001125.2100.0155-E8-6
EM25	ANN20001125.2100.0155-E8-7
EM27	ANN20001125.2100.0155-E14-8
EM28	ANN20001125.2100.0155-E14-9
EM29	ANN20001125.2100.0155-E8-10
EM31	ANN20001125.2100.0155-E8-11
EM30	ANN20001125.2100.0155-E3-12
EM33	ANN20001125.2100.0155-E4-13
EM34	ANN20001125.2100.0155-E6-14
EM35	ANN20001125.2100.0155-E5-15
EM15	ANN20001125.2100.0155-E8-16
EM22	ANN20001125.2100.0155-E2-17
EM2	ANN20001125.2100.0155-E7-18
EM3	ANN20001125.2100.0155-E8-19
EM4	ANN20001125.2100.0155-E10-20
EM5	ANN20001125.2100.0155-E8-21
EM6	ANN20001125.2100.0155-E9-22
EM7	ANN20001125.2100.0155-E9-23
EM8	ANN20001125.2100.0155-E11-24
EM9	ANN20001125.2100.0155-E11-25
EM10	ANN20001125.2100.0155-E8-26
EM11	ANN20001125.2100.0155-E8-27
EM12	ANN20001125.2100.0155-E12-28
EM13	ANN20001125.2100.0155-E13-29
EM14	ANN20001125.2100.0155-E14-30
EM16	ANN20001125.2100.0155-E8-31
EM17	ANN20001125.2100.0155-E8-32
EM18	ANN20001125.2100.0155-E15-33
EM19	ANN20001125.2100.0155-E15-34
R1	ANN20001125.2100.0155-R1
R2	ANN20001125.2100.0155-R2
R3	ANN20001125.2100.0155-R3
R4	ANN20001125.2100.0155-R4
R5	ANN20001125.2100.0155-R5
RM1	ANN20001125.2100.0155-R1-1
RM2	ANN20001125.2100.0155-R2-1
RM3	ANN20001125.2100.0155-R3-1
RM4	ANN20001125.2100.0155-R4-1
RM5	ANN20001125.2100.0155-R5-1
V1	ANN20001125.2100.0155-EV1
V2	ANN20001125.2100.0155-EV2
V3	ANN20001125.2100.0155-EV3
V4	ANN20001125.2100.0155-EV4
VM1	ANN20001125.2100.0155-EV1-1
VM2	ANN20001125.2100.0155-EV2-1
VM3	ANN20001125.2100.0155-EV3-1
VM4	ANN20001125.2100.0155-EV4-1
Q1	ANN20001125.2100.0155-T1
Q3	ANN20001125.2100.0155-T2
Q4	ANN20001125.2100.0155-V1
Q5	ANN20001125.2100.0155-V2
Q2	ANN20001125.2100.0155-V3
Q6	ANN20001125.2100.0155-V4
Q7	ANN20001125.2100.0155-V5
Q8	ANN20001125.2100.0155-V6
Q11	ANN20001125.2100.0155-V7
Q10	ANN20001125.2100.0155-V8
Q9	ANN20001125.2100.0155-T3
QM4	ANN20001125.2100.0155-V1-1
QM5	ANN20001125.2100.0155-V2-1
QM2	ANN20001125.2100.0155-V3-1
QM6	ANN20001125.2100.0155-V4-1
QM7	ANN20001125.2100.0155-V5-1
QM8	ANN20001125.2100.0155-V6-1
QM11	ANN20001125.2100.0155-V7-1
QM10	ANN20001125.2100.0155-V8-1
