CE7	ALH20001014.1300.0085-CE1
CE8	ALH20001014.1300.0085-CE2
CE10	ALH20001014.1300.0085-CE3
CE11	ALH20001014.1300.0085-CE4
CE12	ALH20001014.1300.0085-CE5
CE13	ALH20001014.1300.0085-CE6
CE14	ALH20001014.1300.0085-CE7
CE15	ALH20001014.1300.0085-CE8
CE16	ALH20001014.1300.0085-CE9
CE17	ALH20001014.1300.0085-CE10
CE18	ALH20001014.1300.0085-CE11
CE20	ALH20001014.1300.0085-CE12
CE21	ALH20001014.1300.0085-CE13
CE22	ALH20001014.1300.0085-CE14
CE23	ALH20001014.1300.0085-CE15
CE24	ALH20001014.1300.0085-CE16
CE25	ALH20001014.1300.0085-CE17
CE26	ALH20001014.1300.0085-CE18
CE27	ALH20001014.1300.0085-CE19
CE28	ALH20001014.1300.0085-CE20
CE29	ALH20001014.1300.0085-CE21
CE30	ALH20001014.1300.0085-CE22
CE31	ALH20001014.1300.0085-CE23
CE32	ALH20001014.1300.0085-CE24
CE2	ALH20001014.1300.0085-CE25
CE33	ALH20001014.1300.0085-CE26
CE34	ALH20001014.1300.0085-CE27
CE19	ALH20001014.1300.0085-CE28
CE35	ALH20001014.1300.0085-CE29
CE9	ALH20001014.1300.0085-CE30
CE36	ALH20001014.1300.0085-CE31
CE37	ALH20001014.1300.0085-CE32
CE40	ALH20001014.1300.0085-CE33
CE41	ALH20001014.1300.0085-CE34
CE42	ALH20001014.1300.0085-CE35
CE39	ALH20001014.1300.0085-CE36
CE43	ALH20001014.1300.0085-CE37
CE44	ALH20001014.1300.0085-CE38
CE45	ALH20001014.1300.0085-CE39
CE46	ALH20001014.1300.0085-CE40
CE47	ALH20001014.1300.0085-CE41
CE1	ALH20001014.1300.0085-CE42
CE48	ALH20001014.1300.0085-CE43
CE49	ALH20001014.1300.0085-CE44
CE50	ALH20001014.1300.0085-CE45
CE51	ALH20001014.1300.0085-CE46
CE52	ALH20001014.1300.0085-CE47
CE3	ALH20001014.1300.0085-CE48
CE38	ALH20001014.1300.0085-CE49
CE4	ALH20001014.1300.0085-CE50
CE5	ALH20001014.1300.0085-CE51
CE6	ALH20001014.1300.0085-CE52
E9	ALH20001014.1300.0085-E1
E10	ALH20001014.1300.0085-E2
E11	ALH20001014.1300.0085-E3
E12	ALH20001014.1300.0085-E4
E13	ALH20001014.1300.0085-E5
E14	ALH20001014.1300.0085-E6
E15	ALH20001014.1300.0085-E7
E16	ALH20001014.1300.0085-E8
E81	ALH20001014.1300.0085-E9
E18	ALH20001014.1300.0085-E10
E19	ALH20001014.1300.0085-E11
E20	ALH20001014.1300.0085-E12
E21	ALH20001014.1300.0085-E13
E22	ALH20001014.1300.0085-E14
E23	ALH20001014.1300.0085-E15
E24	ALH20001014.1300.0085-E16
E25	ALH20001014.1300.0085-E17
E26	ALH20001014.1300.0085-E18
E27	ALH20001014.1300.0085-E19
E28	ALH20001014.1300.0085-E20
E29	ALH20001014.1300.0085-E21
E1	ALH20001014.1300.0085-E22
E30	ALH20001014.1300.0085-E23
E31	ALH20001014.1300.0085-E24
E32	ALH20001014.1300.0085-E25
E33	ALH20001014.1300.0085-E26
E34	ALH20001014.1300.0085-E27
E35	ALH20001014.1300.0085-E28
E36	ALH20001014.1300.0085-E29
E37	ALH20001014.1300.0085-E30
E38	ALH20001014.1300.0085-E31
E40	ALH20001014.1300.0085-E32
E41	ALH20001014.1300.0085-E33
E42	ALH20001014.1300.0085-E34
E44	ALH20001014.1300.0085-E35
E45	ALH20001014.1300.0085-E36
E46	ALH20001014.1300.0085-E37
E48	ALH20001014.1300.0085-E38
E49	ALH20001014.1300.0085-E39
E50	ALH20001014.1300.0085-E40
E51	ALH20001014.1300.0085-E41
E52	ALH20001014.1300.0085-E42
E53	ALH20001014.1300.0085-E43
E54	ALH20001014.1300.0085-E44
E55	ALH20001014.1300.0085-E45
E56	ALH20001014.1300.0085-E46
E57	ALH20001014.1300.0085-E47
E83	ALH20001014.1300.0085-E48
E59	ALH20001014.1300.0085-E49
E60	ALH20001014.1300.0085-E50
E61	ALH20001014.1300.0085-E51
E62	ALH20001014.1300.0085-E52
E63	ALH20001014.1300.0085-E53
E65	ALH20001014.1300.0085-E54
E66	ALH20001014.1300.0085-E55
E68	ALH20001014.1300.0085-E56
E69	ALH20001014.1300.0085-E57
E70	ALH20001014.1300.0085-E58
E71	ALH20001014.1300.0085-E59
E2	ALH20001014.1300.0085-E60
E72	ALH20001014.1300.0085-E61
E73	ALH20001014.1300.0085-E62
E74	ALH20001014.1300.0085-E63
E75	ALH20001014.1300.0085-E64
E76	ALH20001014.1300.0085-E65
E77	ALH20001014.1300.0085-E66
E3	ALH20001014.1300.0085-E67
E87	ALH20001014.1300.0085-E68
E4	ALH20001014.1300.0085-E69
E5	ALH20001014.1300.0085-E70
E6	ALH20001014.1300.0085-E71
E8	ALH20001014.1300.0085-E72
EM1	ALH20001014.1300.0085-E22-1
EM14	ALH20001014.1300.0085-E2-2
EM15	ALH20001014.1300.0085-E60-3
EM17	ALH20001014.1300.0085-E3-4
EM19	ALH20001014.1300.0085-E3-5
EM20	ALH20001014.1300.0085-E3-6
EM18	ALH20001014.1300.0085-E4-7
EM22	ALH20001014.1300.0085-E5-8
EM21	ALH20001014.1300.0085-E5-9
EM23	ALH20001014.1300.0085-E6-10
EM24	ALH20001014.1300.0085-E7-11
EM25	ALH20001014.1300.0085-E8-12
EM26	ALH20001014.1300.0085-E7-13
EM42	ALH20001014.1300.0085-E9-14
EM27	ALH20001014.1300.0085-E10-15
EM28	ALH20001014.1300.0085-E10-16
EM29	ALH20001014.1300.0085-E12-17
EM31	ALH20001014.1300.0085-E7-18
EM32	ALH20001014.1300.0085-E7-19
EM34	ALH20001014.1300.0085-E13-20
EM33	ALH20001014.1300.0085-E13-21
EM35	ALH20001014.1300.0085-E14-22
EM36	ALH20001014.1300.0085-E6-23
EM37	ALH20001014.1300.0085-E60-24
EM38	ALH20001014.1300.0085-E7-25
EM39	ALH20001014.1300.0085-E8-26
EM40	ALH20001014.1300.0085-E7-27
EM41	ALH20001014.1300.0085-E60-28
EM43	ALH20001014.1300.0085-E15-29
EM44	ALH20001014.1300.0085-E16-30
EM45	ALH20001014.1300.0085-E17-31
EM46	ALH20001014.1300.0085-E18-32
EM47	ALH20001014.1300.0085-E19-33
EM48	ALH20001014.1300.0085-E19-34
EM49	ALH20001014.1300.0085-E19-35
EM50	ALH20001014.1300.0085-E60-36
EM51	ALH20001014.1300.0085-E60-37
EM52	ALH20001014.1300.0085-E20-38
EM53	ALH20001014.1300.0085-E21-39
EM54	ALH20001014.1300.0085-E21-40
EM55	ALH20001014.1300.0085-E23-41
EM57	ALH20001014.1300.0085-E24-42
EM56	ALH20001014.1300.0085-E25-43
EM58	ALH20001014.1300.0085-E6-44
EM59	ALH20001014.1300.0085-E26-45
EM60	ALH20001014.1300.0085-E27-46
EM61	ALH20001014.1300.0085-E14-47
EM62	ALH20001014.1300.0085-E26-48
EM63	ALH20001014.1300.0085-E28-49
EM64	ALH20001014.1300.0085-E28-50
EM65	ALH20001014.1300.0085-E29-51
EM66	ALH20001014.1300.0085-E30-52
EM67	ALH20001014.1300.0085-E30-53
EM68	ALH20001014.1300.0085-E30-54
EM69	ALH20001014.1300.0085-E31-55
EM70	ALH20001014.1300.0085-E8-56
EM71	ALH20001014.1300.0085-E32-57
EM73	ALH20001014.1300.0085-E30-58
EM72	ALH20001014.1300.0085-E30-59
EM74	ALH20001014.1300.0085-E30-60
EM75	ALH20001014.1300.0085-E33-61
EM76	ALH20001014.1300.0085-E30-62
EM77	ALH20001014.1300.0085-E30-63
EM79	ALH20001014.1300.0085-E34-64
EM78	ALH20001014.1300.0085-E34-65
EM94	ALH20001014.1300.0085-E43-66
EM80	ALH20001014.1300.0085-E35-67
EM81	ALH20001014.1300.0085-E36-68
