CE11	ALH20001028.1300.0082-CE1
CE12	ALH20001028.1300.0082-CE2
CE13	ALH20001028.1300.0082-CE3
CE14	ALH20001028.1300.0082-CE4
CE15	ALH20001028.1300.0082-CE5
CE16	ALH20001028.1300.0082-CE6
CE17	ALH20001028.1300.0082-CE7
CE18	ALH20001028.1300.0082-CE8
CE19	ALH20001028.1300.0082-CE9
CE20	ALH20001028.1300.0082-CE10
CE4	ALH20001028.1300.0082-CE11
CE21	ALH20001028.1300.0082-CE12
CE22	ALH20001028.1300.0082-CE13
CE23	ALH20001028.1300.0082-CE14
CE24	ALH20001028.1300.0082-CE15
CE25	ALH20001028.1300.0082-CE16
CE26	ALH20001028.1300.0082-CE17
CE27	ALH20001028.1300.0082-CE18
CE28	ALH20001028.1300.0082-CE19
CE29	ALH20001028.1300.0082-CE20
CE30	ALH20001028.1300.0082-CE21
CE31	ALH20001028.1300.0082-CE22
CE32	ALH20001028.1300.0082-CE23
CE2	ALH20001028.1300.0082-CE24
CE34	ALH20001028.1300.0082-CE25
CE35	ALH20001028.1300.0082-CE26
CE36	ALH20001028.1300.0082-CE27
CE37	ALH20001028.1300.0082-CE28
CE38	ALH20001028.1300.0082-CE29
CE43	ALH20001028.1300.0082-CE30
CE39	ALH20001028.1300.0082-CE31
CE3	ALH20001028.1300.0082-CE32
CE41	ALH20001028.1300.0082-CE33
CE42	ALH20001028.1300.0082-CE34
CE40	ALH20001028.1300.0082-CE35
CE33	ALH20001028.1300.0082-CE36
CE5	ALH20001028.1300.0082-CE37
CE6	ALH20001028.1300.0082-CE38
CE7	ALH20001028.1300.0082-CE39
CE8	ALH20001028.1300.0082-CE40
CE9	ALH20001028.1300.0082-CE41
CE1	ALH20001028.1300.0082-CE42
CE10	ALH20001028.1300.0082-CE43
E9	ALH20001028.1300.0082-E1
E10	ALH20001028.1300.0082-E2
E11	ALH20001028.1300.0082-E3
E12	ALH20001028.1300.0082-E4
E13	ALH20001028.1300.0082-E5
E14	ALH20001028.1300.0082-E6
E15	ALH20001028.1300.0082-E7
E16	ALH20001028.1300.0082-E8
E17	ALH20001028.1300.0082-E9
E18	ALH20001028.1300.0082-E10
E19	ALH20001028.1300.0082-E11
E20	ALH20001028.1300.0082-E12
E22	ALH20001028.1300.0082-E13
E23	ALH20001028.1300.0082-E14
E24	ALH20001028.1300.0082-E15
E25	ALH20001028.1300.0082-E16
E26	ALH20001028.1300.0082-E17
E27	ALH20001028.1300.0082-E18
E28	ALH20001028.1300.0082-E19
E29	ALH20001028.1300.0082-E20
E30	ALH20001028.1300.0082-E21
E31	ALH20001028.1300.0082-E22
E32	ALH20001028.1300.0082-E23
E34	ALH20001028.1300.0082-E24
E35	ALH20001028.1300.0082-E25
E36	ALH20001028.1300.0082-E26
E37	ALH20001028.1300.0082-E27
E39	ALH20001028.1300.0082-E28
E40	ALH20001028.1300.0082-E29
E41	ALH20001028.1300.0082-E30
E43	ALH20001028.1300.0082-E31
E44	ALH20001028.1300.0082-E32
