CE11	ANN20001229.0900.0053-CE1
CE12	ANN20001229.0900.0053-CE2
CE13	ANN20001229.0900.0053-CE3
CE14	ANN20001229.0900.0053-CE4
CE15	ANN20001229.0900.0053-CE5
CE16	ANN20001229.0900.0053-CE6
CE17	ANN20001229.0900.0053-CE7
CE1	ANN20001229.0900.0053-CE8
CE2	ANN20001229.0900.0053-CE9
CE3	ANN20001229.0900.0053-CE10
CE4	ANN20001229.0900.0053-CE11
CE5	ANN20001229.0900.0053-CE12
CE6	ANN20001229.0900.0053-CE13
CE7	ANN20001229.0900.0053-CE14
CE8	ANN20001229.0900.0053-CE15
CE9	ANN20001229.0900.0053-CE16
CE10	ANN20001229.0900.0053-CE17
E13	ANN20001229.0900.0053-E1
E14	ANN20001229.0900.0053-E2
E15	ANN20001229.0900.0053-E3
E16	ANN20001229.0900.0053-E4
E17	ANN20001229.0900.0053-E5
E18	ANN20001229.0900.0053-E6
E19	ANN20001229.0900.0053-E7
E1	ANN20001229.0900.0053-E8
E2	ANN20001229.0900.0053-E9
E3	ANN20001229.0900.0053-E10
E4	ANN20001229.0900.0053-E11
E5	ANN20001229.0900.0053-E12
E6	ANN20001229.0900.0053-E13
E7	ANN20001229.0900.0053-E14
E8	ANN20001229.0900.0053-E15
E9	ANN20001229.0900.0053-E16
E10	ANN20001229.0900.0053-E17
E11	ANN20001229.0900.0053-E18
E12	ANN20001229.0900.0053-E19
EM1	ANN20001229.0900.0053-E8-1
EM20	ANN20001229.0900.0053-E9-2
EM22	ANN20001229.0900.0053-E1-3
EM21	ANN20001229.0900.0053-E1-4
EM23	ANN20001229.0900.0053-E13-5
EM24	ANN20001229.0900.0053-E1-6
EM25	ANN20001229.0900.0053-E2-7
EM26	ANN20001229.0900.0053-E3-8
EM27	ANN20001229.0900.0053-E2-9
EM28	ANN20001229.0900.0053-E4-10
EM29	ANN20001229.0900.0053-E5-11
EM30	ANN20001229.0900.0053-E8-12
EM31	ANN20001229.0900.0053-E5-13
EM32	ANN20001229.0900.0053-E6-14
EM33	ANN20001229.0900.0053-E5-15
EM34	ANN20001229.0900.0053-E7-16
EM35	ANN20001229.0900.0053-E8-17
EM36	ANN20001229.0900.0053-E13-18
EM2	ANN20001229.0900.0053-E9-19
EM3	ANN20001229.0900.0053-E10-20
EM4	ANN20001229.0900.0053-E11-21
EM5	ANN20001229.0900.0053-E11-22
EM6	ANN20001229.0900.0053-E8-23
EM7	ANN20001229.0900.0053-E12-24
EM8	ANN20001229.0900.0053-E14-25
EM9	ANN20001229.0900.0053-E15-26
EM10	ANN20001229.0900.0053-E15-27
EM11	ANN20001229.0900.0053-E12-28
EM12	ANN20001229.0900.0053-E15-29
EM13	ANN20001229.0900.0053-E15-30
EM14	ANN20001229.0900.0053-E16-31
EM15	ANN20001229.0900.0053-E17-32
EM16	ANN20001229.0900.0053-E18-33
EM17	ANN20001229.0900.0053-E9-34
EM18	ANN20001229.0900.0053-E19-35
EM19	ANN20001229.0900.0053-E12-36
R1	ANN20001229.0900.0053-R1
R2	ANN20001229.0900.0053-R2
R4	ANN20001229.0900.0053-R3
R3	ANN20001229.0900.0053-R4
R5	ANN20001229.0900.0053-R5
R6	ANN20001229.0900.0053-R6
R7	ANN20001229.0900.0053-R7
R8	ANN20001229.0900.0053-R8
R9	ANN20001229.0900.0053-R9
R10	ANN20001229.0900.0053-R10
R11	ANN20001229.0900.0053-R11
RM1	ANN20001229.0900.0053-R1-1
RM2	ANN20001229.0900.0053-R2-1
RM3	ANN20001229.0900.0053-R4-1
RM4	ANN20001229.0900.0053-R3-1
RM5	ANN20001229.0900.0053-R5-1
RM6	ANN20001229.0900.0053-R6-1
RM7	ANN20001229.0900.0053-R7-1
RM8	ANN20001229.0900.0053-R8-1
RM10	ANN20001229.0900.0053-R9-1
RM9	ANN20001229.0900.0053-R10-1
RM11	ANN20001229.0900.0053-R11-1
V1	ANN20001229.0900.0053-EV1
V2	ANN20001229.0900.0053-EV2
V3	ANN20001229.0900.0053-EV3
VM1	ANN20001229.0900.0053-EV1-1
VM2	ANN20001229.0900.0053-EV2-1
VM3	ANN20001229.0900.0053-EV3-1
Q5	ANN20001229.0900.0053-T1
Q4	ANN20001229.0900.0053-T2
Q2	ANN20001229.0900.0053-T3
Q3	ANN20001229.0900.0053-T4
Q1	ANN20001229.0900.0053-T5
