CE9	AFA20001222.1400.0086-CE1
CE10	AFA20001222.1400.0086-CE2
CE11	AFA20001222.1400.0086-CE3
CE12	AFA20001222.1400.0086-CE4
CE13	AFA20001222.1400.0086-CE5
CE2	AFA20001222.1400.0086-CE6
CE3	AFA20001222.1400.0086-CE7
CE4	AFA20001222.1400.0086-CE8
CE5	AFA20001222.1400.0086-CE9
CE1	AFA20001222.1400.0086-CE10
CE6	AFA20001222.1400.0086-CE11
CE14	AFA20001222.1400.0086-CE12
CE7	AFA20001222.1400.0086-CE13
CE8	AFA20001222.1400.0086-CE14
E16	AFA20001222.1400.0086-E1
E17	AFA20001222.1400.0086-E2
E18	AFA20001222.1400.0086-E3
E19	AFA20001222.1400.0086-E4
E1	AFA20001222.1400.0086-E5
E2	AFA20001222.1400.0086-E6
E3	AFA20001222.1400.0086-E7
E4	AFA20001222.1400.0086-E8
E7	AFA20001222.1400.0086-E9
E8	AFA20001222.1400.0086-E10
E9	AFA20001222.1400.0086-E11
E22	AFA20001222.1400.0086-E12
E11	AFA20001222.1400.0086-E13
E12	AFA20001222.1400.0086-E14
E13	AFA20001222.1400.0086-E15
E14	AFA20001222.1400.0086-E16
E15	AFA20001222.1400.0086-E17
EM1	AFA20001222.1400.0086-E5-1
EM16	AFA20001222.1400.0086-E1-2
EM17	AFA20001222.1400.0086-E2-3
EM18	AFA20001222.1400.0086-E11-4
EM19	AFA20001222.1400.0086-E3-5
EM20	AFA20001222.1400.0086-E4-6
EM22	AFA20001222.1400.0086-E12-7
EM2	AFA20001222.1400.0086-E6-8
EM3	AFA20001222.1400.0086-E7-9
EM4	AFA20001222.1400.0086-E5-10
EM5	AFA20001222.1400.0086-E8-11
EM6	AFA20001222.1400.0086-E8-12
EM7	AFA20001222.1400.0086-E9-13
EM8	AFA20001222.1400.0086-E10-14
EM9	AFA20001222.1400.0086-E11-15
EM21	AFA20001222.1400.0086-E12-16
EM10	AFA20001222.1400.0086-E11-17
EM23	AFA20001222.1400.0086-E13-18
EM11	AFA20001222.1400.0086-E14-19
EM12	AFA20001222.1400.0086-E15-20
EM13	AFA20001222.1400.0086-E11-21
EM14	AFA20001222.1400.0086-E16-22
EM15	AFA20001222.1400.0086-E17-23
R3	AFA20001222.1400.0086-R1
R1	AFA20001222.1400.0086-R2
R2	AFA20001222.1400.0086-R3
R4	AFA20001222.1400.0086-R4
R5	AFA20001222.1400.0086-R5
R6	AFA20001222.1400.0086-R6
R7	AFA20001222.1400.0086-R7
R8	AFA20001222.1400.0086-R8
RM3	AFA20001222.1400.0086-R1-1
RM1	AFA20001222.1400.0086-R2-1
RM2	AFA20001222.1400.0086-R3-1
RM4	AFA20001222.1400.0086-R4-1
RM5	AFA20001222.1400.0086-R5-1
RM6	AFA20001222.1400.0086-R6-1
RM7	AFA20001222.1400.0086-R7-1
RM8	AFA20001222.1400.0086-R8-1
V1	AFA20001222.1400.0086-EV1
V3	AFA20001222.1400.0086-EV2
V4	AFA20001222.1400.0086-EV3
V2	AFA20001222.1400.0086-EV4
VM1	AFA20001222.1400.0086-EV1-1
VM3	AFA20001222.1400.0086-EV2-1
VM4	AFA20001222.1400.0086-EV3-1
VM2	AFA20001222.1400.0086-EV4-1
Q1	AFA20001222.1400.0086-T1
Q2	AFA20001222.1400.0086-T2
Q3	AFA20001222.1400.0086-T3
Q4	AFA20001222.1400.0086-V1
Q5	AFA20001222.1400.0086-V2
Q6	AFA20001222.1400.0086-V3
Q7	AFA20001222.1400.0086-T4
QM4	AFA20001222.1400.0086-V1-1
QM5	AFA20001222.1400.0086-V2-1
QM6	AFA20001222.1400.0086-V3-1
