CE11	CNN_ENG_20030610_130042.17-CE1
CE12	CNN_ENG_20030610_130042.17-CE2
CE13	CNN_ENG_20030610_130042.17-CE3
CE14	CNN_ENG_20030610_130042.17-CE4
CE15	CNN_ENG_20030610_130042.17-CE5
CE16	CNN_ENG_20030610_130042.17-CE6
CE17	CNN_ENG_20030610_130042.17-CE7
CE18	CNN_ENG_20030610_130042.17-CE8
CE20	CNN_ENG_20030610_130042.17-CE9
CE21	CNN_ENG_20030610_130042.17-CE10
CE22	CNN_ENG_20030610_130042.17-CE11
CE23	CNN_ENG_20030610_130042.17-CE12
CE24	CNN_ENG_20030610_130042.17-CE13
CE1	CNN_ENG_20030610_130042.17-CE14
CE2	CNN_ENG_20030610_130042.17-CE15
CE3	CNN_ENG_20030610_130042.17-CE16
CE5	CNN_ENG_20030610_130042.17-CE17
CE6	CNN_ENG_20030610_130042.17-CE18
CE7	CNN_ENG_20030610_130042.17-CE19
CE8	CNN_ENG_20030610_130042.17-CE20
CE9	CNN_ENG_20030610_130042.17-CE21
CE10	CNN_ENG_20030610_130042.17-CE22
E16	CNN_ENG_20030610_130042.17-E1
E17	CNN_ENG_20030610_130042.17-E2
E18	CNN_ENG_20030610_130042.17-E3
E19	CNN_ENG_20030610_130042.17-E4
E20	CNN_ENG_20030610_130042.17-E5
E21	CNN_ENG_20030610_130042.17-E6
E22	CNN_ENG_20030610_130042.17-E7
E23	CNN_ENG_20030610_130042.17-E8
E26	CNN_ENG_20030610_130042.17-E9
E27	CNN_ENG_20030610_130042.17-E10
E28	CNN_ENG_20030610_130042.17-E11
E30	CNN_ENG_20030610_130042.17-E12
E32	CNN_ENG_20030610_130042.17-E13
E33	CNN_ENG_20030610_130042.17-E14
E1	CNN_ENG_20030610_130042.17-E15
E35	CNN_ENG_20030610_130042.17-E16
E36	CNN_ENG_20030610_130042.17-E17
E2	CNN_ENG_20030610_130042.17-E18
E3	CNN_ENG_20030610_130042.17-E19
E6	CNN_ENG_20030610_130042.17-E20
E8	CNN_ENG_20030610_130042.17-E21
E9	CNN_ENG_20030610_130042.17-E22
E10	CNN_ENG_20030610_130042.17-E23
E11	CNN_ENG_20030610_130042.17-E24
E12	CNN_ENG_20030610_130042.17-E25
E13	CNN_ENG_20030610_130042.17-E26
E14	CNN_ENG_20030610_130042.17-E27
E15	CNN_ENG_20030610_130042.17-E28
EM1	CNN_ENG_20030610_130042.17-E15-1
EM18	CNN_ENG_20030610_130042.17-E2-2
EM19	CNN_ENG_20030610_130042.17-E3-3
EM20	CNN_ENG_20030610_130042.17-E4-4
EM21	CNN_ENG_20030610_130042.17-E5-5
EM22	CNN_ENG_20030610_130042.17-E5-6
EM23	CNN_ENG_20030610_130042.17-E6-7
EM24	CNN_ENG_20030610_130042.17-E7-8
EM25	CNN_ENG_20030610_130042.17-E7-9
EM27	CNN_ENG_20030610_130042.17-E8-10
EM29	CNN_ENG_20030610_130042.17-E9-11
EM30	CNN_ENG_20030610_130042.17-E7-12
EM31	CNN_ENG_20030610_130042.17-E10-13
EM32	CNN_ENG_20030610_130042.17-E11-14
EM33	CNN_ENG_20030610_130042.17-E12-15
EM34	CNN_ENG_20030610_130042.17-E4-16
EM36	CNN_ENG_20030610_130042.17-E13-17
EM37	CNN_ENG_20030610_130042.17-E4-18
EM38	CNN_ENG_20030610_130042.17-E19-19
EM35	CNN_ENG_20030610_130042.17-E14-20
EM4	CNN_ENG_20030610_130042.17-E16-21
EM39	CNN_ENG_20030610_130042.17-E8-22
EM28	CNN_ENG_20030610_130042.17-E17-23
EM2	CNN_ENG_20030610_130042.17-E18-24
EM3	CNN_ENG_20030610_130042.17-E19-25
EM5	CNN_ENG_20030610_130042.17-E20-26
EM6	CNN_ENG_20030610_130042.17-E21-27
EM7	CNN_ENG_20030610_130042.17-E22-28
EM8	CNN_ENG_20030610_130042.17-E23-29
EM10	CNN_ENG_20030610_130042.17-E23-30
EM11	CNN_ENG_20030610_130042.17-E24-31
EM12	CNN_ENG_20030610_130042.17-E26-32
EM13	CNN_ENG_20030610_130042.17-E25-33
EM14	CNN_ENG_20030610_130042.17-E27-34
EM15	CNN_ENG_20030610_130042.17-E28-35
EM16	CNN_ENG_20030610_130042.17-E23-36
EM17	CNN_ENG_20030610_130042.17-E1-37
R1	CNN_ENG_20030610_130042.17-R1
R2	CNN_ENG_20030610_130042.17-R2
