CE13	CNNHL_ENG_20030616_230155.7-CE1
CE14	CNNHL_ENG_20030616_230155.7-CE2
CE15	CNNHL_ENG_20030616_230155.7-CE3
CE16	CNNHL_ENG_20030616_230155.7-CE4
CE17	CNNHL_ENG_20030616_230155.7-CE5
CE1	CNNHL_ENG_20030616_230155.7-CE6
CE3	CNNHL_ENG_20030616_230155.7-CE7
CE4	CNNHL_ENG_20030616_230155.7-CE8
CE5	CNNHL_ENG_20030616_230155.7-CE9
CE6	CNNHL_ENG_20030616_230155.7-CE10
CE7	CNNHL_ENG_20030616_230155.7-CE11
CE11	CNNHL_ENG_20030616_230155.7-CE12
CE12	CNNHL_ENG_20030616_230155.7-CE13
E17	CNNHL_ENG_20030616_230155.7-E1
E18	CNNHL_ENG_20030616_230155.7-E2
E19	CNNHL_ENG_20030616_230155.7-E3
E20	CNNHL_ENG_20030616_230155.7-E4
E21	CNNHL_ENG_20030616_230155.7-E5
E22	CNNHL_ENG_20030616_230155.7-E6
E2	CNNHL_ENG_20030616_230155.7-E7
E4	CNNHL_ENG_20030616_230155.7-E8
E5	CNNHL_ENG_20030616_230155.7-E9
E6	CNNHL_ENG_20030616_230155.7-E10
E7	CNNHL_ENG_20030616_230155.7-E11
E8	CNNHL_ENG_20030616_230155.7-E12
E12	CNNHL_ENG_20030616_230155.7-E13
E13	CNNHL_ENG_20030616_230155.7-E14
E14	CNNHL_ENG_20030616_230155.7-E15
E15	CNNHL_ENG_20030616_230155.7-E16
EM1	CNNHL_ENG_20030616_230155.7-E7-1
EM20	CNNHL_ENG_20030616_230155.7-E2-2
EM21	CNNHL_ENG_20030616_230155.7-E8-3
EM22	CNNHL_ENG_20030616_230155.7-E3-4
EM23	CNNHL_ENG_20030616_230155.7-E16-5
EM25	CNNHL_ENG_20030616_230155.7-E4-6
EM26	CNNHL_ENG_20030616_230155.7-E5-7
EM27	CNNHL_ENG_20030616_230155.7-E5-8
EM28	CNNHL_ENG_20030616_230155.7-E6-9
EM4	CNNHL_ENG_20030616_230155.7-E8-10
EM5	CNNHL_ENG_20030616_230155.7-E9-11
EM6	CNNHL_ENG_20030616_230155.7-E10-12
EM8	CNNHL_ENG_20030616_230155.7-E12-13
EM12	CNNHL_ENG_20030616_230155.7-E11-14
EM13	CNNHL_ENG_20030616_230155.7-E13-15
EM14	CNNHL_ENG_20030616_230155.7-E14-16
EM15	CNNHL_ENG_20030616_230155.7-E15-17
EM16	CNNHL_ENG_20030616_230155.7-E9-18
EM17	CNNHL_ENG_20030616_230155.7-E16-19
EM18	CNNHL_ENG_20030616_230155.7-E1-20
R1	CNNHL_ENG_20030616_230155.7-R1
R3	CNNHL_ENG_20030616_230155.7-R2
R4	CNNHL_ENG_20030616_230155.7-R3
R6	CNNHL_ENG_20030616_230155.7-R4
RM1	CNNHL_ENG_20030616_230155.7-R1-1
RM3	CNNHL_ENG_20030616_230155.7-R2-1
RM2	CNNHL_ENG_20030616_230155.7-R3-1
RM5	CNNHL_ENG_20030616_230155.7-R4-1
V1	CNNHL_ENG_20030616_230155.7-EV1
V3	CNNHL_ENG_20030616_230155.7-EV2
VM1	CNNHL_ENG_20030616_230155.7-EV1-1
VM2	CNNHL_ENG_20030616_230155.7-EV1-2
VM3	CNNHL_ENG_20030616_230155.7-EV2-1
Q1	CNNHL_ENG_20030616_230155.7-T1
Q3	CNNHL_ENG_20030616_230155.7-T2
Q4	CNNHL_ENG_20030616_230155.7-T3
