CE1	CNN_ENG_20030526_180540.6-CE1
CE2	CNN_ENG_20030526_180540.6-CE2
CE3	CNN_ENG_20030526_180540.6-CE3
CE4	CNN_ENG_20030526_180540.6-CE4
CE5	CNN_ENG_20030526_180540.6-CE5
CE6	CNN_ENG_20030526_180540.6-CE6
CE7	CNN_ENG_20030526_180540.6-CE7
CE8	CNN_ENG_20030526_180540.6-CE8
E1	CNN_ENG_20030526_180540.6-E1
E2	CNN_ENG_20030526_180540.6-E2
E3	CNN_ENG_20030526_180540.6-E3
E4	CNN_ENG_20030526_180540.6-E4
E5	CNN_ENG_20030526_180540.6-E5
E6	CNN_ENG_20030526_180540.6-E6
E7	CNN_ENG_20030526_180540.6-E7
E8	CNN_ENG_20030526_180540.6-E8
E9	CNN_ENG_20030526_180540.6-E9
E10	CNN_ENG_20030526_180540.6-E10
EM1	CNN_ENG_20030526_180540.6-E1-1
EM2	CNN_ENG_20030526_180540.6-E2-2
EM3	CNN_ENG_20030526_180540.6-E1-3
EM4	CNN_ENG_20030526_180540.6-E2-4
EM5	CNN_ENG_20030526_180540.6-E1-5
EM6	CNN_ENG_20030526_180540.6-E3-6
EM7	CNN_ENG_20030526_180540.6-E1-7
EM8	CNN_ENG_20030526_180540.6-E4-8
EM9	CNN_ENG_20030526_180540.6-E2-9
EM10	CNN_ENG_20030526_180540.6-E2-10
EM11	CNN_ENG_20030526_180540.6-E2-11
EM12	CNN_ENG_20030526_180540.6-E5-12
EM13	CNN_ENG_20030526_180540.6-E6-13
EM14	CNN_ENG_20030526_180540.6-E7-14
EM15	CNN_ENG_20030526_180540.6-E8-15
EM16	CNN_ENG_20030526_180540.6-E8-16
EM17	CNN_ENG_20030526_180540.6-E8-17
EM18	CNN_ENG_20030526_180540.6-E9-18
EM19	CNN_ENG_20030526_180540.6-E6-19
EM20	CNN_ENG_20030526_180540.6-E10-20
R1	CNN_ENG_20030526_180540.6-R1
R2	CNN_ENG_20030526_180540.6-R2
R3	CNN_ENG_20030526_180540.6-R3
RM1	CNN_ENG_20030526_180540.6-R1-1
RM2	CNN_ENG_20030526_180540.6-R2-1
RM3	CNN_ENG_20030526_180540.6-R3-1
V1	CNN_ENG_20030526_180540.6-EV1
VM1	CNN_ENG_20030526_180540.6-EV1-1
Q1	CNN_ENG_20030526_180540.6-T1
Q2	CNN_ENG_20030526_180540.6-T2
Q3	CNN_ENG_20030526_180540.6-T3
Q4	CNN_ENG_20030526_180540.6-T4
Q5	CNN_ENG_20030526_180540.6-T5
Q6	CNN_ENG_20030526_180540.6-T6
Q7	CNN_ENG_20030526_180540.6-T7
Q8	CNN_ENG_20030526_180540.6-T8
Q9	CNN_ENG_20030526_180540.6-T9
