CE14	XIN20001124.0200.0025-CE1
CE15	XIN20001124.0200.0025-CE2
CE16	XIN20001124.0200.0025-CE3
CE17	XIN20001124.0200.0025-CE4
CE18	XIN20001124.0200.0025-CE5
CE19	XIN20001124.0200.0025-CE6
CE20	XIN20001124.0200.0025-CE7
CE21	XIN20001124.0200.0025-CE8
CE23	XIN20001124.0200.0025-CE9
CE25	XIN20001124.0200.0025-CE10
CE26	XIN20001124.0200.0025-CE11
CE27	XIN20001124.0200.0025-CE12
CE28	XIN20001124.0200.0025-CE13
CE29	XIN20001124.0200.0025-CE14
CE30	XIN20001124.0200.0025-CE15
CE31	XIN20001124.0200.0025-CE16
CE32	XIN20001124.0200.0025-CE17
CE1	XIN20001124.0200.0025-CE18
CE2	XIN20001124.0200.0025-CE19
CE3	XIN20001124.0200.0025-CE20
CE4	XIN20001124.0200.0025-CE21
CE5	XIN20001124.0200.0025-CE22
CE6	XIN20001124.0200.0025-CE23
CE7	XIN20001124.0200.0025-CE24
CE33	XIN20001124.0200.0025-CE25
CE10	XIN20001124.0200.0025-CE26
CE12	XIN20001124.0200.0025-CE27
CE13	XIN20001124.0200.0025-CE28
E15	XIN20001124.0200.0025-E1
E16	XIN20001124.0200.0025-E2
E17	XIN20001124.0200.0025-E3
E18	XIN20001124.0200.0025-E4
E19	XIN20001124.0200.0025-E5
E20	XIN20001124.0200.0025-E6
E21	XIN20001124.0200.0025-E7
E22	XIN20001124.0200.0025-E8
E24	XIN20001124.0200.0025-E9
E27	XIN20001124.0200.0025-E10
E28	XIN20001124.0200.0025-E11
E29	XIN20001124.0200.0025-E12
E30	XIN20001124.0200.0025-E13
E31	XIN20001124.0200.0025-E14
E32	XIN20001124.0200.0025-E15
E33	XIN20001124.0200.0025-E16
E34	XIN20001124.0200.0025-E17
E35	XIN20001124.0200.0025-E18
E1	XIN20001124.0200.0025-E19
E36	XIN20001124.0200.0025-E20
E37	XIN20001124.0200.0025-E21
E2	XIN20001124.0200.0025-E22
E3	XIN20001124.0200.0025-E23
E4	XIN20001124.0200.0025-E24
E5	XIN20001124.0200.0025-E25
E6	XIN20001124.0200.0025-E26
E7	XIN20001124.0200.0025-E27
E38	XIN20001124.0200.0025-E28
E10	XIN20001124.0200.0025-E29
E11	XIN20001124.0200.0025-E30
E39	XIN20001124.0200.0025-E31
E13	XIN20001124.0200.0025-E32
E14	XIN20001124.0200.0025-E33
EM1	XIN20001124.0200.0025-E19-1
EM10	XIN20001124.0200.0025-E29-2
EM18	XIN20001124.0200.0025-E22-3
EM19	XIN20001124.0200.0025-E26-4
EM20	XIN20001124.0200.0025-E2-5
EM21	XIN20001124.0200.0025-E22-6
EM22	XIN20001124.0200.0025-E3-7
EM23	XIN20001124.0200.0025-E4-8
EM25	XIN20001124.0200.0025-E5-9
EM27	XIN20001124.0200.0025-E22-10
EM28	XIN20001124.0200.0025-E6-11
EM30	XIN20001124.0200.0025-E7-12
EM31	XIN20001124.0200.0025-E8-13
EM33	XIN20001124.0200.0025-E9-14
EM36	XIN20001124.0200.0025-E10-15
EM37	XIN20001124.0200.0025-E11-16
EM38	XIN20001124.0200.0025-E12-17
EM39	XIN20001124.0200.0025-E13-18
EM40	XIN20001124.0200.0025-E14-19
EM41	XIN20001124.0200.0025-E15-20
EM42	XIN20001124.0200.0025-E16-21
EM43	XIN20001124.0200.0025-E17-22
EM44	XIN20001124.0200.0025-E18-23
EM45	XIN20001124.0200.0025-E27-24
EM46	XIN20001124.0200.0025-E22-25
EM48	XIN20001124.0200.0025-E6-26
EM50	XIN20001124.0200.0025-E7-27
EM51	XIN20001124.0200.0025-E22-28
EM54	XIN20001124.0200.0025-E33-29
EM55	XIN20001124.0200.0025-E22-30
EM56	XIN20001124.0200.0025-E1-31
EM57	XIN20001124.0200.0025-E17-32
EM58	XIN20001124.0200.0025-E17-33
EM13	XIN20001124.0200.0025-E17-34
EM59	XIN20001124.0200.0025-E17-35
EM60	XIN20001124.0200.0025-E17-36
EM61	XIN20001124.0200.0025-E20-37
EM62	XIN20001124.0200.0025-E16-38
EM63	XIN20001124.0200.0025-E32-39
EM64	XIN20001124.0200.0025-E21-40
EM65	XIN20001124.0200.0025-E32-41
EM66	XIN20001124.0200.0025-E27-42
EM67	XIN20001124.0200.0025-E29-43
EM2	XIN20001124.0200.0025-E22-44
EM3	XIN20001124.0200.0025-E23-45
EM4	XIN20001124.0200.0025-E24-46
EM5	XIN20001124.0200.0025-E25-47
EM6	XIN20001124.0200.0025-E22-48
EM7	XIN20001124.0200.0025-E26-49
EM8	XIN20001124.0200.0025-E27-50
EM68	XIN20001124.0200.0025-E28-51
EM69	XIN20001124.0200.0025-E31-52
EM11	XIN20001124.0200.0025-E29-53
EM12	XIN20001124.0200.0025-E30-54
EM14	XIN20001124.0200.0025-E32-55
EM15	XIN20001124.0200.0025-E33-56
EM16	XIN20001124.0200.0025-E22-57
EM17	XIN20001124.0200.0025-E1-58
R1	XIN20001124.0200.0025-R1
R2	XIN20001124.0200.0025-R2
R3	XIN20001124.0200.0025-R3
R4	XIN20001124.0200.0025-R4
R5	XIN20001124.0200.0025-R5
R6	XIN20001124.0200.0025-R6
R8	XIN20001124.0200.0025-R7
R9	XIN20001124.0200.0025-R8
R10	XIN20001124.0200.0025-R9
R11	XIN20001124.0200.0025-R10
R12	XIN20001124.0200.0025-R11
R13	XIN20001124.0200.0025-R12
R14	XIN20001124.0200.0025-R13
R16	XIN20001124.0200.0025-R14
R17	XIN20001124.0200.0025-R15
R18	XIN20001124.0200.0025-R16
R19	XIN20001124.0200.0025-R17
R20	XIN20001124.0200.0025-R18
R21	XIN20001124.0200.0025-R19
RM2	XIN20001124.0200.0025-R2-1
RM3	XIN20001124.0200.0025-R3-1
RM4	XIN20001124.0200.0025-R4-1
RM5	XIN20001124.0200.0025-R5-1
RM6	XIN20001124.0200.0025-R2-2
RM8	XIN20001124.0200.0025-R7-1
RM9	XIN20001124.0200.0025-R8-1
RM10	XIN20001124.0200.0025-R9-1
RM11	XIN20001124.0200.0025-R10-1
RM12	XIN20001124.0200.0025-R11-1
RM13	XIN20001124.0200.0025-R12-1
RM14	XIN20001124.0200.0025-R13-1
RM16	XIN20001124.0200.0025-R14-1
RM17	XIN20001124.0200.0025-R15-1
RM18	XIN20001124.0200.0025-R16-1
RM19	XIN20001124.0200.0025-R17-1
RM20	XIN20001124.0200.0025-R4-2
RM21	XIN20001124.0200.0025-R5-2
RM1	XIN20001124.0200.0025-R1-1
V1	XIN20001124.0200.0025-EV1
V2	XIN20001124.0200.0025-EV2
VM1	XIN20001124.0200.0025-EV1-1
VM2	XIN20001124.0200.0025-EV1-2
VM3	XIN20001124.0200.0025-EV2-1
Q1	XIN20001124.0200.0025-T1
Q2	XIN20001124.0200.0025-T2
Q3	XIN20001124.0200.0025-T3
Q4	XIN20001124.0200.0025-T4
Q5	XIN20001124.0200.0025-T5
Q6	XIN20001124.0200.0025-T6
Q8	XIN20001124.0200.0025-T7
Q7	XIN20001124.0200.0025-T8
