CE10	XIN20001227.1400.0101-CE1
CE11	XIN20001227.1400.0101-CE2
CE13	XIN20001227.1400.0101-CE3
CE14	XIN20001227.1400.0101-CE4
CE15	XIN20001227.1400.0101-CE5
CE16	XIN20001227.1400.0101-CE6
CE17	XIN20001227.1400.0101-CE7
CE18	XIN20001227.1400.0101-CE8
CE19	XIN20001227.1400.0101-CE9
CE20	XIN20001227.1400.0101-CE10
CE21	XIN20001227.1400.0101-CE11
CE22	XIN20001227.1400.0101-CE12
CE23	XIN20001227.1400.0101-CE13
CE24	XIN20001227.1400.0101-CE14
CE25	XIN20001227.1400.0101-CE15
CE26	XIN20001227.1400.0101-CE16
CE27	XIN20001227.1400.0101-CE17
CE30	XIN20001227.1400.0101-CE18
CE31	XIN20001227.1400.0101-CE19
CE32	XIN20001227.1400.0101-CE20
CE33	XIN20001227.1400.0101-CE21
CE1	XIN20001227.1400.0101-CE22
CE34	XIN20001227.1400.0101-CE23
CE35	XIN20001227.1400.0101-CE24
CE36	XIN20001227.1400.0101-CE25
CE37	XIN20001227.1400.0101-CE26
CE38	XIN20001227.1400.0101-CE27
CE40	XIN20001227.1400.0101-CE28
CE41	XIN20001227.1400.0101-CE29
CE42	XIN20001227.1400.0101-CE30
CE43	XIN20001227.1400.0101-CE31
CE44	XIN20001227.1400.0101-CE32
CE45	XIN20001227.1400.0101-CE33
CE46	XIN20001227.1400.0101-CE34
CE47	XIN20001227.1400.0101-CE35
CE48	XIN20001227.1400.0101-CE36
CE49	XIN20001227.1400.0101-CE37
CE50	XIN20001227.1400.0101-CE38
CE2	XIN20001227.1400.0101-CE39
CE51	XIN20001227.1400.0101-CE40
CE3	XIN20001227.1400.0101-CE41
CE4	XIN20001227.1400.0101-CE42
CE5	XIN20001227.1400.0101-CE43
CE6	XIN20001227.1400.0101-CE44
CE7	XIN20001227.1400.0101-CE45
CE8	XIN20001227.1400.0101-CE46
CE9	XIN20001227.1400.0101-CE47
E12	XIN20001227.1400.0101-E1
E13	XIN20001227.1400.0101-E2
E15	XIN20001227.1400.0101-E3
E16	XIN20001227.1400.0101-E4
E17	XIN20001227.1400.0101-E5
E18	XIN20001227.1400.0101-E6
E19	XIN20001227.1400.0101-E7
E20	XIN20001227.1400.0101-E8
E21	XIN20001227.1400.0101-E9
E22	XIN20001227.1400.0101-E10
E23	XIN20001227.1400.0101-E11
E24	XIN20001227.1400.0101-E12
E25	XIN20001227.1400.0101-E13
E26	XIN20001227.1400.0101-E14
E27	XIN20001227.1400.0101-E15
E28	XIN20001227.1400.0101-E16
E1	XIN20001227.1400.0101-E17
E29	XIN20001227.1400.0101-E18
E32	XIN20001227.1400.0101-E19
E33	XIN20001227.1400.0101-E20
E34	XIN20001227.1400.0101-E21
E35	XIN20001227.1400.0101-E22
E36	XIN20001227.1400.0101-E23
E37	XIN20001227.1400.0101-E24
E38	XIN20001227.1400.0101-E25
E39	XIN20001227.1400.0101-E26
E40	XIN20001227.1400.0101-E27
E41	XIN20001227.1400.0101-E28
E42	XIN20001227.1400.0101-E29
E44	XIN20001227.1400.0101-E30
E45	XIN20001227.1400.0101-E31
E46	XIN20001227.1400.0101-E32
E47	XIN20001227.1400.0101-E33
E48	XIN20001227.1400.0101-E34
E49	XIN20001227.1400.0101-E35
E50	XIN20001227.1400.0101-E36
E51	XIN20001227.1400.0101-E37
E52	XIN20001227.1400.0101-E38
E53	XIN20001227.1400.0101-E39
E2	XIN20001227.1400.0101-E40
E54	XIN20001227.1400.0101-E41
