CE10	fsh_29581_1-CE1
CE11	fsh_29581_1-CE2
CE12	fsh_29581_1-CE3
CE13	fsh_29581_1-CE4
CE15	fsh_29581_1-CE5
CE16	fsh_29581_1-CE6
CE17	fsh_29581_1-CE7
CE18	fsh_29581_1-CE8
CE19	fsh_29581_1-CE9
CE20	fsh_29581_1-CE10
CE21	fsh_29581_1-CE11
CE1	fsh_29581_1-CE12
CE22	fsh_29581_1-CE13
CE23	fsh_29581_1-CE14
CE24	fsh_29581_1-CE15
CE25	fsh_29581_1-CE16
CE26	fsh_29581_1-CE17
CE27	fsh_29581_1-CE18
CE28	fsh_29581_1-CE19
CE29	fsh_29581_1-CE20
CE2	fsh_29581_1-CE21
CE3	fsh_29581_1-CE22
CE4	fsh_29581_1-CE23
CE5	fsh_29581_1-CE24
CE6	fsh_29581_1-CE25
CE7	fsh_29581_1-CE26
CE8	fsh_29581_1-CE27
CE9	fsh_29581_1-CE28
E15	fsh_29581_1-E1
E16	fsh_29581_1-E2
E17	fsh_29581_1-E3
E18	fsh_29581_1-E4
E19	fsh_29581_1-E5
E20	fsh_29581_1-E6
E21	fsh_29581_1-E7
E23	fsh_29581_1-E8
E24	fsh_29581_1-E9
E25	fsh_29581_1-E10
E1	fsh_29581_1-E11
E26	fsh_29581_1-E12
E27	fsh_29581_1-E13
E28	fsh_29581_1-E14
E29	fsh_29581_1-E15
E30	fsh_29581_1-E16
E31	fsh_29581_1-E17
E32	fsh_29581_1-E18
E33	fsh_29581_1-E19
E34	fsh_29581_1-E20
E35	fsh_29581_1-E21
E36	fsh_29581_1-E22
E37	fsh_29581_1-E23
E38	fsh_29581_1-E24
E39	fsh_29581_1-E25
E40	fsh_29581_1-E26
E41	fsh_29581_1-E27
E43	fsh_29581_1-E28
E44	fsh_29581_1-E29
E2	fsh_29581_1-E30
E4	fsh_29581_1-E31
E5	fsh_29581_1-E32
E6	fsh_29581_1-E33
E7	fsh_29581_1-E34
E9	fsh_29581_1-E35
E10	fsh_29581_1-E36
E11	fsh_29581_1-E37
E12	fsh_29581_1-E38
E13	fsh_29581_1-E39
E14	fsh_29581_1-E40
EM1	fsh_29581_1-E11-1
EM19	fsh_29581_1-E11-2
EM20	fsh_29581_1-E37-3
EM21	fsh_29581_1-E11-4
EM22	fsh_29581_1-E3-5
EM23	fsh_29581_1-E4-6
EM24	fsh_29581_1-E5-7
EM25	fsh_29581_1-E6-8
EM26	fsh_29581_1-E7-9
EM27	fsh_29581_1-E6-10
EM28	fsh_29581_1-E4-11
EM29	fsh_29581_1-E4-12
EM30	fsh_29581_1-E4-13
EM31	fsh_29581_1-E4-14
EM32	fsh_29581_1-E6-15
EM33	fsh_29581_1-E6-16
EM34	fsh_29581_1-E6-17
EM35	fsh_29581_1-E4-18
EM36	fsh_29581_1-E4-19
EM37	fsh_29581_1-E11-20
EM38	fsh_29581_1-E8-21
EM39	fsh_29581_1-E36-22
EM40	fsh_29581_1-E36-23
EM41	fsh_29581_1-E36-24
EM42	fsh_29581_1-E11-25
EM43	fsh_29581_1-E4-26
EM44	fsh_29581_1-E4-27
EM45	fsh_29581_1-E9-28
EM46	fsh_29581_1-E4-29
EM47	fsh_29581_1-E36-30
EM48	fsh_29581_1-E11-31
EM49	fsh_29581_1-E11-32
EM50	fsh_29581_1-E8-33
EM51	fsh_29581_1-E10-34
EM52	fsh_29581_1-E6-35
EM53	fsh_29581_1-E6-36
EM54	fsh_29581_1-E6-37
EM55	fsh_29581_1-E36-38
EM56	fsh_29581_1-E36-39
EM57	fsh_29581_1-E11-40
EM58	fsh_29581_1-E6-41
EM59	fsh_29581_1-E8-42
EM60	fsh_29581_1-E11-43
EM61	fsh_29581_1-E6-44
EM62	fsh_29581_1-E36-45
EM63	fsh_29581_1-E11-46
EM64	fsh_29581_1-E36-47
EM65	fsh_29581_1-E11-48
EM66	fsh_29581_1-E6-49
EM67	fsh_29581_1-E8-50
EM68	fsh_29581_1-E12-51
EM69	fsh_29581_1-E11-52
EM70	fsh_29581_1-E11-53
EM71	fsh_29581_1-E1-54
EM72	fsh_29581_1-E40-55
EM73	fsh_29581_1-E13-56
EM74	fsh_29581_1-E6-57
EM75	fsh_29581_1-E1-58
EM76	fsh_29581_1-E14-59
EM77	fsh_29581_1-E6-60
EM78	fsh_29581_1-E14-61
EM79	fsh_29581_1-E1-62
EM80	fsh_29581_1-E1-63
EM81	fsh_29581_1-E15-64
EM82	fsh_29581_1-E4-65
EM83	fsh_29581_1-E1-66
EM84	fsh_29581_1-E40-67
EM85	fsh_29581_1-E4-68
EM86	fsh_29581_1-E16-69
EM87	fsh_29581_1-E4-70
EM88	fsh_29581_1-E4-71
EM89	fsh_29581_1-E1-72
EM90	fsh_29581_1-E15-73
EM91	fsh_29581_1-E15-74
EM92	fsh_29581_1-E38-75
EM93	fsh_29581_1-E38-76
EM94	fsh_29581_1-E4-77
EM95	fsh_29581_1-E4-78
EM96	fsh_29581_1-E9-79
EM97	fsh_29581_1-E38-80
EM98	fsh_29581_1-E17-81
EM99	fsh_29581_1-E18-82
