CE10	XIN20001017.0800.0058-CE1
CE14	XIN20001017.0800.0058-CE2
CE15	XIN20001017.0800.0058-CE3
CE11	XIN20001017.0800.0058-CE4
CE12	XIN20001017.0800.0058-CE5
CE13	XIN20001017.0800.0058-CE6
CE5	XIN20001017.0800.0058-CE7
CE8	XIN20001017.0800.0058-CE8
CE1	XIN20001017.0800.0058-CE9
CE2	XIN20001017.0800.0058-CE10
CE3	XIN20001017.0800.0058-CE11
CE4	XIN20001017.0800.0058-CE12
CE6	XIN20001017.0800.0058-CE13
CE7	XIN20001017.0800.0058-CE14
CE9	XIN20001017.0800.0058-CE15
E11	XIN20001017.0800.0058-E1
E13	XIN20001017.0800.0058-E2
E14	XIN20001017.0800.0058-E3
E15	XIN20001017.0800.0058-E4
E16	XIN20001017.0800.0058-E5
E17	XIN20001017.0800.0058-E6
E18	XIN20001017.0800.0058-E7
E20	XIN20001017.0800.0058-E8
E1	XIN20001017.0800.0058-E9
E2	XIN20001017.0800.0058-E10
E3	XIN20001017.0800.0058-E11
E4	XIN20001017.0800.0058-E12
E5	XIN20001017.0800.0058-E13
E6	XIN20001017.0800.0058-E14
E7	XIN20001017.0800.0058-E15
E8	XIN20001017.0800.0058-E16
E10	XIN20001017.0800.0058-E17
EM1	XIN20001017.0800.0058-E9-1
EM28	XIN20001017.0800.0058-E14-2
EM30	XIN20001017.0800.0058-E14-3
EM19	XIN20001017.0800.0058-E13-4
EM25	XIN20001017.0800.0058-E1-5
EM31	XIN20001017.0800.0058-E2-6
EM32	XIN20001017.0800.0058-E3-7
EM33	XIN20001017.0800.0058-E4-8
EM34	XIN20001017.0800.0058-E5-9
EM35	XIN20001017.0800.0058-E6-10
EM36	XIN20001017.0800.0058-E16-11
EM7	XIN20001017.0800.0058-E7-12
EM14	XIN20001017.0800.0058-E7-13
EM16	XIN20001017.0800.0058-E7-14
EM20	XIN20001017.0800.0058-E7-15
EM27	XIN20001017.0800.0058-E7-16
EM38	XIN20001017.0800.0058-E7-17
EM40	XIN20001017.0800.0058-E7-18
EM12	XIN20001017.0800.0058-E8-19
EM37	XIN20001017.0800.0058-E8-20
EM23	XIN20001017.0800.0058-E7-21
EM22	XIN20001017.0800.0058-E16-22
EM2	XIN20001017.0800.0058-E10-23
EM3	XIN20001017.0800.0058-E11-24
EM5	XIN20001017.0800.0058-E11-25
EM4	XIN20001017.0800.0058-E12-26
EM6	XIN20001017.0800.0058-E13-27
EM8	XIN20001017.0800.0058-E14-28
EM11	XIN20001017.0800.0058-E14-29
EM9	XIN20001017.0800.0058-E15-30
EM10	XIN20001017.0800.0058-E16-31
EM13	XIN20001017.0800.0058-E16-32
EM15	XIN20001017.0800.0058-E17-33
EM18	XIN20001017.0800.0058-E17-34
EM24	XIN20001017.0800.0058-E17-35
EM26	XIN20001017.0800.0058-E17-36
EM29	XIN20001017.0800.0058-E17-37
EM39	XIN20001017.0800.0058-E17-38
EM17	XIN20001017.0800.0058-E14-39
EM21	XIN20001017.0800.0058-E14-40
R5	XIN20001017.0800.0058-R1
R6	XIN20001017.0800.0058-R2
R1	XIN20001017.0800.0058-R3
R2	XIN20001017.0800.0058-R4
R7	XIN20001017.0800.0058-R5
R8	XIN20001017.0800.0058-R6
R4	XIN20001017.0800.0058-R7
R3	XIN20001017.0800.0058-R8
R9	XIN20001017.0800.0058-R9
R10	XIN20001017.0800.0058-R10
RM5	XIN20001017.0800.0058-R2-1
RM1	XIN20001017.0800.0058-R3-1
RM2	XIN20001017.0800.0058-R4-1
RM10	XIN20001017.0800.0058-R5-1
RM6	XIN20001017.0800.0058-R6-1
RM4	XIN20001017.0800.0058-R7-1
RM7	XIN20001017.0800.0058-R9-1
RM3	XIN20001017.0800.0058-R8-1
RM8	XIN20001017.0800.0058-R10-1
RM9	XIN20001017.0800.0058-R8-2
V1	XIN20001017.0800.0058-EV1
V2	XIN20001017.0800.0058-EV2
VM1	XIN20001017.0800.0058-EV1-1
VM2	XIN20001017.0800.0058-EV2-1
Q1	XIN20001017.0800.0058-T1
Q2	XIN20001017.0800.0058-T2
Q6	XIN20001017.0800.0058-T3
Q5	XIN20001017.0800.0058-T4
Q3	XIN20001017.0800.0058-T5
