CE10	ZBN20001129.0400.0012-CE1
CE11	ZBN20001129.0400.0012-CE2
CE13	ZBN20001129.0400.0012-CE3
CE12	ZBN20001129.0400.0012-CE4
CE14	ZBN20001129.0400.0012-CE5
CE16	ZBN20001129.0400.0012-CE6
CE15	ZBN20001129.0400.0012-CE7
CE17	ZBN20001129.0400.0012-CE8
CE18	ZBN20001129.0400.0012-CE9
CE19	ZBN20001129.0400.0012-CE10
CE20	ZBN20001129.0400.0012-CE11
CE21	ZBN20001129.0400.0012-CE12
CE23	ZBN20001129.0400.0012-CE13
CE22	ZBN20001129.0400.0012-CE14
CE25	ZBN20001129.0400.0012-CE15
CE26	ZBN20001129.0400.0012-CE16
CE27	ZBN20001129.0400.0012-CE17
CE28	ZBN20001129.0400.0012-CE18
CE29	ZBN20001129.0400.0012-CE19
CE8	ZBN20001129.0400.0012-CE20
CE30	ZBN20001129.0400.0012-CE21
CE31	ZBN20001129.0400.0012-CE22
CE32	ZBN20001129.0400.0012-CE23
CE1	ZBN20001129.0400.0012-CE24
CE24	ZBN20001129.0400.0012-CE25
CE2	ZBN20001129.0400.0012-CE26
CE3	ZBN20001129.0400.0012-CE27
CE4	ZBN20001129.0400.0012-CE28
CE5	ZBN20001129.0400.0012-CE29
CE6	ZBN20001129.0400.0012-CE30
CE7	ZBN20001129.0400.0012-CE31
CE9	ZBN20001129.0400.0012-CE32
E12	ZBN20001129.0400.0012-E1
E13	ZBN20001129.0400.0012-E2
E14	ZBN20001129.0400.0012-E3
E15	ZBN20001129.0400.0012-E4
E16	ZBN20001129.0400.0012-E5
E17	ZBN20001129.0400.0012-E6
E19	ZBN20001129.0400.0012-E7
E20	ZBN20001129.0400.0012-E8
E21	ZBN20001129.0400.0012-E9
E22	ZBN20001129.0400.0012-E10
E23	ZBN20001129.0400.0012-E11
E24	ZBN20001129.0400.0012-E12
E25	ZBN20001129.0400.0012-E13
E26	ZBN20001129.0400.0012-E14
E27	ZBN20001129.0400.0012-E15
E39	ZBN20001129.0400.0012-E16
E28	ZBN20001129.0400.0012-E17
E29	ZBN20001129.0400.0012-E18
E30	ZBN20001129.0400.0012-E19
E31	ZBN20001129.0400.0012-E20
E32	ZBN20001129.0400.0012-E21
E33	ZBN20001129.0400.0012-E22
E34	ZBN20001129.0400.0012-E23
E35	ZBN20001129.0400.0012-E24
E36	ZBN20001129.0400.0012-E25
E37	ZBN20001129.0400.0012-E26
E38	ZBN20001129.0400.0012-E27
E42	ZBN20001129.0400.0012-E28
E2	ZBN20001129.0400.0012-E29
E3	ZBN20001129.0400.0012-E30
E4	ZBN20001129.0400.0012-E31
E5	ZBN20001129.0400.0012-E32
E6	ZBN20001129.0400.0012-E33
E7	ZBN20001129.0400.0012-E34
E8	ZBN20001129.0400.0012-E35
E18	ZBN20001129.0400.0012-E36
E40	ZBN20001129.0400.0012-E37
E11	ZBN20001129.0400.0012-E38
EM14	ZBN20001129.0400.0012-E16-1
EM22	ZBN20001129.0400.0012-E29-2
EM23	ZBN20001129.0400.0012-E1-3
