CE11	XIN20001114.0200.0012-CE1
CE12	XIN20001114.0200.0012-CE2
CE13	XIN20001114.0200.0012-CE3
CE15	XIN20001114.0200.0012-CE4
CE14	XIN20001114.0200.0012-CE5
CE16	XIN20001114.0200.0012-CE6
CE17	XIN20001114.0200.0012-CE7
CE18	XIN20001114.0200.0012-CE8
CE19	XIN20001114.0200.0012-CE9
CE20	XIN20001114.0200.0012-CE10
CE21	XIN20001114.0200.0012-CE11
CE23	XIN20001114.0200.0012-CE12
CE22	XIN20001114.0200.0012-CE13
CE25	XIN20001114.0200.0012-CE14
CE24	XIN20001114.0200.0012-CE15
CE26	XIN20001114.0200.0012-CE16
CE27	XIN20001114.0200.0012-CE17
CE28	XIN20001114.0200.0012-CE18
CE1	XIN20001114.0200.0012-CE19
CE2	XIN20001114.0200.0012-CE20
CE3	XIN20001114.0200.0012-CE21
CE5	XIN20001114.0200.0012-CE22
CE4	XIN20001114.0200.0012-CE23
CE6	XIN20001114.0200.0012-CE24
CE9	XIN20001114.0200.0012-CE25
CE8	XIN20001114.0200.0012-CE26
CE10	XIN20001114.0200.0012-CE27
CE7	XIN20001114.0200.0012-CE28
E16	XIN20001114.0200.0012-E1
E17	XIN20001114.0200.0012-E2
E19	XIN20001114.0200.0012-E3
E20	XIN20001114.0200.0012-E4
E21	XIN20001114.0200.0012-E5
E22	XIN20001114.0200.0012-E6
E23	XIN20001114.0200.0012-E7
E24	XIN20001114.0200.0012-E8
E25	XIN20001114.0200.0012-E9
E26	XIN20001114.0200.0012-E10
E27	XIN20001114.0200.0012-E11
E28	XIN20001114.0200.0012-E12
E29	XIN20001114.0200.0012-E13
E30	XIN20001114.0200.0012-E14
E31	XIN20001114.0200.0012-E15
E32	XIN20001114.0200.0012-E16
E33	XIN20001114.0200.0012-E17
E34	XIN20001114.0200.0012-E18
E35	XIN20001114.0200.0012-E19
E36	XIN20001114.0200.0012-E20
E37	XIN20001114.0200.0012-E21
E1	XIN20001114.0200.0012-E22
E2	XIN20001114.0200.0012-E23
E3	XIN20001114.0200.0012-E24
E4	XIN20001114.0200.0012-E25
E5	XIN20001114.0200.0012-E26
E6	XIN20001114.0200.0012-E27
E7	XIN20001114.0200.0012-E28
E8	XIN20001114.0200.0012-E29
E9	XIN20001114.0200.0012-E30
E10	XIN20001114.0200.0012-E31
E11	XIN20001114.0200.0012-E32
E12	XIN20001114.0200.0012-E33
E13	XIN20001114.0200.0012-E34
E38	XIN20001114.0200.0012-E35
EM1	XIN20001114.0200.0012-E22-1
EM18	XIN20001114.0200.0012-E1-2
EM19	XIN20001114.0200.0012-E2-3
EM21	XIN20001114.0200.0012-E33-4
EM24	XIN20001114.0200.0012-E30-5
EM25	XIN20001114.0200.0012-E3-6
EM26	XIN20001114.0200.0012-E4-7
EM28	XIN20001114.0200.0012-E5-8
EM29	XIN20001114.0200.0012-E6-9
EM30	XIN20001114.0200.0012-E7-10
EM31	XIN20001114.0200.0012-E8-11
EM32	XIN20001114.0200.0012-E30-12
EM33	XIN20001114.0200.0012-E30-13
EM34	XIN20001114.0200.0012-E28-14
EM23	XIN20001114.0200.0012-E23-15
EM35	XIN20001114.0200.0012-E30-16
EM36	XIN20001114.0200.0012-E33-17
EM37	XIN20001114.0200.0012-E33-18
EM39	XIN20001114.0200.0012-E33-19
EM38	XIN20001114.0200.0012-E9-20
EM40	XIN20001114.0200.0012-E10-21
EM41	XIN20001114.0200.0012-E28-22
EM42	XIN20001114.0200.0012-E30-23
EM43	XIN20001114.0200.0012-E11-24
EM44	XIN20001114.0200.0012-E12-25
EM45	XIN20001114.0200.0012-E13-26
EM46	XIN20001114.0200.0012-E14-27
EM47	XIN20001114.0200.0012-E15-28
EM48	XIN20001114.0200.0012-E16-29
EM49	XIN20001114.0200.0012-E17-30
EM50	XIN20001114.0200.0012-E11-31
EM51	XIN20001114.0200.0012-E30-32
EM52	XIN20001114.0200.0012-E33-33
EM53	XIN20001114.0200.0012-E18-34
EM54	XIN20001114.0200.0012-E19-35
