CE13	XIN20001006.0200.0021-CE1
CE15	XIN20001006.0200.0021-CE2
CE34	XIN20001006.0200.0021-CE3
CE17	XIN20001006.0200.0021-CE4
CE16	XIN20001006.0200.0021-CE5
CE19	XIN20001006.0200.0021-CE6
CE20	XIN20001006.0200.0021-CE7
CE21	XIN20001006.0200.0021-CE8
CE23	XIN20001006.0200.0021-CE9
CE26	XIN20001006.0200.0021-CE10
CE29	XIN20001006.0200.0021-CE11
CE30	XIN20001006.0200.0021-CE12
CE31	XIN20001006.0200.0021-CE13
CE32	XIN20001006.0200.0021-CE14
CE14	XIN20001006.0200.0021-CE15
CE33	XIN20001006.0200.0021-CE16
CE35	XIN20001006.0200.0021-CE17
CE1	XIN20001006.0200.0021-CE18
CE36	XIN20001006.0200.0021-CE19
CE37	XIN20001006.0200.0021-CE20
CE18	XIN20001006.0200.0021-CE21
CE24	XIN20001006.0200.0021-CE22
CE25	XIN20001006.0200.0021-CE23
CE27	XIN20001006.0200.0021-CE24
CE28	XIN20001006.0200.0021-CE25
CE2	XIN20001006.0200.0021-CE26
CE3	XIN20001006.0200.0021-CE27
CE4	XIN20001006.0200.0021-CE28
CE5	XIN20001006.0200.0021-CE29
CE6	XIN20001006.0200.0021-CE30
CE8	XIN20001006.0200.0021-CE31
CE9	XIN20001006.0200.0021-CE32
CE7	XIN20001006.0200.0021-CE33
CE10	XIN20001006.0200.0021-CE34
CE22	XIN20001006.0200.0021-CE35
CE11	XIN20001006.0200.0021-CE36
CE12	XIN20001006.0200.0021-CE37
E15	XIN20001006.0200.0021-E1
E52	XIN20001006.0200.0021-E2
E16	XIN20001006.0200.0021-E3
E54	XIN20001006.0200.0021-E4
E20	XIN20001006.0200.0021-E5
E22	XIN20001006.0200.0021-E6
E23	XIN20001006.0200.0021-E7
E26	XIN20001006.0200.0021-E8
E27	XIN20001006.0200.0021-E9
E29	XIN20001006.0200.0021-E10
E30	XIN20001006.0200.0021-E11
E32	XIN20001006.0200.0021-E12
E1	XIN20001006.0200.0021-E13
E33	XIN20001006.0200.0021-E14
E34	XIN20001006.0200.0021-E15
E35	XIN20001006.0200.0021-E16
E36	XIN20001006.0200.0021-E17
E37	XIN20001006.0200.0021-E18
E38	XIN20001006.0200.0021-E19
E40	XIN20001006.0200.0021-E20
E41	XIN20001006.0200.0021-E21
E42	XIN20001006.0200.0021-E22
E44	XIN20001006.0200.0021-E23
E45	XIN20001006.0200.0021-E24
E2	XIN20001006.0200.0021-E25
E46	XIN20001006.0200.0021-E26
E47	XIN20001006.0200.0021-E27
E48	XIN20001006.0200.0021-E28
E49	XIN20001006.0200.0021-E29
E50	XIN20001006.0200.0021-E30
E3	XIN20001006.0200.0021-E31
E4	XIN20001006.0200.0021-E32
E5	XIN20001006.0200.0021-E33
E6	XIN20001006.0200.0021-E34
E7	XIN20001006.0200.0021-E35
E8	XIN20001006.0200.0021-E36
E9	XIN20001006.0200.0021-E37
E10	XIN20001006.0200.0021-E38
E11	XIN20001006.0200.0021-E39
E51	XIN20001006.0200.0021-E40
E13	XIN20001006.0200.0021-E41
E14	XIN20001006.0200.0021-E42
EM1	XIN20001006.0200.0021-E13-1
EM15	XIN20001006.0200.0021-E42-2
EM63	XIN20001006.0200.0021-E2-3
EM17	XIN20001006.0200.0021-E41-4
EM19	XIN20001006.0200.0021-E35-5
EM20	XIN20001006.0200.0021-E3-6
EM21	XIN20001006.0200.0021-E36-7
EM22	XIN20001006.0200.0021-E41-8
EM64	XIN20001006.0200.0021-E4-9
EM68	XIN20001006.0200.0021-E2-10
EM27	XIN20001006.0200.0021-E5-11
EM29	XIN20001006.0200.0021-E41-12
EM23	XIN20001006.0200.0021-E6-13
EM24	XIN20001006.0200.0021-E7-14
EM26	XIN20001006.0200.0021-E6-15
EM28	XIN20001006.0200.0021-E6-16
EM25	XIN20001006.0200.0021-E36-17
EM31	XIN20001006.0200.0021-E8-18
EM32	XIN20001006.0200.0021-E9-19
EM33	XIN20001006.0200.0021-E36-20
EM34	XIN20001006.0200.0021-E10-21
EM36	XIN20001006.0200.0021-E11-22
EM37	XIN20001006.0200.0021-E41-23
EM38	XIN20001006.0200.0021-E9-24
EM39	XIN20001006.0200.0021-E11-25
EM40	XIN20001006.0200.0021-E41-26
EM43	XIN20001006.0200.0021-E12-27
EM44	XIN20001006.0200.0021-E41-28
EM45	XIN20001006.0200.0021-E11-29
EM46	XIN20001006.0200.0021-E41-30
EM47	XIN20001006.0200.0021-E9-31
EM50	XIN20001006.0200.0021-E14-32
EM51	XIN20001006.0200.0021-E15-33
EM52	XIN20001006.0200.0021-E16-34
EM53	XIN20001006.0200.0021-E42-35
EM54	XIN20001006.0200.0021-E41-36
EM55	XIN20001006.0200.0021-E17-37
EM58	XIN20001006.0200.0021-E17-38
EM56	XIN20001006.0200.0021-E18-39
EM57	XIN20001006.0200.0021-E41-40
EM59	XIN20001006.0200.0021-E19-41
EM60	XIN20001006.0200.0021-E41-42
EM18	XIN20001006.0200.0021-E19-43
EM61	XIN20001006.0200.0021-E42-44
EM62	XIN20001006.0200.0021-E20-45
EM65	XIN20001006.0200.0021-E21-46
EM69	XIN20001006.0200.0021-E21-47
EM66	XIN20001006.0200.0021-E22-48
EM67	XIN20001006.0200.0021-E41-49
EM70	XIN20001006.0200.0021-E36-50
EM71	XIN20001006.0200.0021-E41-51
EM72	XIN20001006.0200.0021-E42-52
EM73	XIN20001006.0200.0021-E23-53
EM74	XIN20001006.0200.0021-E24-54
EM2	XIN20001006.0200.0021-E25-55
EM30	XIN20001006.0200.0021-E26-56
EM41	XIN20001006.0200.0021-E27-57
EM42	XIN20001006.0200.0021-E28-58
EM48	XIN20001006.0200.0021-E29-59
EM49	XIN20001006.0200.0021-E30-60
EM3	XIN20001006.0200.0021-E31-61
EM4	XIN20001006.0200.0021-E32-62
EM5	XIN20001006.0200.0021-E33-63
EM6	XIN20001006.0200.0021-E34-64
EM7	XIN20001006.0200.0021-E35-65
EM8	XIN20001006.0200.0021-E36-66
EM9	XIN20001006.0200.0021-E37-67
EM10	XIN20001006.0200.0021-E38-68
EM11	XIN20001006.0200.0021-E39-69
EM35	XIN20001006.0200.0021-E40-70
EM12	XIN20001006.0200.0021-E41-71
EM13	XIN20001006.0200.0021-E41-72
EM14	XIN20001006.0200.0021-E42-73
EM16	XIN20001006.0200.0021-E1-74
R5	XIN20001006.0200.0021-R1
R11	XIN20001006.0200.0021-R2
R12	XIN20001006.0200.0021-R3
R13	XIN20001006.0200.0021-R4
R14	XIN20001006.0200.0021-R5
R15	XIN20001006.0200.0021-R6
R16	XIN20001006.0200.0021-R7
R1	XIN20001006.0200.0021-R8
R3	XIN20001006.0200.0021-R9
R4	XIN20001006.0200.0021-R10
R2	XIN20001006.0200.0021-R11
R17	XIN20001006.0200.0021-R12
R19	XIN20001006.0200.0021-R13
R6	XIN20001006.0200.0021-R14
R7	XIN20001006.0200.0021-R15
R21	XIN20001006.0200.0021-R16
R8	XIN20001006.0200.0021-R17
R9	XIN20001006.0200.0021-R18
R25	XIN20001006.0200.0021-R19
R10	XIN20001006.0200.0021-R20
R18	XIN20001006.0200.0021-R21
R20	XIN20001006.0200.0021-R22
R22	XIN20001006.0200.0021-R23
R23	XIN20001006.0200.0021-R24
R24	XIN20001006.0200.0021-R25
R26	XIN20001006.0200.0021-R26
R27	XIN20001006.0200.0021-R27
RM5	XIN20001006.0200.0021-R1-1
RM11	XIN20001006.0200.0021-R2-1
RM12	XIN20001006.0200.0021-R3-1
RM13	XIN20001006.0200.0021-R4-1
RM14	XIN20001006.0200.0021-R5-1
RM15	XIN20001006.0200.0021-R6-1
RM16	XIN20001006.0200.0021-R7-1
RM17	XIN20001006.0200.0021-R12-1
RM1	XIN20001006.0200.0021-R8-1
RM3	XIN20001006.0200.0021-R9-1
RM4	XIN20001006.0200.0021-R10-1
RM2	XIN20001006.0200.0021-R11-1
RM19	XIN20001006.0200.0021-R12-2
RM21	XIN20001006.0200.0021-R12-3
RM6	XIN20001006.0200.0021-R14-1
RM7	XIN20001006.0200.0021-R15-1
RM8	XIN20001006.0200.0021-R17-1
RM9	XIN20001006.0200.0021-R18-1
RM25	XIN20001006.0200.0021-R19-1
RM10	XIN20001006.0200.0021-R20-1
RM18	XIN20001006.0200.0021-R21-1
RM20	XIN20001006.0200.0021-R22-1
RM22	XIN20001006.0200.0021-R23-1
RM23	XIN20001006.0200.0021-R24-1
RM24	XIN20001006.0200.0021-R15-2
RM26	XIN20001006.0200.0021-R26-1
RM27	XIN20001006.0200.0021-R27-1
V8	XIN20001006.0200.0021-EV1
V10	XIN20001006.0200.0021-EV2
V1	XIN20001006.0200.0021-EV3
V2	XIN20001006.0200.0021-EV4
V3	XIN20001006.0200.0021-EV5
V4	XIN20001006.0200.0021-EV6
V5	XIN20001006.0200.0021-EV7
V6	XIN20001006.0200.0021-EV8
V7	XIN20001006.0200.0021-EV9
V9	XIN20001006.0200.0021-EV10
V11	XIN20001006.0200.0021-EV11
V12	XIN20001006.0200.0021-EV12
V13	XIN20001006.0200.0021-EV13
V14	XIN20001006.0200.0021-EV14
V15	XIN20001006.0200.0021-EV15
V16	XIN20001006.0200.0021-EV16
V17	XIN20001006.0200.0021-EV17
V18	XIN20001006.0200.0021-EV18
VM9	XIN20001006.0200.0021-EV1-1
VM11	XIN20001006.0200.0021-EV2-1
VM16	XIN20001006.0200.0021-EV14-1
VM1	XIN20001006.0200.0021-EV3-1
