CE11	XIN20001215.2000.0149-CE1
CE12	XIN20001215.2000.0149-CE2
CE13	XIN20001215.2000.0149-CE3
CE14	XIN20001215.2000.0149-CE4
CE9	XIN20001215.2000.0149-CE5
CE15	XIN20001215.2000.0149-CE6
CE16	XIN20001215.2000.0149-CE7
CE17	XIN20001215.2000.0149-CE8
CE18	XIN20001215.2000.0149-CE9
CE19	XIN20001215.2000.0149-CE10
CE20	XIN20001215.2000.0149-CE11
CE21	XIN20001215.2000.0149-CE12
CE22	XIN20001215.2000.0149-CE13
CE24	XIN20001215.2000.0149-CE14
CE25	XIN20001215.2000.0149-CE15
CE26	XIN20001215.2000.0149-CE16
CE27	XIN20001215.2000.0149-CE17
CE28	XIN20001215.2000.0149-CE18
CE1	XIN20001215.2000.0149-CE19
CE29	XIN20001215.2000.0149-CE20
CE23	XIN20001215.2000.0149-CE21
CE2	XIN20001215.2000.0149-CE22
CE3	XIN20001215.2000.0149-CE23
CE5	XIN20001215.2000.0149-CE24
CE4	XIN20001215.2000.0149-CE25
CE6	XIN20001215.2000.0149-CE26
CE7	XIN20001215.2000.0149-CE27
CE8	XIN20001215.2000.0149-CE28
CE10	XIN20001215.2000.0149-CE29
E14	XIN20001215.2000.0149-E1
E15	XIN20001215.2000.0149-E2
E16	XIN20001215.2000.0149-E3
E17	XIN20001215.2000.0149-E4
E18	XIN20001215.2000.0149-E5
E19	XIN20001215.2000.0149-E6
E20	XIN20001215.2000.0149-E7
E21	XIN20001215.2000.0149-E8
E22	XIN20001215.2000.0149-E9
E23	XIN20001215.2000.0149-E10
E24	XIN20001215.2000.0149-E11
E25	XIN20001215.2000.0149-E12
E27	XIN20001215.2000.0149-E13
E28	XIN20001215.2000.0149-E14
E29	XIN20001215.2000.0149-E15
E30	XIN20001215.2000.0149-E16
E1	XIN20001215.2000.0149-E17
E31	XIN20001215.2000.0149-E18
E33	XIN20001215.2000.0149-E19
E34	XIN20001215.2000.0149-E20
E35	XIN20001215.2000.0149-E21
E36	XIN20001215.2000.0149-E22
E37	XIN20001215.2000.0149-E23
E38	XIN20001215.2000.0149-E24
E39	XIN20001215.2000.0149-E25
E2	XIN20001215.2000.0149-E26
E41	XIN20001215.2000.0149-E27
E43	XIN20001215.2000.0149-E28
E3	XIN20001215.2000.0149-E29
E4	XIN20001215.2000.0149-E30
E5	XIN20001215.2000.0149-E31
E6	XIN20001215.2000.0149-E32
E7	XIN20001215.2000.0149-E33
E8	XIN20001215.2000.0149-E34
E40	XIN20001215.2000.0149-E35
E9	XIN20001215.2000.0149-E36
E10	XIN20001215.2000.0149-E37
E11	XIN20001215.2000.0149-E38
E12	XIN20001215.2000.0149-E39
EM1	XIN20001215.2000.0149-E17-1
EM21	XIN20001215.2000.0149-E30-2
EM22	XIN20001215.2000.0149-E1-3
EM23	XIN20001215.2000.0149-E2-4
EM24	XIN20001215.2000.0149-E33-5
EM25	XIN20001215.2000.0149-E34-6
EM26	XIN20001215.2000.0149-E30-7
EM27	XIN20001215.2000.0149-E34-8
EM28	XIN20001215.2000.0149-E34-9
EM29	XIN20001215.2000.0149-E30-10
EM30	XIN20001215.2000.0149-E30-11
EM31	XIN20001215.2000.0149-E34-12
EM32	XIN20001215.2000.0149-E3-13
EM33	XIN20001215.2000.0149-E4-14
EM34	XIN20001215.2000.0149-E30-15
EM35	XIN20001215.2000.0149-E5-16
EM36	XIN20001215.2000.0149-E6-17
EM38	XIN20001215.2000.0149-E5-18
EM37	XIN20001215.2000.0149-E34-19
EM39	XIN20001215.2000.0149-E38-20
EM40	XIN20001215.2000.0149-E7-21
EM41	XIN20001215.2000.0149-E8-22
EM42	XIN20001215.2000.0149-E9-23
EM65	XIN20001215.2000.0149-E27-24
EM43	XIN20001215.2000.0149-E10-25
