CE11	XIN20001004.1400.0069-CE1
CE12	XIN20001004.1400.0069-CE2
CE13	XIN20001004.1400.0069-CE3
CE1	XIN20001004.1400.0069-CE4
CE2	XIN20001004.1400.0069-CE5
CE3	XIN20001004.1400.0069-CE6
CE4	XIN20001004.1400.0069-CE7
CE5	XIN20001004.1400.0069-CE8
CE6	XIN20001004.1400.0069-CE9
CE7	XIN20001004.1400.0069-CE10
CE8	XIN20001004.1400.0069-CE11
CE9	XIN20001004.1400.0069-CE12
CE10	XIN20001004.1400.0069-CE13
E14	XIN20001004.1400.0069-E1
E15	XIN20001004.1400.0069-E2
E18	XIN20001004.1400.0069-E3
E19	XIN20001004.1400.0069-E4
E20	XIN20001004.1400.0069-E5
E1	XIN20001004.1400.0069-E6
E2	XIN20001004.1400.0069-E7
E3	XIN20001004.1400.0069-E8
E4	XIN20001004.1400.0069-E9
E5	XIN20001004.1400.0069-E10
E6	XIN20001004.1400.0069-E11
E7	XIN20001004.1400.0069-E12
E8	XIN20001004.1400.0069-E13
E9	XIN20001004.1400.0069-E14
E10	XIN20001004.1400.0069-E15
E11	XIN20001004.1400.0069-E16
E12	XIN20001004.1400.0069-E17
E13	XIN20001004.1400.0069-E18
EM1	XIN20001004.1400.0069-E6-1
EM19	XIN20001004.1400.0069-E3-2
EM20	XIN20001004.1400.0069-E7-3
EM21	XIN20001004.1400.0069-E10-4
EM22	XIN20001004.1400.0069-E1-5
EM23	XIN20001004.1400.0069-E10-6
EM24	XIN20001004.1400.0069-E10-7
EM25	XIN20001004.1400.0069-E2-8
EM27	XIN20001004.1400.0069-E10-9
EM28	XIN20001004.1400.0069-E10-10
EM30	XIN20001004.1400.0069-E10-11
EM29	XIN20001004.1400.0069-E4-12
EM31	XIN20001004.1400.0069-E13-13
EM26	XIN20001004.1400.0069-E5-14
EM2	XIN20001004.1400.0069-E7-15
EM3	XIN20001004.1400.0069-E8-16
EM4	XIN20001004.1400.0069-E9-17
EM5	XIN20001004.1400.0069-E8-18
EM6	XIN20001004.1400.0069-E10-19
EM7	XIN20001004.1400.0069-E11-20
EM9	XIN20001004.1400.0069-E10-21
EM8	XIN20001004.1400.0069-E12-22
EM12	XIN20001004.1400.0069-E13-23
EM11	XIN20001004.1400.0069-E14-24
EM10	XIN20001004.1400.0069-E10-25
EM13	XIN20001004.1400.0069-E15-26
EM14	XIN20001004.1400.0069-E12-27
EM15	XIN20001004.1400.0069-E16-28
EM16	XIN20001004.1400.0069-E17-29
EM17	XIN20001004.1400.0069-E18-30
EM18	XIN20001004.1400.0069-E10-31
R1	XIN20001004.1400.0069-R1
R2	XIN20001004.1400.0069-R2
R3	XIN20001004.1400.0069-R3
R4	XIN20001004.1400.0069-R4
R5	XIN20001004.1400.0069-R5
RM1	XIN20001004.1400.0069-R1-1
RM2	XIN20001004.1400.0069-R2-1
RM3	XIN20001004.1400.0069-R3-1
RM4	XIN20001004.1400.0069-R4-1
RM5	XIN20001004.1400.0069-R5-1
V1	XIN20001004.1400.0069-EV1
VM1	XIN20001004.1400.0069-EV1-1
Q1	XIN20001004.1400.0069-T1
Q2	XIN20001004.1400.0069-T2
Q3	XIN20001004.1400.0069-T3
Q4	XIN20001004.1400.0069-T4
Q5	XIN20001004.1400.0069-T5
Q6	XIN20001004.1400.0069-T6
Q7	XIN20001004.1400.0069-T7
