CE1	CNN_LE_20030504.1200.02-1-CE1
CE19	CNN_LE_20030504.1200.02-1-CE2
CE6	CNN_LE_20030504.1200.02-1-CE3
CE20	CNN_LE_20030504.1200.02-1-CE4
CE21	CNN_LE_20030504.1200.02-1-CE5
CE22	CNN_LE_20030504.1200.02-1-CE6
CE23	CNN_LE_20030504.1200.02-1-CE7
CE24	CNN_LE_20030504.1200.02-1-CE8
CE25	CNN_LE_20030504.1200.02-1-CE9
CE26	CNN_LE_20030504.1200.02-1-CE10
CE28	CNN_LE_20030504.1200.02-1-CE11
CE29	CNN_LE_20030504.1200.02-1-CE12
CE4	CNN_LE_20030504.1200.02-1-CE13
CE7	CNN_LE_20030504.1200.02-1-CE14
CE8	CNN_LE_20030504.1200.02-1-CE15
CE30	CNN_LE_20030504.1200.02-1-CE16
CE31	CNN_LE_20030504.1200.02-1-CE17
CE5	CNN_LE_20030504.1200.02-1-CE18
CE32	CNN_LE_20030504.1200.02-1-CE19
CE9	CNN_LE_20030504.1200.02-1-CE20
CE34	CNN_LE_20030504.1200.02-1-CE21
CE35	CNN_LE_20030504.1200.02-1-CE22
CE37	CNN_LE_20030504.1200.02-1-CE23
CE38	CNN_LE_20030504.1200.02-1-CE24
CE39	CNN_LE_20030504.1200.02-1-CE25
CE40	CNN_LE_20030504.1200.02-1-CE26
CE41	CNN_LE_20030504.1200.02-1-CE27
CE42	CNN_LE_20030504.1200.02-1-CE28
CE43	CNN_LE_20030504.1200.02-1-CE29
CE44	CNN_LE_20030504.1200.02-1-CE30
CE18	CNN_LE_20030504.1200.02-1-CE31
CE45	CNN_LE_20030504.1200.02-1-CE32
CE27	CNN_LE_20030504.1200.02-1-CE33
CE33	CNN_LE_20030504.1200.02-1-CE34
CE10	CNN_LE_20030504.1200.02-1-CE35
CE2	CNN_LE_20030504.1200.02-1-CE36
CE11	CNN_LE_20030504.1200.02-1-CE37
CE12	CNN_LE_20030504.1200.02-1-CE38
CE13	CNN_LE_20030504.1200.02-1-CE39
CE14	CNN_LE_20030504.1200.02-1-CE40
CE3	CNN_LE_20030504.1200.02-1-CE41
CE15	CNN_LE_20030504.1200.02-1-CE42
CE16	CNN_LE_20030504.1200.02-1-CE43
CE17	CNN_LE_20030504.1200.02-1-CE44
E17	CNN_LE_20030504.1200.02-1-E1
E18	CNN_LE_20030504.1200.02-1-E2
E20	CNN_LE_20030504.1200.02-1-E3
E23	CNN_LE_20030504.1200.02-1-E4
E24	CNN_LE_20030504.1200.02-1-E5
E26	CNN_LE_20030504.1200.02-1-E6
E27	CNN_LE_20030504.1200.02-1-E7
E28	CNN_LE_20030504.1200.02-1-E8
E29	CNN_LE_20030504.1200.02-1-E9
E30	CNN_LE_20030504.1200.02-1-E10
E31	CNN_LE_20030504.1200.02-1-E11
E32	CNN_LE_20030504.1200.02-1-E12
E33	CNN_LE_20030504.1200.02-1-E13
E34	CNN_LE_20030504.1200.02-1-E14
E35	CNN_LE_20030504.1200.02-1-E15
E36	CNN_LE_20030504.1200.02-1-E16
E37	CNN_LE_20030504.1200.02-1-E17
E1	CNN_LE_20030504.1200.02-1-E18
E38	CNN_LE_20030504.1200.02-1-E19
E40	CNN_LE_20030504.1200.02-1-E20
E42	CNN_LE_20030504.1200.02-1-E21
E44	CNN_LE_20030504.1200.02-1-E22
E45	CNN_LE_20030504.1200.02-1-E23
E46	CNN_LE_20030504.1200.02-1-E24
E47	CNN_LE_20030504.1200.02-1-E25
E49	CNN_LE_20030504.1200.02-1-E26
E50	CNN_LE_20030504.1200.02-1-E27
E51	CNN_LE_20030504.1200.02-1-E28
E52	CNN_LE_20030504.1200.02-1-E29
E53	CNN_LE_20030504.1200.02-1-E30
E54	CNN_LE_20030504.1200.02-1-E31
E55	CNN_LE_20030504.1200.02-1-E32
E56	CNN_LE_20030504.1200.02-1-E33
E61	CNN_LE_20030504.1200.02-1-E34
E62	CNN_LE_20030504.1200.02-1-E35
E63	CNN_LE_20030504.1200.02-1-E36
E64	CNN_LE_20030504.1200.02-1-E37
E66	CNN_LE_20030504.1200.02-1-E38
E67	CNN_LE_20030504.1200.02-1-E39
E68	CNN_LE_20030504.1200.02-1-E40
E69	CNN_LE_20030504.1200.02-1-E41
E70	CNN_LE_20030504.1200.02-1-E42
E71	CNN_LE_20030504.1200.02-1-E43
E72	CNN_LE_20030504.1200.02-1-E44
E79	CNN_LE_20030504.1200.02-1-E45
E73	CNN_LE_20030504.1200.02-1-E46
E2	CNN_LE_20030504.1200.02-1-E47
E74	CNN_LE_20030504.1200.02-1-E48
E75	CNN_LE_20030504.1200.02-1-E49
E80	CNN_LE_20030504.1200.02-1-E50
E81	CNN_LE_20030504.1200.02-1-E51
E3	CNN_LE_20030504.1200.02-1-E52
E5	CNN_LE_20030504.1200.02-1-E53
E6	CNN_LE_20030504.1200.02-1-E54
E7	CNN_LE_20030504.1200.02-1-E55
E8	CNN_LE_20030504.1200.02-1-E56
E9	CNN_LE_20030504.1200.02-1-E57
E11	CNN_LE_20030504.1200.02-1-E58
E12	CNN_LE_20030504.1200.02-1-E59
E13	CNN_LE_20030504.1200.02-1-E60
E14	CNN_LE_20030504.1200.02-1-E61
E15	CNN_LE_20030504.1200.02-1-E62
EM1	CNN_LE_20030504.1200.02-1-E18-1
EM17	CNN_LE_20030504.1200.02-1-E2-2
EM18	CNN_LE_20030504.1200.02-1-E3-3
EM14	CNN_LE_20030504.1200.02-1-E57-4
EM155	CNN_LE_20030504.1200.02-1-E61-5
EM22	CNN_LE_20030504.1200.02-1-E4-6
EM23	CNN_LE_20030504.1200.02-1-E5-7
EM24	CNN_LE_20030504.1200.02-1-E6-8
EM25	CNN_LE_20030504.1200.02-1-E7-9
EM26	CNN_LE_20030504.1200.02-1-E56-10
EM27	CNN_LE_20030504.1200.02-1-E61-11
EM28	CNN_LE_20030504.1200.02-1-E8-12
EM30	CNN_LE_20030504.1200.02-1-E61-13
EM29	CNN_LE_20030504.1200.02-1-E9-14
EM31	CNN_LE_20030504.1200.02-1-E61-15
EM32	CNN_LE_20030504.1200.02-1-E10-16
EM33	CNN_LE_20030504.1200.02-1-E10-17
EM34	CNN_LE_20030504.1200.02-1-E59-18
EM35	CNN_LE_20030504.1200.02-1-E11-19
EM36	CNN_LE_20030504.1200.02-1-E54-20
EM37	CNN_LE_20030504.1200.02-1-E61-21
EM38	CNN_LE_20030504.1200.02-1-E12-22
EM39	CNN_LE_20030504.1200.02-1-E13-23
EM40	CNN_LE_20030504.1200.02-1-E14-24
EM41	CNN_LE_20030504.1200.02-1-E15-25
EM42	CNN_LE_20030504.1200.02-1-E18-26
EM43	CNN_LE_20030504.1200.02-1-E11-27
EM44	CNN_LE_20030504.1200.02-1-E54-28
EM45	CNN_LE_20030504.1200.02-1-E59-29
EM46	CNN_LE_20030504.1200.02-1-E11-30
EM47	CNN_LE_20030504.1200.02-1-E16-31
EM48	CNN_LE_20030504.1200.02-1-E54-32
EM49	CNN_LE_20030504.1200.02-1-E11-33
EM50	CNN_LE_20030504.1200.02-1-E59-34
EM51	CNN_LE_20030504.1200.02-1-E11-35
EM156	CNN_LE_20030504.1200.02-1-E61-36
EM53	CNN_LE_20030504.1200.02-1-E17-37
EM54	CNN_LE_20030504.1200.02-1-E61-38
