CE14	CNN_CF_20030304.1900.02-CE1
CE15	CNN_CF_20030304.1900.02-CE2
CE16	CNN_CF_20030304.1900.02-CE3
CE17	CNN_CF_20030304.1900.02-CE4
CE18	CNN_CF_20030304.1900.02-CE5
CE19	CNN_CF_20030304.1900.02-CE6
CE20	CNN_CF_20030304.1900.02-CE7
CE22	CNN_CF_20030304.1900.02-CE8
CE23	CNN_CF_20030304.1900.02-CE9
CE24	CNN_CF_20030304.1900.02-CE10
CE26	CNN_CF_20030304.1900.02-CE11
CE27	CNN_CF_20030304.1900.02-CE12
CE28	CNN_CF_20030304.1900.02-CE13
CE29	CNN_CF_20030304.1900.02-CE14
CE30	CNN_CF_20030304.1900.02-CE15
CE31	CNN_CF_20030304.1900.02-CE16
CE3	CNN_CF_20030304.1900.02-CE17
CE32	CNN_CF_20030304.1900.02-CE18
CE33	CNN_CF_20030304.1900.02-CE19
CE34	CNN_CF_20030304.1900.02-CE20
CE35	CNN_CF_20030304.1900.02-CE21
CE36	CNN_CF_20030304.1900.02-CE22
CE5	CNN_CF_20030304.1900.02-CE23
CE37	CNN_CF_20030304.1900.02-CE24
CE38	CNN_CF_20030304.1900.02-CE25
CE39	CNN_CF_20030304.1900.02-CE26
CE40	CNN_CF_20030304.1900.02-CE27
CE41	CNN_CF_20030304.1900.02-CE28
CE42	CNN_CF_20030304.1900.02-CE29
CE43	CNN_CF_20030304.1900.02-CE30
CE44	CNN_CF_20030304.1900.02-CE31
CE45	CNN_CF_20030304.1900.02-CE32
CE4	CNN_CF_20030304.1900.02-CE33
CE46	CNN_CF_20030304.1900.02-CE34
CE47	CNN_CF_20030304.1900.02-CE35
CE48	CNN_CF_20030304.1900.02-CE36
CE49	CNN_CF_20030304.1900.02-CE37
CE50	CNN_CF_20030304.1900.02-CE38
CE51	CNN_CF_20030304.1900.02-CE39
CE52	CNN_CF_20030304.1900.02-CE40
CE53	CNN_CF_20030304.1900.02-CE41
CE54	CNN_CF_20030304.1900.02-CE42
CE55	CNN_CF_20030304.1900.02-CE43
CE56	CNN_CF_20030304.1900.02-CE44
CE57	CNN_CF_20030304.1900.02-CE45
CE59	CNN_CF_20030304.1900.02-CE46
CE60	CNN_CF_20030304.1900.02-CE47
CE61	CNN_CF_20030304.1900.02-CE48
CE7	CNN_CF_20030304.1900.02-CE49
CE62	CNN_CF_20030304.1900.02-CE50
CE63	CNN_CF_20030304.1900.02-CE51
CE64	CNN_CF_20030304.1900.02-CE52
CE65	CNN_CF_20030304.1900.02-CE53
CE75	CNN_CF_20030304.1900.02-CE54
CE66	CNN_CF_20030304.1900.02-CE55
CE67	CNN_CF_20030304.1900.02-CE56
CE68	CNN_CF_20030304.1900.02-CE57
CE69	CNN_CF_20030304.1900.02-CE58
CE71	CNN_CF_20030304.1900.02-CE59
CE2	CNN_CF_20030304.1900.02-CE60
CE72	CNN_CF_20030304.1900.02-CE61
CE73	CNN_CF_20030304.1900.02-CE62
CE6	CNN_CF_20030304.1900.02-CE63
CE21	CNN_CF_20030304.1900.02-CE64
CE25	CNN_CF_20030304.1900.02-CE65
CE70	CNN_CF_20030304.1900.02-CE66
CE74	CNN_CF_20030304.1900.02-CE67
CE58	CNN_CF_20030304.1900.02-CE68
CE8	CNN_CF_20030304.1900.02-CE69
CE9	CNN_CF_20030304.1900.02-CE70
CE10	CNN_CF_20030304.1900.02-CE71
CE11	CNN_CF_20030304.1900.02-CE72
CE12	CNN_CF_20030304.1900.02-CE73
CE1	CNN_CF_20030304.1900.02-CE74
CE13	CNN_CF_20030304.1900.02-CE75
E17	CNN_CF_20030304.1900.02-E1
E18	CNN_CF_20030304.1900.02-E2
E19	CNN_CF_20030304.1900.02-E3
E20	CNN_CF_20030304.1900.02-E4
E21	CNN_CF_20030304.1900.02-E5
E22	CNN_CF_20030304.1900.02-E6
E23	CNN_CF_20030304.1900.02-E7
E24	CNN_CF_20030304.1900.02-E8
E25	CNN_CF_20030304.1900.02-E9
E26	CNN_CF_20030304.1900.02-E10
E27	CNN_CF_20030304.1900.02-E11
E28	CNN_CF_20030304.1900.02-E12
E29	CNN_CF_20030304.1900.02-E13
E30	CNN_CF_20030304.1900.02-E14
E31	CNN_CF_20030304.1900.02-E15
E32	CNN_CF_20030304.1900.02-E16
E33	CNN_CF_20030304.1900.02-E17
E34	CNN_CF_20030304.1900.02-E18
E35	CNN_CF_20030304.1900.02-E19
E36	CNN_CF_20030304.1900.02-E20
E37	CNN_CF_20030304.1900.02-E21
E1	CNN_CF_20030304.1900.02-E22
E38	CNN_CF_20030304.1900.02-E23
E39	CNN_CF_20030304.1900.02-E24
E40	CNN_CF_20030304.1900.02-E25
E41	CNN_CF_20030304.1900.02-E26
E43	CNN_CF_20030304.1900.02-E27
E44	CNN_CF_20030304.1900.02-E28
E45	CNN_CF_20030304.1900.02-E29
E46	CNN_CF_20030304.1900.02-E30
E47	CNN_CF_20030304.1900.02-E31
E48	CNN_CF_20030304.1900.02-E32
E49	CNN_CF_20030304.1900.02-E33
E50	CNN_CF_20030304.1900.02-E34
E52	CNN_CF_20030304.1900.02-E35
E53	CNN_CF_20030304.1900.02-E36
E54	CNN_CF_20030304.1900.02-E37
E55	CNN_CF_20030304.1900.02-E38
E56	CNN_CF_20030304.1900.02-E39
E57	CNN_CF_20030304.1900.02-E40
E58	CNN_CF_20030304.1900.02-E41
E59	CNN_CF_20030304.1900.02-E42
E60	CNN_CF_20030304.1900.02-E43
E61	CNN_CF_20030304.1900.02-E44
E118	CNN_CF_20030304.1900.02-E45
E63	CNN_CF_20030304.1900.02-E46
E64	CNN_CF_20030304.1900.02-E47
E66	CNN_CF_20030304.1900.02-E48
E67	CNN_CF_20030304.1900.02-E49
E69	CNN_CF_20030304.1900.02-E50
E70	CNN_CF_20030304.1900.02-E51
E71	CNN_CF_20030304.1900.02-E52
E72	CNN_CF_20030304.1900.02-E53
E73	CNN_CF_20030304.1900.02-E54
E74	CNN_CF_20030304.1900.02-E55
E75	CNN_CF_20030304.1900.02-E56
E2	CNN_CF_20030304.1900.02-E57
E76	CNN_CF_20030304.1900.02-E58
E77	CNN_CF_20030304.1900.02-E59
E78	CNN_CF_20030304.1900.02-E60
E79	CNN_CF_20030304.1900.02-E61
E80	CNN_CF_20030304.1900.02-E62
E81	CNN_CF_20030304.1900.02-E63
E82	CNN_CF_20030304.1900.02-E64
E83	CNN_CF_20030304.1900.02-E65
E84	CNN_CF_20030304.1900.02-E66
E85	CNN_CF_20030304.1900.02-E67
E86	CNN_CF_20030304.1900.02-E68
E87	CNN_CF_20030304.1900.02-E69
E90	CNN_CF_20030304.1900.02-E70
E119	CNN_CF_20030304.1900.02-E71
E92	CNN_CF_20030304.1900.02-E72
E93	CNN_CF_20030304.1900.02-E73
E94	CNN_CF_20030304.1900.02-E74
E95	CNN_CF_20030304.1900.02-E75
E96	CNN_CF_20030304.1900.02-E76
E97	CNN_CF_20030304.1900.02-E77
E98	CNN_CF_20030304.1900.02-E78
E100	CNN_CF_20030304.1900.02-E79
E101	CNN_CF_20030304.1900.02-E80
E102	CNN_CF_20030304.1900.02-E81
E103	CNN_CF_20030304.1900.02-E82
E104	CNN_CF_20030304.1900.02-E83
E105	CNN_CF_20030304.1900.02-E84
E3	CNN_CF_20030304.1900.02-E85
E108	CNN_CF_20030304.1900.02-E86
E109	CNN_CF_20030304.1900.02-E87
E110	CNN_CF_20030304.1900.02-E88
E113	CNN_CF_20030304.1900.02-E89
E114	CNN_CF_20030304.1900.02-E90
E115	CNN_CF_20030304.1900.02-E91
E116	CNN_CF_20030304.1900.02-E92
E5	CNN_CF_20030304.1900.02-E93
E6	CNN_CF_20030304.1900.02-E94
E8	CNN_CF_20030304.1900.02-E95
E9	CNN_CF_20030304.1900.02-E96
E10	CNN_CF_20030304.1900.02-E97
E11	CNN_CF_20030304.1900.02-E98
E13	CNN_CF_20030304.1900.02-E99
E14	CNN_CF_20030304.1900.02-E100
E15	CNN_CF_20030304.1900.02-E101
E16	CNN_CF_20030304.1900.02-E102
EM1	CNN_CF_20030304.1900.02-E22-1
EM15	CNN_CF_20030304.1900.02-E1-2
EM16	CNN_CF_20030304.1900.02-E2-3
EM19	CNN_CF_20030304.1900.02-E102-4
EM20	CNN_CF_20030304.1900.02-E3-5
EM21	CNN_CF_20030304.1900.02-E98-6
EM22	CNN_CF_20030304.1900.02-E4-7
EM23	CNN_CF_20030304.1900.02-E57-8
EM25	CNN_CF_20030304.1900.02-E5-9
EM24	CNN_CF_20030304.1900.02-E57-10
EM26	CNN_CF_20030304.1900.02-E6-11
EM27	CNN_CF_20030304.1900.02-E57-12
EM29	CNN_CF_20030304.1900.02-E57-13
EM30	CNN_CF_20030304.1900.02-E7-14
EM31	CNN_CF_20030304.1900.02-E8-15
