CE16	CNN_IP_20030329.1600.02-CE1
CE17	CNN_IP_20030329.1600.02-CE2
CE18	CNN_IP_20030329.1600.02-CE3
CE19	CNN_IP_20030329.1600.02-CE4
CE20	CNN_IP_20030329.1600.02-CE5
CE2	CNN_IP_20030329.1600.02-CE6
CE21	CNN_IP_20030329.1600.02-CE7
CE12	CNN_IP_20030329.1600.02-CE8
CE22	CNN_IP_20030329.1600.02-CE9
CE23	CNN_IP_20030329.1600.02-CE10
CE24	CNN_IP_20030329.1600.02-CE11
CE8	CNN_IP_20030329.1600.02-CE12
CE25	CNN_IP_20030329.1600.02-CE13
CE26	CNN_IP_20030329.1600.02-CE14
CE27	CNN_IP_20030329.1600.02-CE15
CE28	CNN_IP_20030329.1600.02-CE16
CE29	CNN_IP_20030329.1600.02-CE17
CE30	CNN_IP_20030329.1600.02-CE18
CE31	CNN_IP_20030329.1600.02-CE19
CE4	CNN_IP_20030329.1600.02-CE20
CE32	CNN_IP_20030329.1600.02-CE21
CE11	CNN_IP_20030329.1600.02-CE22
CE34	CNN_IP_20030329.1600.02-CE23
CE33	CNN_IP_20030329.1600.02-CE24
CE7	CNN_IP_20030329.1600.02-CE25
CE35	CNN_IP_20030329.1600.02-CE26
CE5	CNN_IP_20030329.1600.02-CE27
CE37	CNN_IP_20030329.1600.02-CE28
CE38	CNN_IP_20030329.1600.02-CE29
CE39	CNN_IP_20030329.1600.02-CE30
CE41	CNN_IP_20030329.1600.02-CE31
CE42	CNN_IP_20030329.1600.02-CE32
CE43	CNN_IP_20030329.1600.02-CE33
CE44	CNN_IP_20030329.1600.02-CE34
CE45	CNN_IP_20030329.1600.02-CE35
CE46	CNN_IP_20030329.1600.02-CE36
CE47	CNN_IP_20030329.1600.02-CE37
CE49	CNN_IP_20030329.1600.02-CE38
CE50	CNN_IP_20030329.1600.02-CE39
CE51	CNN_IP_20030329.1600.02-CE40
CE52	CNN_IP_20030329.1600.02-CE41
CE53	CNN_IP_20030329.1600.02-CE42
CE54	CNN_IP_20030329.1600.02-CE43
CE55	CNN_IP_20030329.1600.02-CE44
CE6	CNN_IP_20030329.1600.02-CE45
CE56	CNN_IP_20030329.1600.02-CE46
CE57	CNN_IP_20030329.1600.02-CE47
CE58	CNN_IP_20030329.1600.02-CE48
CE48	CNN_IP_20030329.1600.02-CE49
CE59	CNN_IP_20030329.1600.02-CE50
CE60	CNN_IP_20030329.1600.02-CE51
CE61	CNN_IP_20030329.1600.02-CE52
CE36	CNN_IP_20030329.1600.02-CE53
CE40	CNN_IP_20030329.1600.02-CE54
CE1	CNN_IP_20030329.1600.02-CE55
CE9	CNN_IP_20030329.1600.02-CE56
CE10	CNN_IP_20030329.1600.02-CE57
CE3	CNN_IP_20030329.1600.02-CE58
CE13	CNN_IP_20030329.1600.02-CE59
CE14	CNN_IP_20030329.1600.02-CE60
CE15	CNN_IP_20030329.1600.02-CE61
E18	CNN_IP_20030329.1600.02-E1
E19	CNN_IP_20030329.1600.02-E2
E20	CNN_IP_20030329.1600.02-E3
E21	CNN_IP_20030329.1600.02-E4
E22	CNN_IP_20030329.1600.02-E5
E24	CNN_IP_20030329.1600.02-E6
E25	CNN_IP_20030329.1600.02-E7
E26	CNN_IP_20030329.1600.02-E8
E27	CNN_IP_20030329.1600.02-E9
E28	CNN_IP_20030329.1600.02-E10
E29	CNN_IP_20030329.1600.02-E11
E30	CNN_IP_20030329.1600.02-E12
E31	CNN_IP_20030329.1600.02-E13
E32	CNN_IP_20030329.1600.02-E14
E33	CNN_IP_20030329.1600.02-E15
E34	CNN_IP_20030329.1600.02-E16
E36	CNN_IP_20030329.1600.02-E17
E37	CNN_IP_20030329.1600.02-E18
E38	CNN_IP_20030329.1600.02-E19
E39	CNN_IP_20030329.1600.02-E20
E40	CNN_IP_20030329.1600.02-E21
E41	CNN_IP_20030329.1600.02-E22
E42	CNN_IP_20030329.1600.02-E23
E1	CNN_IP_20030329.1600.02-E24
E43	CNN_IP_20030329.1600.02-E25
E97	CNN_IP_20030329.1600.02-E26
E45	CNN_IP_20030329.1600.02-E27
E46	CNN_IP_20030329.1600.02-E28
E47	CNN_IP_20030329.1600.02-E29
E48	CNN_IP_20030329.1600.02-E30
E49	CNN_IP_20030329.1600.02-E31
E93	CNN_IP_20030329.1600.02-E32
E51	CNN_IP_20030329.1600.02-E33
E52	CNN_IP_20030329.1600.02-E34
E53	CNN_IP_20030329.1600.02-E35
E54	CNN_IP_20030329.1600.02-E36
E55	CNN_IP_20030329.1600.02-E37
E56	CNN_IP_20030329.1600.02-E38
E57	CNN_IP_20030329.1600.02-E39
E58	CNN_IP_20030329.1600.02-E40
E59	CNN_IP_20030329.1600.02-E41
E60	CNN_IP_20030329.1600.02-E42
E61	CNN_IP_20030329.1600.02-E43
E62	CNN_IP_20030329.1600.02-E44
E63	CNN_IP_20030329.1600.02-E45
E66	CNN_IP_20030329.1600.02-E46
E67	CNN_IP_20030329.1600.02-E47
E68	CNN_IP_20030329.1600.02-E48
E69	CNN_IP_20030329.1600.02-E49
E70	CNN_IP_20030329.1600.02-E50
E71	CNN_IP_20030329.1600.02-E51
E2	CNN_IP_20030329.1600.02-E52
E72	CNN_IP_20030329.1600.02-E53
E73	CNN_IP_20030329.1600.02-E54
E74	CNN_IP_20030329.1600.02-E55
E75	CNN_IP_20030329.1600.02-E56
E76	CNN_IP_20030329.1600.02-E57
E77	CNN_IP_20030329.1600.02-E58
E80	CNN_IP_20030329.1600.02-E59
E81	CNN_IP_20030329.1600.02-E60
E84	CNN_IP_20030329.1600.02-E61
E88	CNN_IP_20030329.1600.02-E62
E89	CNN_IP_20030329.1600.02-E63
E101	CNN_IP_20030329.1600.02-E64
E102	CNN_IP_20030329.1600.02-E65
E105	CNN_IP_20030329.1600.02-E66
E106	CNN_IP_20030329.1600.02-E67
E107	CNN_IP_20030329.1600.02-E68
E108	CNN_IP_20030329.1600.02-E69
E5	CNN_IP_20030329.1600.02-E70
E6	CNN_IP_20030329.1600.02-E71
E7	CNN_IP_20030329.1600.02-E72
E11	CNN_IP_20030329.1600.02-E73
E12	CNN_IP_20030329.1600.02-E74
E13	CNN_IP_20030329.1600.02-E75
E14	CNN_IP_20030329.1600.02-E76
E15	CNN_IP_20030329.1600.02-E77
E16	CNN_IP_20030329.1600.02-E78
EM1	CNN_IP_20030329.1600.02-E24-1
EM17	CNN_IP_20030329.1600.02-E76-2
EM211	CNN_IP_20030329.1600.02-E35-3
EM212	CNN_IP_20030329.1600.02-E35-4
EM19	CNN_IP_20030329.1600.02-E1-5
EM20	CNN_IP_20030329.1600.02-E2-6
EM21	CNN_IP_20030329.1600.02-E3-7
EM22	CNN_IP_20030329.1600.02-E4-8
EM24	CNN_IP_20030329.1600.02-E5-9
EM25	CNN_IP_20030329.1600.02-E6-10
EM36	CNN_IP_20030329.1600.02-E26-11
EM26	CNN_IP_20030329.1600.02-E7-12
EM27	CNN_IP_20030329.1600.02-E8-13
EM28	CNN_IP_20030329.1600.02-E72-14
EM29	CNN_IP_20030329.1600.02-E9-15
EM30	CNN_IP_20030329.1600.02-E10-16
EM31	CNN_IP_20030329.1600.02-E11-17
EM32	CNN_IP_20030329.1600.02-E12-18
EM33	CNN_IP_20030329.1600.02-E13-19
EM34	CNN_IP_20030329.1600.02-E14-20
EM35	CNN_IP_20030329.1600.02-E15-21
EM213	CNN_IP_20030329.1600.02-E35-22
EM214	CNN_IP_20030329.1600.02-E35-23
EM215	CNN_IP_20030329.1600.02-E35-24
EM40	CNN_IP_20030329.1600.02-E16-25
EM216	CNN_IP_20030329.1600.02-E35-26
EM217	CNN_IP_20030329.1600.02-E35-27
EM218	CNN_IP_20030329.1600.02-E43-28
EM42	CNN_IP_20030329.1600.02-E17-29
EM43	CNN_IP_20030329.1600.02-E70-30
EM44	CNN_IP_20030329.1600.02-E72-31
EM45	CNN_IP_20030329.1600.02-E16-32
EM46	CNN_IP_20030329.1600.02-E9-33
EM41	CNN_IP_20030329.1600.02-E9-34
EM47	CNN_IP_20030329.1600.02-E18-35
EM48	CNN_IP_20030329.1600.02-E9-36
EM49	CNN_IP_20030329.1600.02-E19-37
EM50	CNN_IP_20030329.1600.02-E20-38
EM51	CNN_IP_20030329.1600.02-E21-39
EM52	CNN_IP_20030329.1600.02-E22-40
EM53	CNN_IP_20030329.1600.02-E23-41
EM54	CNN_IP_20030329.1600.02-E25-42
EM55	CNN_IP_20030329.1600.02-E22-43
EM56	CNN_IP_20030329.1600.02-E22-44
EM57	CNN_IP_20030329.1600.02-E25-45
EM58	CNN_IP_20030329.1600.02-E25-46
EM59	CNN_IP_20030329.1600.02-E27-47
EM60	CNN_IP_20030329.1600.02-E28-48
EM61	CNN_IP_20030329.1600.02-E9-49
EM62	CNN_IP_20030329.1600.02-E28-50
EM63	CNN_IP_20030329.1600.02-E9-51
EM65	CNN_IP_20030329.1600.02-E29-52
EM64	CNN_IP_20030329.1600.02-E30-53
EM66	CNN_IP_20030329.1600.02-E31-54
EM68	CNN_IP_20030329.1600.02-E9-55
