CE12	CNN_IP_20030329.1600.01-1-CE1
CE14	CNN_IP_20030329.1600.01-1-CE2
CE15	CNN_IP_20030329.1600.01-1-CE3
CE3	CNN_IP_20030329.1600.01-1-CE4
CE16	CNN_IP_20030329.1600.01-1-CE5
CE17	CNN_IP_20030329.1600.01-1-CE6
CE18	CNN_IP_20030329.1600.01-1-CE7
CE19	CNN_IP_20030329.1600.01-1-CE8
CE4	CNN_IP_20030329.1600.01-1-CE9
CE21	CNN_IP_20030329.1600.01-1-CE10
CE22	CNN_IP_20030329.1600.01-1-CE11
CE20	CNN_IP_20030329.1600.01-1-CE12
CE23	CNN_IP_20030329.1600.01-1-CE13
CE24	CNN_IP_20030329.1600.01-1-CE14
CE25	CNN_IP_20030329.1600.01-1-CE15
CE26	CNN_IP_20030329.1600.01-1-CE16
CE27	CNN_IP_20030329.1600.01-1-CE17
CE28	CNN_IP_20030329.1600.01-1-CE18
CE13	CNN_IP_20030329.1600.01-1-CE19
CE6	CNN_IP_20030329.1600.01-1-CE20
CE29	CNN_IP_20030329.1600.01-1-CE21
CE30	CNN_IP_20030329.1600.01-1-CE22
CE9	CNN_IP_20030329.1600.01-1-CE23
CE5	CNN_IP_20030329.1600.01-1-CE24
CE1	CNN_IP_20030329.1600.01-1-CE25
CE7	CNN_IP_20030329.1600.01-1-CE26
CE8	CNN_IP_20030329.1600.01-1-CE27
CE2	CNN_IP_20030329.1600.01-1-CE28
CE10	CNN_IP_20030329.1600.01-1-CE29
CE11	CNN_IP_20030329.1600.01-1-CE30
E11	CNN_IP_20030329.1600.01-1-E1
E16	CNN_IP_20030329.1600.01-1-E2
E17	CNN_IP_20030329.1600.01-1-E3
E19	CNN_IP_20030329.1600.01-1-E4
E20	CNN_IP_20030329.1600.01-1-E5
E21	CNN_IP_20030329.1600.01-1-E6
E22	CNN_IP_20030329.1600.01-1-E7
E23	CNN_IP_20030329.1600.01-1-E8
E24	CNN_IP_20030329.1600.01-1-E9
E25	CNN_IP_20030329.1600.01-1-E10
