CE16	CNN_IP_20030407.1600.05-CE1
CE17	CNN_IP_20030407.1600.05-CE2
CE18	CNN_IP_20030407.1600.05-CE3
CE8	CNN_IP_20030407.1600.05-CE4
CE19	CNN_IP_20030407.1600.05-CE5
CE20	CNN_IP_20030407.1600.05-CE6
CE22	CNN_IP_20030407.1600.05-CE7
CE23	CNN_IP_20030407.1600.05-CE8
CE24	CNN_IP_20030407.1600.05-CE9
CE25	CNN_IP_20030407.1600.05-CE10
CE26	CNN_IP_20030407.1600.05-CE11
CE27	CNN_IP_20030407.1600.05-CE12
CE5	CNN_IP_20030407.1600.05-CE13
CE29	CNN_IP_20030407.1600.05-CE14
CE30	CNN_IP_20030407.1600.05-CE15
CE31	CNN_IP_20030407.1600.05-CE16
CE28	CNN_IP_20030407.1600.05-CE17
CE33	CNN_IP_20030407.1600.05-CE18
CE40	CNN_IP_20030407.1600.05-CE19
CE4	CNN_IP_20030407.1600.05-CE20
CE34	CNN_IP_20030407.1600.05-CE21
CE35	CNN_IP_20030407.1600.05-CE22
CE36	CNN_IP_20030407.1600.05-CE23
CE37	CNN_IP_20030407.1600.05-CE24
CE1	CNN_IP_20030407.1600.05-CE25
CE38	CNN_IP_20030407.1600.05-CE26
CE39	CNN_IP_20030407.1600.05-CE27
CE41	CNN_IP_20030407.1600.05-CE28
CE42	CNN_IP_20030407.1600.05-CE29
CE43	CNN_IP_20030407.1600.05-CE30
CE6	CNN_IP_20030407.1600.05-CE31
CE21	CNN_IP_20030407.1600.05-CE32
CE44	CNN_IP_20030407.1600.05-CE33
CE45	CNN_IP_20030407.1600.05-CE34
CE46	CNN_IP_20030407.1600.05-CE35
CE47	CNN_IP_20030407.1600.05-CE36
CE7	CNN_IP_20030407.1600.05-CE37
CE12	CNN_IP_20030407.1600.05-CE38
CE9	CNN_IP_20030407.1600.05-CE39
CE10	CNN_IP_20030407.1600.05-CE40
CE11	CNN_IP_20030407.1600.05-CE41
CE2	CNN_IP_20030407.1600.05-CE42
CE3	CNN_IP_20030407.1600.05-CE43
CE13	CNN_IP_20030407.1600.05-CE44
CE14	CNN_IP_20030407.1600.05-CE45
CE15	CNN_IP_20030407.1600.05-CE46
CE32	CNN_IP_20030407.1600.05-CE47
E16	CNN_IP_20030407.1600.05-E1
E17	CNN_IP_20030407.1600.05-E2
E18	CNN_IP_20030407.1600.05-E3
E19	CNN_IP_20030407.1600.05-E4
E20	CNN_IP_20030407.1600.05-E5
E22	CNN_IP_20030407.1600.05-E6
E24	CNN_IP_20030407.1600.05-E7
E25	CNN_IP_20030407.1600.05-E8
E26	CNN_IP_20030407.1600.05-E9
E27	CNN_IP_20030407.1600.05-E10
E28	CNN_IP_20030407.1600.05-E11
E29	CNN_IP_20030407.1600.05-E12
E30	CNN_IP_20030407.1600.05-E13
E32	CNN_IP_20030407.1600.05-E14
E33	CNN_IP_20030407.1600.05-E15
E34	CNN_IP_20030407.1600.05-E16
E35	CNN_IP_20030407.1600.05-E17
E69	CNN_IP_20030407.1600.05-E18
E75	CNN_IP_20030407.1600.05-E19
E38	CNN_IP_20030407.1600.05-E20
E39	CNN_IP_20030407.1600.05-E21
E41	CNN_IP_20030407.1600.05-E22
E43	CNN_IP_20030407.1600.05-E23
E45	CNN_IP_20030407.1600.05-E24
E47	CNN_IP_20030407.1600.05-E25
E48	CNN_IP_20030407.1600.05-E26
E49	CNN_IP_20030407.1600.05-E27
E51	CNN_IP_20030407.1600.05-E28
E70	CNN_IP_20030407.1600.05-E29
E53	CNN_IP_20030407.1600.05-E30
E54	CNN_IP_20030407.1600.05-E31
E1	CNN_IP_20030407.1600.05-E32
E55	CNN_IP_20030407.1600.05-E33
E56	CNN_IP_20030407.1600.05-E34
E71	CNN_IP_20030407.1600.05-E35
E57	CNN_IP_20030407.1600.05-E36
E59	CNN_IP_20030407.1600.05-E37
E72	CNN_IP_20030407.1600.05-E38
E62	CNN_IP_20030407.1600.05-E39
E63	CNN_IP_20030407.1600.05-E40
E76	CNN_IP_20030407.1600.05-E41
E2	CNN_IP_20030407.1600.05-E42
E77	CNN_IP_20030407.1600.05-E43
E78	CNN_IP_20030407.1600.05-E44
E65	CNN_IP_20030407.1600.05-E45
E5	CNN_IP_20030407.1600.05-E46
E6	CNN_IP_20030407.1600.05-E47
E7	CNN_IP_20030407.1600.05-E48
E9	CNN_IP_20030407.1600.05-E49
E66	CNN_IP_20030407.1600.05-E50
E11	CNN_IP_20030407.1600.05-E51
E12	CNN_IP_20030407.1600.05-E52
E13	CNN_IP_20030407.1600.05-E53
E14	CNN_IP_20030407.1600.05-E54
EM17	CNN_IP_20030407.1600.05-E2-1
EM18	CNN_IP_20030407.1600.05-E3-2
EM19	CNN_IP_20030407.1600.05-E4-3
EM20	CNN_IP_20030407.1600.05-E5-4
EM21	CNN_IP_20030407.1600.05-E5-5
EM22	CNN_IP_20030407.1600.05-E46-6
EM23	CNN_IP_20030407.1600.05-E6-7
EM24	CNN_IP_20030407.1600.05-E6-8
EM25	CNN_IP_20030407.1600.05-E5-9
EM27	CNN_IP_20030407.1600.05-E5-10
EM28	CNN_IP_20030407.1600.05-E6-11
EM30	CNN_IP_20030407.1600.05-E5-12
EM29	CNN_IP_20030407.1600.05-E7-13
EM31	CNN_IP_20030407.1600.05-E7-14
EM32	CNN_IP_20030407.1600.05-E8-15
EM33	CNN_IP_20030407.1600.05-E8-16
EM34	CNN_IP_20030407.1600.05-E32-17
EM35	CNN_IP_20030407.1600.05-E9-18
EM36	CNN_IP_20030407.1600.05-E5-19
EM37	CNN_IP_20030407.1600.05-E6-20
EM38	CNN_IP_20030407.1600.05-E5-21
EM39	CNN_IP_20030407.1600.05-E4-22
EM41	CNN_IP_20030407.1600.05-E4-23
EM40	CNN_IP_20030407.1600.05-E5-24
EM42	CNN_IP_20030407.1600.05-E5-25
EM43	CNN_IP_20030407.1600.05-E5-26
EM44	CNN_IP_20030407.1600.05-E10-27
EM45	CNN_IP_20030407.1600.05-E5-28
EM46	CNN_IP_20030407.1600.05-E5-29
EM47	CNN_IP_20030407.1600.05-E11-30
EM48	CNN_IP_20030407.1600.05-E12-31
EM49	CNN_IP_20030407.1600.05-E13-32
EM50	CNN_IP_20030407.1600.05-E12-33
EM51	CNN_IP_20030407.1600.05-E12-34
EM77	CNN_IP_20030407.1600.05-E19-35
EM53	CNN_IP_20030407.1600.05-E14-36
EM54	CNN_IP_20030407.1600.05-E15-37
EM55	CNN_IP_20030407.1600.05-E16-38
EM56	CNN_IP_20030407.1600.05-E12-39
EM58	CNN_IP_20030407.1600.05-E12-40
EM1	CNN_IP_20030407.1600.05-E32-41
EM61	CNN_IP_20030407.1600.05-E12-42
EM62	CNN_IP_20030407.1600.05-E12-43
EM64	CNN_IP_20030407.1600.05-E12-44
EM65	CNN_IP_20030407.1600.05-E12-45
EM69	CNN_IP_20030407.1600.05-E12-46
EM70	CNN_IP_20030407.1600.05-E12-47
EM59	CNN_IP_20030407.1600.05-E17-48
EM60	CNN_IP_20030407.1600.05-E17-49
EM63	CNN_IP_20030407.1600.05-E17-50
EM105	CNN_IP_20030407.1600.05-E18-51
EM67	CNN_IP_20030407.1600.05-E17-52
EM68	CNN_IP_20030407.1600.05-E12-53
EM72	CNN_IP_20030407.1600.05-E20-54
EM74	CNN_IP_20030407.1600.05-E21-55
EM75	CNN_IP_20030407.1600.05-E22-56
EM76	CNN_IP_20030407.1600.05-E20-57
EM79	CNN_IP_20030407.1600.05-E23-58
EM80	CNN_IP_20030407.1600.05-E23-59
EM81	CNN_IP_20030407.1600.05-E20-60
EM82	CNN_IP_20030407.1600.05-E20-61
EM86	CNN_IP_20030407.1600.05-E24-62
EM91	CNN_IP_20030407.1600.05-E24-63
EM84	CNN_IP_20030407.1600.05-E24-64
EM85	CNN_IP_20030407.1600.05-E24-65
EM87	CNN_IP_20030407.1600.05-E24-66
EM88	CNN_IP_20030407.1600.05-E24-67
EM89	CNN_IP_20030407.1600.05-E20-68
EM52	CNN_IP_20030407.1600.05-E17-69
EM66	CNN_IP_20030407.1600.05-E29-70
EM90	CNN_IP_20030407.1600.05-E25-71
EM92	CNN_IP_20030407.1600.05-E26-72
EM94	CNN_IP_20030407.1600.05-E26-73
EM95	CNN_IP_20030407.1600.05-E27-74
EM96	CNN_IP_20030407.1600.05-E28-75
EM126	CNN_IP_20030407.1600.05-E35-76
EM93	CNN_IP_20030407.1600.05-E4-77
EM2	CNN_IP_20030407.1600.05-E30-78
EM97	CNN_IP_20030407.1600.05-E26-79
EM98	CNN_IP_20030407.1600.05-E31-80
EM99	CNN_IP_20030407.1600.05-E26-81
EM100	CNN_IP_20030407.1600.05-E26-82
EM101	CNN_IP_20030407.1600.05-E26-83
EM102	CNN_IP_20030407.1600.05-E26-84
EM103	CNN_IP_20030407.1600.05-E26-85
EM104	CNN_IP_20030407.1600.05-E33-86
EM107	CNN_IP_20030407.1600.05-E33-87
EM106	CNN_IP_20030407.1600.05-E34-88
EM108	CNN_IP_20030407.1600.05-E26-89
EM109	CNN_IP_20030407.1600.05-E26-90
EM111	CNN_IP_20030407.1600.05-E31-91
EM112	CNN_IP_20030407.1600.05-E31-92
EM113	CNN_IP_20030407.1600.05-E31-93
EM114	CNN_IP_20030407.1600.05-E26-94
EM125	CNN_IP_20030407.1600.05-E12-95
EM115	CNN_IP_20030407.1600.05-E36-96
EM110	CNN_IP_20030407.1600.05-E31-97
EM127	CNN_IP_20030407.1600.05-E12-98
EM116	CNN_IP_20030407.1600.05-E36-99
EM117	CNN_IP_20030407.1600.05-E4-100
EM118	CNN_IP_20030407.1600.05-E36-101
EM119	CNN_IP_20030407.1600.05-E4-102
EM121	CNN_IP_20030407.1600.05-E37-103
EM123	CNN_IP_20030407.1600.05-E46-104
EM128	CNN_IP_20030407.1600.05-E12-105
EM130	CNN_IP_20030407.1600.05-E38-106
EM120	CNN_IP_20030407.1600.05-E48-107
EM83	CNN_IP_20030407.1600.05-E39-108
EM26	CNN_IP_20030407.1600.05-E39-109
EM124	CNN_IP_20030407.1600.05-E40-110
EM122	CNN_IP_20030407.1600.05-E52-111
EM131	CNN_IP_20030407.1600.05-E20-112
EM129	CNN_IP_20030407.1600.05-E40-113
EM3	CNN_IP_20030407.1600.05-E42-114
EM71	CNN_IP_20030407.1600.05-E4-115
EM73	CNN_IP_20030407.1600.05-E20-116
EM132	CNN_IP_20030407.1600.05-E41-117
EM133	CNN_IP_20030407.1600.05-E41-118
EM134	CNN_IP_20030407.1600.05-E41-119
EM135	CNN_IP_20030407.1600.05-E26-120
EM136	CNN_IP_20030407.1600.05-E40-121
EM137	CNN_IP_20030407.1600.05-E40-122
EM138	CNN_IP_20030407.1600.05-E12-123
EM139	CNN_IP_20030407.1600.05-E43-124
EM140	CNN_IP_20030407.1600.05-E44-125
EM141	CNN_IP_20030407.1600.05-E5-126
EM8	CNN_IP_20030407.1600.05-E45-127
EM57	CNN_IP_20030407.1600.05-E50-128
EM4	CNN_IP_20030407.1600.05-E46-129
EM5	CNN_IP_20030407.1600.05-E47-130
EM6	CNN_IP_20030407.1600.05-E42-131
EM7	CNN_IP_20030407.1600.05-E48-132
EM9	CNN_IP_20030407.1600.05-E49-133
EM10	CNN_IP_20030407.1600.05-E51-134
EM11	CNN_IP_20030407.1600.05-E52-135
EM12	CNN_IP_20030407.1600.05-E52-136
EM13	CNN_IP_20030407.1600.05-E53-137
EM14	CNN_IP_20030407.1600.05-E54-138
EM78	CNN_IP_20030407.1600.05-E23-139
EM15	CNN_IP_20030407.1600.05-E54-140
EM16	CNN_IP_20030407.1600.05-E1-141
R3	CNN_IP_20030407.1600.05-R1
R5	CNN_IP_20030407.1600.05-R2
R6	CNN_IP_20030407.1600.05-R3
R12	CNN_IP_20030407.1600.05-R4
R13	CNN_IP_20030407.1600.05-R5
R1	CNN_IP_20030407.1600.05-R6
R2	CNN_IP_20030407.1600.05-R7
R4	CNN_IP_20030407.1600.05-R8
R7	CNN_IP_20030407.1600.05-R9
R8	CNN_IP_20030407.1600.05-R10
R9	CNN_IP_20030407.1600.05-R11
R10	CNN_IP_20030407.1600.05-R12
R11	CNN_IP_20030407.1600.05-R13
R14	CNN_IP_20030407.1600.05-R14
R15	CNN_IP_20030407.1600.05-R15
R17	CNN_IP_20030407.1600.05-R16
R16	CNN_IP_20030407.1600.05-R17
R18	CNN_IP_20030407.1600.05-R18
R19	CNN_IP_20030407.1600.05-R19
R20	CNN_IP_20030407.1600.05-R20
R21	CNN_IP_20030407.1600.05-R21
R22	CNN_IP_20030407.1600.05-R22
R23	CNN_IP_20030407.1600.05-R23
R24	CNN_IP_20030407.1600.05-R24
R25	CNN_IP_20030407.1600.05-R25
RM3	CNN_IP_20030407.1600.05-R1-1
RM5	CNN_IP_20030407.1600.05-R2-1
RM6	CNN_IP_20030407.1600.05-R3-1
RM12	CNN_IP_20030407.1600.05-R4-1
RM13	CNN_IP_20030407.1600.05-R5-1
RM1	CNN_IP_20030407.1600.05-R6-1
RM2	CNN_IP_20030407.1600.05-R7-1
RM4	CNN_IP_20030407.1600.05-R8-1
RM7	CNN_IP_20030407.1600.05-R9-1
RM8	CNN_IP_20030407.1600.05-R10-1
RM9	CNN_IP_20030407.1600.05-R11-1
RM10	CNN_IP_20030407.1600.05-R12-1
RM11	CNN_IP_20030407.1600.05-R4-2
RM14	CNN_IP_20030407.1600.05-R14-1
RM15	CNN_IP_20030407.1600.05-R15-1
RM17	CNN_IP_20030407.1600.05-R16-1
RM16	CNN_IP_20030407.1600.05-R17-1
RM18	CNN_IP_20030407.1600.05-R18-1
RM19	CNN_IP_20030407.1600.05-R19-1
RM20	CNN_IP_20030407.1600.05-R20-1
RM21	CNN_IP_20030407.1600.05-R21-1
RM22	CNN_IP_20030407.1600.05-R22-1
RM23	CNN_IP_20030407.1600.05-R23-1
RM24	CNN_IP_20030407.1600.05-R8-2
RM25	CNN_IP_20030407.1600.05-R25-1
V1	CNN_IP_20030407.1600.05-EV1
V2	CNN_IP_20030407.1600.05-EV2
V4	CNN_IP_20030407.1600.05-EV3
V7	CNN_IP_20030407.1600.05-EV4
V13	CNN_IP_20030407.1600.05-EV5
V15	CNN_IP_20030407.1600.05-EV6
V18	CNN_IP_20030407.1600.05-EV7
V3	CNN_IP_20030407.1600.05-EV8
V5	CNN_IP_20030407.1600.05-EV9
V6	CNN_IP_20030407.1600.05-EV10
V8	CNN_IP_20030407.1600.05-EV11
V9	CNN_IP_20030407.1600.05-EV12
V10	CNN_IP_20030407.1600.05-EV13
V11	CNN_IP_20030407.1600.05-EV14
V12	CNN_IP_20030407.1600.05-EV15
V16	CNN_IP_20030407.1600.05-EV16
V17	CNN_IP_20030407.1600.05-EV17
V14	CNN_IP_20030407.1600.05-EV18
V19	CNN_IP_20030407.1600.05-EV19
VM1	CNN_IP_20030407.1600.05-EV1-1
VM2	CNN_IP_20030407.1600.05-EV2-1
VM4	CNN_IP_20030407.1600.05-EV3-1
VM7	CNN_IP_20030407.1600.05-EV4-1
VM14	CNN_IP_20030407.1600.05-EV5-1
VM16	CNN_IP_20030407.1600.05-EV6-1
VM19	CNN_IP_20030407.1600.05-EV7-1
VM3	CNN_IP_20030407.1600.05-EV8-1
VM11	CNN_IP_20030407.1600.05-EV2-2
VM5	CNN_IP_20030407.1600.05-EV9-1
VM6	CNN_IP_20030407.1600.05-EV10-1
VM8	CNN_IP_20030407.1600.05-EV11-1
VM9	CNN_IP_20030407.1600.05-EV12-1
VM10	CNN_IP_20030407.1600.05-EV13-1
VM12	CNN_IP_20030407.1600.05-EV14-1
VM13	CNN_IP_20030407.1600.05-EV15-1
VM17	CNN_IP_20030407.1600.05-EV16-1
VM18	CNN_IP_20030407.1600.05-EV17-1
VM15	CNN_IP_20030407.1600.05-EV18-1
VM20	CNN_IP_20030407.1600.05-EV19-1
