CE14	CNN_IP_20030403.1600.00-1-CE1
CE15	CNN_IP_20030403.1600.00-1-CE2
CE16	CNN_IP_20030403.1600.00-1-CE3
CE17	CNN_IP_20030403.1600.00-1-CE4
CE18	CNN_IP_20030403.1600.00-1-CE5
CE19	CNN_IP_20030403.1600.00-1-CE6
CE20	CNN_IP_20030403.1600.00-1-CE7
CE21	CNN_IP_20030403.1600.00-1-CE8
CE22	CNN_IP_20030403.1600.00-1-CE9
CE23	CNN_IP_20030403.1600.00-1-CE10
CE24	CNN_IP_20030403.1600.00-1-CE11
CE25	CNN_IP_20030403.1600.00-1-CE12
CE26	CNN_IP_20030403.1600.00-1-CE13
CE27	CNN_IP_20030403.1600.00-1-CE14
CE28	CNN_IP_20030403.1600.00-1-CE15
CE29	CNN_IP_20030403.1600.00-1-CE16
CE30	CNN_IP_20030403.1600.00-1-CE17
CE31	CNN_IP_20030403.1600.00-1-CE18
CE32	CNN_IP_20030403.1600.00-1-CE19
CE33	CNN_IP_20030403.1600.00-1-CE20
CE34	CNN_IP_20030403.1600.00-1-CE21
CE35	CNN_IP_20030403.1600.00-1-CE22
CE36	CNN_IP_20030403.1600.00-1-CE23
CE37	CNN_IP_20030403.1600.00-1-CE24
CE38	CNN_IP_20030403.1600.00-1-CE25
CE39	CNN_IP_20030403.1600.00-1-CE26
CE1	CNN_IP_20030403.1600.00-1-CE27
CE42	CNN_IP_20030403.1600.00-1-CE28
CE43	CNN_IP_20030403.1600.00-1-CE29
CE44	CNN_IP_20030403.1600.00-1-CE30
CE45	CNN_IP_20030403.1600.00-1-CE31
CE46	CNN_IP_20030403.1600.00-1-CE32
CE47	CNN_IP_20030403.1600.00-1-CE33
CE48	CNN_IP_20030403.1600.00-1-CE34
CE50	CNN_IP_20030403.1600.00-1-CE35
CE52	CNN_IP_20030403.1600.00-1-CE36
CE53	CNN_IP_20030403.1600.00-1-CE37
CE54	CNN_IP_20030403.1600.00-1-CE38
CE55	CNN_IP_20030403.1600.00-1-CE39
CE56	CNN_IP_20030403.1600.00-1-CE40
CE57	CNN_IP_20030403.1600.00-1-CE41
CE58	CNN_IP_20030403.1600.00-1-CE42
CE59	CNN_IP_20030403.1600.00-1-CE43
CE60	CNN_IP_20030403.1600.00-1-CE44
CE61	CNN_IP_20030403.1600.00-1-CE45
CE62	CNN_IP_20030403.1600.00-1-CE46
CE63	CNN_IP_20030403.1600.00-1-CE47
CE64	CNN_IP_20030403.1600.00-1-CE48
CE65	CNN_IP_20030403.1600.00-1-CE49
CE66	CNN_IP_20030403.1600.00-1-CE50
CE67	CNN_IP_20030403.1600.00-1-CE51
CE68	CNN_IP_20030403.1600.00-1-CE52
CE69	CNN_IP_20030403.1600.00-1-CE53
CE70	CNN_IP_20030403.1600.00-1-CE54
CE71	CNN_IP_20030403.1600.00-1-CE55
CE72	CNN_IP_20030403.1600.00-1-CE56
CE73	CNN_IP_20030403.1600.00-1-CE57
CE74	CNN_IP_20030403.1600.00-1-CE58
CE75	CNN_IP_20030403.1600.00-1-CE59
CE2	CNN_IP_20030403.1600.00-1-CE60
CE76	CNN_IP_20030403.1600.00-1-CE61
CE77	CNN_IP_20030403.1600.00-1-CE62
CE3	CNN_IP_20030403.1600.00-1-CE63
CE4	CNN_IP_20030403.1600.00-1-CE64
CE6	CNN_IP_20030403.1600.00-1-CE65
CE7	CNN_IP_20030403.1600.00-1-CE66
CE8	CNN_IP_20030403.1600.00-1-CE67
CE9	CNN_IP_20030403.1600.00-1-CE68
CE10	CNN_IP_20030403.1600.00-1-CE69
CE11	CNN_IP_20030403.1600.00-1-CE70
CE12	CNN_IP_20030403.1600.00-1-CE71
CE13	CNN_IP_20030403.1600.00-1-CE72
E17	CNN_IP_20030403.1600.00-1-E1
E18	CNN_IP_20030403.1600.00-1-E2
E104	CNN_IP_20030403.1600.00-1-E3
E20	CNN_IP_20030403.1600.00-1-E4
E21	CNN_IP_20030403.1600.00-1-E5
E22	CNN_IP_20030403.1600.00-1-E6
E23	CNN_IP_20030403.1600.00-1-E7
E24	CNN_IP_20030403.1600.00-1-E8
E25	CNN_IP_20030403.1600.00-1-E9
E26	CNN_IP_20030403.1600.00-1-E10
E27	CNN_IP_20030403.1600.00-1-E11
E28	CNN_IP_20030403.1600.00-1-E12
E29	CNN_IP_20030403.1600.00-1-E13
E30	CNN_IP_20030403.1600.00-1-E14
E31	CNN_IP_20030403.1600.00-1-E15
E105	CNN_IP_20030403.1600.00-1-E16
E32	CNN_IP_20030403.1600.00-1-E17
E33	CNN_IP_20030403.1600.00-1-E18
E34	CNN_IP_20030403.1600.00-1-E19
