CE13	CNN_LE_20030504.1200.02-1-CE1
CE14	CNN_LE_20030504.1200.02-1-CE2
CE15	CNN_LE_20030504.1200.02-1-CE3
CE16	CNN_LE_20030504.1200.02-1-CE4
CE17	CNN_LE_20030504.1200.02-1-CE5
CE18	CNN_LE_20030504.1200.02-1-CE6
CE19	CNN_LE_20030504.1200.02-1-CE7
CE20	CNN_LE_20030504.1200.02-1-CE8
CE21	CNN_LE_20030504.1200.02-1-CE9
CE22	CNN_LE_20030504.1200.02-1-CE10
CE23	CNN_LE_20030504.1200.02-1-CE11
CE24	CNN_LE_20030504.1200.02-1-CE12
CE25	CNN_LE_20030504.1200.02-1-CE13
CE26	CNN_LE_20030504.1200.02-1-CE14
CE27	CNN_LE_20030504.1200.02-1-CE15
CE28	CNN_LE_20030504.1200.02-1-CE16
CE29	CNN_LE_20030504.1200.02-1-CE17
CE30	CNN_LE_20030504.1200.02-1-CE18
CE31	CNN_LE_20030504.1200.02-1-CE19
CE32	CNN_LE_20030504.1200.02-1-CE20
CE33	CNN_LE_20030504.1200.02-1-CE21
CE1	CNN_LE_20030504.1200.02-1-CE22
CE34	CNN_LE_20030504.1200.02-1-CE23
CE35	CNN_LE_20030504.1200.02-1-CE24
CE36	CNN_LE_20030504.1200.02-1-CE25
CE37	CNN_LE_20030504.1200.02-1-CE26
CE38	CNN_LE_20030504.1200.02-1-CE27
CE39	CNN_LE_20030504.1200.02-1-CE28
CE40	CNN_LE_20030504.1200.02-1-CE29
CE41	CNN_LE_20030504.1200.02-1-CE30
CE42	CNN_LE_20030504.1200.02-1-CE31
CE43	CNN_LE_20030504.1200.02-1-CE32
CE44	CNN_LE_20030504.1200.02-1-CE33
CE45	CNN_LE_20030504.1200.02-1-CE34
CE46	CNN_LE_20030504.1200.02-1-CE35
CE47	CNN_LE_20030504.1200.02-1-CE36
CE2	CNN_LE_20030504.1200.02-1-CE37
CE3	CNN_LE_20030504.1200.02-1-CE38
CE4	CNN_LE_20030504.1200.02-1-CE39
CE5	CNN_LE_20030504.1200.02-1-CE40
CE6	CNN_LE_20030504.1200.02-1-CE41
CE7	CNN_LE_20030504.1200.02-1-CE42
CE8	CNN_LE_20030504.1200.02-1-CE43
CE9	CNN_LE_20030504.1200.02-1-CE44
CE10	CNN_LE_20030504.1200.02-1-CE45
CE11	CNN_LE_20030504.1200.02-1-CE46
E17	CNN_LE_20030504.1200.02-1-E1
E18	CNN_LE_20030504.1200.02-1-E2
E20	CNN_LE_20030504.1200.02-1-E3
E21	CNN_LE_20030504.1200.02-1-E4
E22	CNN_LE_20030504.1200.02-1-E5
E23	CNN_LE_20030504.1200.02-1-E6
E24	CNN_LE_20030504.1200.02-1-E7
E26	CNN_LE_20030504.1200.02-1-E8
E27	CNN_LE_20030504.1200.02-1-E9
E28	CNN_LE_20030504.1200.02-1-E10
E29	CNN_LE_20030504.1200.02-1-E11
E30	CNN_LE_20030504.1200.02-1-E12
E31	CNN_LE_20030504.1200.02-1-E13
E32	CNN_LE_20030504.1200.02-1-E14
E33	CNN_LE_20030504.1200.02-1-E15
E34	CNN_LE_20030504.1200.02-1-E16
E35	CNN_LE_20030504.1200.02-1-E17
E36	CNN_LE_20030504.1200.02-1-E18
E37	CNN_LE_20030504.1200.02-1-E19
E1	CNN_LE_20030504.1200.02-1-E20
E38	CNN_LE_20030504.1200.02-1-E21
E40	CNN_LE_20030504.1200.02-1-E22
E42	CNN_LE_20030504.1200.02-1-E23
E44	CNN_LE_20030504.1200.02-1-E24
E45	CNN_LE_20030504.1200.02-1-E25
E46	CNN_LE_20030504.1200.02-1-E26
E47	CNN_LE_20030504.1200.02-1-E27
E49	CNN_LE_20030504.1200.02-1-E28
E50	CNN_LE_20030504.1200.02-1-E29
E51	CNN_LE_20030504.1200.02-1-E30
E52	CNN_LE_20030504.1200.02-1-E31
E53	CNN_LE_20030504.1200.02-1-E32
E54	CNN_LE_20030504.1200.02-1-E33
E55	CNN_LE_20030504.1200.02-1-E34
E56	CNN_LE_20030504.1200.02-1-E35
E58	CNN_LE_20030504.1200.02-1-E36
E60	CNN_LE_20030504.1200.02-1-E37
E61	CNN_LE_20030504.1200.02-1-E38
E62	CNN_LE_20030504.1200.02-1-E39
E63	CNN_LE_20030504.1200.02-1-E40
E64	CNN_LE_20030504.1200.02-1-E41
E65	CNN_LE_20030504.1200.02-1-E42
E66	CNN_LE_20030504.1200.02-1-E43
E67	CNN_LE_20030504.1200.02-1-E44
E68	CNN_LE_20030504.1200.02-1-E45
E69	CNN_LE_20030504.1200.02-1-E46
E70	CNN_LE_20030504.1200.02-1-E47
E71	CNN_LE_20030504.1200.02-1-E48
E72	CNN_LE_20030504.1200.02-1-E49
E73	CNN_LE_20030504.1200.02-1-E50
E2	CNN_LE_20030504.1200.02-1-E51
E74	CNN_LE_20030504.1200.02-1-E52
E75	CNN_LE_20030504.1200.02-1-E53
E3	CNN_LE_20030504.1200.02-1-E54
E5	CNN_LE_20030504.1200.02-1-E55
E6	CNN_LE_20030504.1200.02-1-E56
E7	CNN_LE_20030504.1200.02-1-E57
E8	CNN_LE_20030504.1200.02-1-E58
E9	CNN_LE_20030504.1200.02-1-E59
E11	CNN_LE_20030504.1200.02-1-E60
E12	CNN_LE_20030504.1200.02-1-E61
E13	CNN_LE_20030504.1200.02-1-E62
E14	CNN_LE_20030504.1200.02-1-E63
E15	CNN_LE_20030504.1200.02-1-E64
EM1	CNN_LE_20030504.1200.02-1-E20-1
EM18	CNN_LE_20030504.1200.02-1-E2-2
EM19	CNN_LE_20030504.1200.02-1-E3-3
EM20	CNN_LE_20030504.1200.02-1-E59-4
