CE11	CNN_LE_20030504.1200.02-2-CE1
CE12	CNN_LE_20030504.1200.02-2-CE2
CE13	CNN_LE_20030504.1200.02-2-CE3
CE14	CNN_LE_20030504.1200.02-2-CE4
CE15	CNN_LE_20030504.1200.02-2-CE5
CE16	CNN_LE_20030504.1200.02-2-CE6
CE17	CNN_LE_20030504.1200.02-2-CE7
CE18	CNN_LE_20030504.1200.02-2-CE8
CE19	CNN_LE_20030504.1200.02-2-CE9
CE20	CNN_LE_20030504.1200.02-2-CE10
CE21	CNN_LE_20030504.1200.02-2-CE11
CE22	CNN_LE_20030504.1200.02-2-CE12
CE23	CNN_LE_20030504.1200.02-2-CE13
CE24	CNN_LE_20030504.1200.02-2-CE14
CE25	CNN_LE_20030504.1200.02-2-CE15
CE26	CNN_LE_20030504.1200.02-2-CE16
CE27	CNN_LE_20030504.1200.02-2-CE17
CE28	CNN_LE_20030504.1200.02-2-CE18
CE29	CNN_LE_20030504.1200.02-2-CE19
CE30	CNN_LE_20030504.1200.02-2-CE20
CE31	CNN_LE_20030504.1200.02-2-CE21
CE32	CNN_LE_20030504.1200.02-2-CE22
CE33	CNN_LE_20030504.1200.02-2-CE23
CE34	CNN_LE_20030504.1200.02-2-CE24
CE35	CNN_LE_20030504.1200.02-2-CE25
CE36	CNN_LE_20030504.1200.02-2-CE26
CE37	CNN_LE_20030504.1200.02-2-CE27
CE38	CNN_LE_20030504.1200.02-2-CE28
CE39	CNN_LE_20030504.1200.02-2-CE29
CE40	CNN_LE_20030504.1200.02-2-CE30
CE41	CNN_LE_20030504.1200.02-2-CE31
CE42	CNN_LE_20030504.1200.02-2-CE32
CE2	CNN_LE_20030504.1200.02-2-CE33
CE3	CNN_LE_20030504.1200.02-2-CE34
CE4	CNN_LE_20030504.1200.02-2-CE35
CE5	CNN_LE_20030504.1200.02-2-CE36
CE6	CNN_LE_20030504.1200.02-2-CE37
CE7	CNN_LE_20030504.1200.02-2-CE38
