CE15	CNN_IP_20030329.1600.00-1-CE1
CE16	CNN_IP_20030329.1600.00-1-CE2
CE17	CNN_IP_20030329.1600.00-1-CE3
CE18	CNN_IP_20030329.1600.00-1-CE4
CE19	CNN_IP_20030329.1600.00-1-CE5
CE20	CNN_IP_20030329.1600.00-1-CE6
CE21	CNN_IP_20030329.1600.00-1-CE7
CE22	CNN_IP_20030329.1600.00-1-CE8
CE23	CNN_IP_20030329.1600.00-1-CE9
CE24	CNN_IP_20030329.1600.00-1-CE10
CE25	CNN_IP_20030329.1600.00-1-CE11
CE26	CNN_IP_20030329.1600.00-1-CE12
CE27	CNN_IP_20030329.1600.00-1-CE13
CE28	CNN_IP_20030329.1600.00-1-CE14
CE29	CNN_IP_20030329.1600.00-1-CE15
CE30	CNN_IP_20030329.1600.00-1-CE16
CE31	CNN_IP_20030329.1600.00-1-CE17
CE33	CNN_IP_20030329.1600.00-1-CE18
CE34	CNN_IP_20030329.1600.00-1-CE19
CE35	CNN_IP_20030329.1600.00-1-CE20
CE37	CNN_IP_20030329.1600.00-1-CE21
CE38	CNN_IP_20030329.1600.00-1-CE22
CE39	CNN_IP_20030329.1600.00-1-CE23
CE40	CNN_IP_20030329.1600.00-1-CE24
CE41	CNN_IP_20030329.1600.00-1-CE25
CE42	CNN_IP_20030329.1600.00-1-CE26
CE43	CNN_IP_20030329.1600.00-1-CE27
CE45	CNN_IP_20030329.1600.00-1-CE28
CE46	CNN_IP_20030329.1600.00-1-CE29
CE1	CNN_IP_20030329.1600.00-1-CE30
CE47	CNN_IP_20030329.1600.00-1-CE31
CE49	CNN_IP_20030329.1600.00-1-CE32
CE50	CNN_IP_20030329.1600.00-1-CE33
CE51	CNN_IP_20030329.1600.00-1-CE34
CE52	CNN_IP_20030329.1600.00-1-CE35
CE53	CNN_IP_20030329.1600.00-1-CE36
CE54	CNN_IP_20030329.1600.00-1-CE37
CE55	CNN_IP_20030329.1600.00-1-CE38
CE56	CNN_IP_20030329.1600.00-1-CE39
CE57	CNN_IP_20030329.1600.00-1-CE40
CE58	CNN_IP_20030329.1600.00-1-CE41
CE59	CNN_IP_20030329.1600.00-1-CE42
CE60	CNN_IP_20030329.1600.00-1-CE43
CE61	CNN_IP_20030329.1600.00-1-CE44
CE62	CNN_IP_20030329.1600.00-1-CE45
CE63	CNN_IP_20030329.1600.00-1-CE46
CE64	CNN_IP_20030329.1600.00-1-CE47
CE65	CNN_IP_20030329.1600.00-1-CE48
CE66	CNN_IP_20030329.1600.00-1-CE49
CE67	CNN_IP_20030329.1600.00-1-CE50
CE68	CNN_IP_20030329.1600.00-1-CE51
CE70	CNN_IP_20030329.1600.00-1-CE52
CE71	CNN_IP_20030329.1600.00-1-CE53
CE72	CNN_IP_20030329.1600.00-1-CE54
CE73	CNN_IP_20030329.1600.00-1-CE55
CE75	CNN_IP_20030329.1600.00-1-CE56
CE77	CNN_IP_20030329.1600.00-1-CE57
CE78	CNN_IP_20030329.1600.00-1-CE58
CE79	CNN_IP_20030329.1600.00-1-CE59
CE80	CNN_IP_20030329.1600.00-1-CE60
CE81	CNN_IP_20030329.1600.00-1-CE61
CE83	CNN_IP_20030329.1600.00-1-CE62
CE84	CNN_IP_20030329.1600.00-1-CE63
CE85	CNN_IP_20030329.1600.00-1-CE64
CE86	CNN_IP_20030329.1600.00-1-CE65
CE88	CNN_IP_20030329.1600.00-1-CE66
CE3	CNN_IP_20030329.1600.00-1-CE67
CE4	CNN_IP_20030329.1600.00-1-CE68
CE5	CNN_IP_20030329.1600.00-1-CE69
CE6	CNN_IP_20030329.1600.00-1-CE70
CE8	CNN_IP_20030329.1600.00-1-CE71
CE10	CNN_IP_20030329.1600.00-1-CE72
CE11	CNN_IP_20030329.1600.00-1-CE73
CE12	CNN_IP_20030329.1600.00-1-CE74
CE14	CNN_IP_20030329.1600.00-1-CE75
E18	CNN_IP_20030329.1600.00-1-E1
E19	CNN_IP_20030329.1600.00-1-E2
E20	CNN_IP_20030329.1600.00-1-E3
E21	CNN_IP_20030329.1600.00-1-E4
E22	CNN_IP_20030329.1600.00-1-E5
