CE12	CNN_IP_20030405.1600.02-CE1
CE13	CNN_IP_20030405.1600.02-CE2
CE14	CNN_IP_20030405.1600.02-CE3
CE15	CNN_IP_20030405.1600.02-CE4
CE16	CNN_IP_20030405.1600.02-CE5
CE17	CNN_IP_20030405.1600.02-CE6
CE18	CNN_IP_20030405.1600.02-CE7
CE22	CNN_IP_20030405.1600.02-CE8
CE23	CNN_IP_20030405.1600.02-CE9
CE24	CNN_IP_20030405.1600.02-CE10
CE25	CNN_IP_20030405.1600.02-CE11
CE26	CNN_IP_20030405.1600.02-CE12
CE27	CNN_IP_20030405.1600.02-CE13
CE29	CNN_IP_20030405.1600.02-CE14
CE30	CNN_IP_20030405.1600.02-CE15
CE31	CNN_IP_20030405.1600.02-CE16
CE32	CNN_IP_20030405.1600.02-CE17
CE33	CNN_IP_20030405.1600.02-CE18
CE34	CNN_IP_20030405.1600.02-CE19
CE35	CNN_IP_20030405.1600.02-CE20
CE36	CNN_IP_20030405.1600.02-CE21
CE37	CNN_IP_20030405.1600.02-CE22
CE38	CNN_IP_20030405.1600.02-CE23
CE39	CNN_IP_20030405.1600.02-CE24
CE41	CNN_IP_20030405.1600.02-CE25
CE43	CNN_IP_20030405.1600.02-CE26
CE1	CNN_IP_20030405.1600.02-CE27
CE45	CNN_IP_20030405.1600.02-CE28
CE46	CNN_IP_20030405.1600.02-CE29
CE47	CNN_IP_20030405.1600.02-CE30
CE48	CNN_IP_20030405.1600.02-CE31
CE49	CNN_IP_20030405.1600.02-CE32
CE50	CNN_IP_20030405.1600.02-CE33
CE51	CNN_IP_20030405.1600.02-CE34
CE53	CNN_IP_20030405.1600.02-CE35
CE54	CNN_IP_20030405.1600.02-CE36
CE55	CNN_IP_20030405.1600.02-CE37
CE56	CNN_IP_20030405.1600.02-CE38
CE57	CNN_IP_20030405.1600.02-CE39
CE58	CNN_IP_20030405.1600.02-CE40
CE59	CNN_IP_20030405.1600.02-CE41
CE61	CNN_IP_20030405.1600.02-CE42
CE62	CNN_IP_20030405.1600.02-CE43
CE63	CNN_IP_20030405.1600.02-CE44
CE64	CNN_IP_20030405.1600.02-CE45
CE65	CNN_IP_20030405.1600.02-CE46
CE66	CNN_IP_20030405.1600.02-CE47
CE69	CNN_IP_20030405.1600.02-CE48
CE70	CNN_IP_20030405.1600.02-CE49
CE71	CNN_IP_20030405.1600.02-CE50
CE72	CNN_IP_20030405.1600.02-CE51
CE73	CNN_IP_20030405.1600.02-CE52
CE74	CNN_IP_20030405.1600.02-CE53
CE75	CNN_IP_20030405.1600.02-CE54
CE76	CNN_IP_20030405.1600.02-CE55
CE2	CNN_IP_20030405.1600.02-CE56
CE77	CNN_IP_20030405.1600.02-CE57
CE78	CNN_IP_20030405.1600.02-CE58
CE79	CNN_IP_20030405.1600.02-CE59
CE80	CNN_IP_20030405.1600.02-CE60
CE81	CNN_IP_20030405.1600.02-CE61
CE82	CNN_IP_20030405.1600.02-CE62
CE83	CNN_IP_20030405.1600.02-CE63
CE84	CNN_IP_20030405.1600.02-CE64
CE86	CNN_IP_20030405.1600.02-CE65
CE88	CNN_IP_20030405.1600.02-CE66
CE89	CNN_IP_20030405.1600.02-CE67
CE90	CNN_IP_20030405.1600.02-CE68
CE91	CNN_IP_20030405.1600.02-CE69
CE92	CNN_IP_20030405.1600.02-CE70
CE93	CNN_IP_20030405.1600.02-CE71
CE94	CNN_IP_20030405.1600.02-CE72
CE95	CNN_IP_20030405.1600.02-CE73
CE96	CNN_IP_20030405.1600.02-CE74
CE97	CNN_IP_20030405.1600.02-CE75
CE3	CNN_IP_20030405.1600.02-CE76
CE98	CNN_IP_20030405.1600.02-CE77
CE99	CNN_IP_20030405.1600.02-CE78
CE100	CNN_IP_20030405.1600.02-CE79
CE4	CNN_IP_20030405.1600.02-CE80
CE5	CNN_IP_20030405.1600.02-CE81
CE6	CNN_IP_20030405.1600.02-CE82
CE7	CNN_IP_20030405.1600.02-CE83
CE8	CNN_IP_20030405.1600.02-CE84
CE11	CNN_IP_20030405.1600.02-CE85
E18	CNN_IP_20030405.1600.02-E1
E20	CNN_IP_20030405.1600.02-E2
E21	CNN_IP_20030405.1600.02-E3
E22	CNN_IP_20030405.1600.02-E4
E23	CNN_IP_20030405.1600.02-E5
E24	CNN_IP_20030405.1600.02-E6
E25	CNN_IP_20030405.1600.02-E7
E26	CNN_IP_20030405.1600.02-E8
E30	CNN_IP_20030405.1600.02-E9
E31	CNN_IP_20030405.1600.02-E10
E32	CNN_IP_20030405.1600.02-E11
E33	CNN_IP_20030405.1600.02-E12
E34	CNN_IP_20030405.1600.02-E13
E36	CNN_IP_20030405.1600.02-E14
E38	CNN_IP_20030405.1600.02-E15
E39	CNN_IP_20030405.1600.02-E16
E40	CNN_IP_20030405.1600.02-E17
E41	CNN_IP_20030405.1600.02-E18
E42	CNN_IP_20030405.1600.02-E19
E43	CNN_IP_20030405.1600.02-E20
E1	CNN_IP_20030405.1600.02-E21
E45	CNN_IP_20030405.1600.02-E22
E46	CNN_IP_20030405.1600.02-E23
E47	CNN_IP_20030405.1600.02-E24
E48	CNN_IP_20030405.1600.02-E25
E49	CNN_IP_20030405.1600.02-E26
E50	CNN_IP_20030405.1600.02-E27
E52	CNN_IP_20030405.1600.02-E28
E54	CNN_IP_20030405.1600.02-E29
E56	CNN_IP_20030405.1600.02-E30
E57	CNN_IP_20030405.1600.02-E31
E58	CNN_IP_20030405.1600.02-E32
E60	CNN_IP_20030405.1600.02-E33
E62	CNN_IP_20030405.1600.02-E34
E63	CNN_IP_20030405.1600.02-E35
E64	CNN_IP_20030405.1600.02-E36
E66	CNN_IP_20030405.1600.02-E37
E67	CNN_IP_20030405.1600.02-E38
E68	CNN_IP_20030405.1600.02-E39
E69	CNN_IP_20030405.1600.02-E40
E70	CNN_IP_20030405.1600.02-E41
E71	CNN_IP_20030405.1600.02-E42
E72	CNN_IP_20030405.1600.02-E43
E73	CNN_IP_20030405.1600.02-E44
E74	CNN_IP_20030405.1600.02-E45
