CE13	CNN_IP_20030408.1600.01-CE1
CE14	CNN_IP_20030408.1600.01-CE2
CE15	CNN_IP_20030408.1600.01-CE3
CE16	CNN_IP_20030408.1600.01-CE4
CE17	CNN_IP_20030408.1600.01-CE5
CE18	CNN_IP_20030408.1600.01-CE6
CE19	CNN_IP_20030408.1600.01-CE7
CE20	CNN_IP_20030408.1600.01-CE8
CE21	CNN_IP_20030408.1600.01-CE9
CE22	CNN_IP_20030408.1600.01-CE10
CE23	CNN_IP_20030408.1600.01-CE11
CE24	CNN_IP_20030408.1600.01-CE12
CE25	CNN_IP_20030408.1600.01-CE13
CE26	CNN_IP_20030408.1600.01-CE14
CE27	CNN_IP_20030408.1600.01-CE15
CE28	CNN_IP_20030408.1600.01-CE16
CE29	CNN_IP_20030408.1600.01-CE17
CE30	CNN_IP_20030408.1600.01-CE18
CE31	CNN_IP_20030408.1600.01-CE19
CE32	CNN_IP_20030408.1600.01-CE20
CE33	CNN_IP_20030408.1600.01-CE21
CE34	CNN_IP_20030408.1600.01-CE22
CE35	CNN_IP_20030408.1600.01-CE23
CE36	CNN_IP_20030408.1600.01-CE24
CE37	CNN_IP_20030408.1600.01-CE25
CE38	CNN_IP_20030408.1600.01-CE26
CE39	CNN_IP_20030408.1600.01-CE27
CE40	CNN_IP_20030408.1600.01-CE28
CE41	CNN_IP_20030408.1600.01-CE29
CE42	CNN_IP_20030408.1600.01-CE30
CE43	CNN_IP_20030408.1600.01-CE31
CE44	CNN_IP_20030408.1600.01-CE32
CE1	CNN_IP_20030408.1600.01-CE33
CE45	CNN_IP_20030408.1600.01-CE34
CE46	CNN_IP_20030408.1600.01-CE35
CE47	CNN_IP_20030408.1600.01-CE36
CE48	CNN_IP_20030408.1600.01-CE37
CE49	CNN_IP_20030408.1600.01-CE38
CE50	CNN_IP_20030408.1600.01-CE39
CE51	CNN_IP_20030408.1600.01-CE40
CE52	CNN_IP_20030408.1600.01-CE41
CE53	CNN_IP_20030408.1600.01-CE42
CE54	CNN_IP_20030408.1600.01-CE43
CE55	CNN_IP_20030408.1600.01-CE44
CE56	CNN_IP_20030408.1600.01-CE45
CE57	CNN_IP_20030408.1600.01-CE46
CE58	CNN_IP_20030408.1600.01-CE47
CE59	CNN_IP_20030408.1600.01-CE48
CE60	CNN_IP_20030408.1600.01-CE49
CE61	CNN_IP_20030408.1600.01-CE50
CE62	CNN_IP_20030408.1600.01-CE51
CE63	CNN_IP_20030408.1600.01-CE52
CE64	CNN_IP_20030408.1600.01-CE53
CE65	CNN_IP_20030408.1600.01-CE54
CE66	CNN_IP_20030408.1600.01-CE55
CE67	CNN_IP_20030408.1600.01-CE56
CE68	CNN_IP_20030408.1600.01-CE57
CE69	CNN_IP_20030408.1600.01-CE58
CE74	CNN_IP_20030408.1600.01-CE59
CE71	CNN_IP_20030408.1600.01-CE60
CE73	CNN_IP_20030408.1600.01-CE61
CE75	CNN_IP_20030408.1600.01-CE62
CE76	CNN_IP_20030408.1600.01-CE63
CE77	CNN_IP_20030408.1600.01-CE64
CE78	CNN_IP_20030408.1600.01-CE65
CE80	CNN_IP_20030408.1600.01-CE66
CE81	CNN_IP_20030408.1600.01-CE67
CE82	CNN_IP_20030408.1600.01-CE68
CE83	CNN_IP_20030408.1600.01-CE69
CE84	CNN_IP_20030408.1600.01-CE70
CE85	CNN_IP_20030408.1600.01-CE71
CE89	CNN_IP_20030408.1600.01-CE72
CE86	CNN_IP_20030408.1600.01-CE73
CE87	CNN_IP_20030408.1600.01-CE74
CE88	CNN_IP_20030408.1600.01-CE75
CE90	CNN_IP_20030408.1600.01-CE76
CE91	CNN_IP_20030408.1600.01-CE77
CE92	CNN_IP_20030408.1600.01-CE78
CE2	CNN_IP_20030408.1600.01-CE79
CE93	CNN_IP_20030408.1600.01-CE80
CE94	CNN_IP_20030408.1600.01-CE81
CE95	CNN_IP_20030408.1600.01-CE82
CE96	CNN_IP_20030408.1600.01-CE83
CE97	CNN_IP_20030408.1600.01-CE84
CE98	CNN_IP_20030408.1600.01-CE85
CE99	CNN_IP_20030408.1600.01-CE86
CE100	CNN_IP_20030408.1600.01-CE87
CE101	CNN_IP_20030408.1600.01-CE88
CE102	CNN_IP_20030408.1600.01-CE89
CE103	CNN_IP_20030408.1600.01-CE90
CE104	CNN_IP_20030408.1600.01-CE91
CE105	CNN_IP_20030408.1600.01-CE92
CE106	CNN_IP_20030408.1600.01-CE93
CE107	CNN_IP_20030408.1600.01-CE94
CE108	CNN_IP_20030408.1600.01-CE95
CE109	CNN_IP_20030408.1600.01-CE96
CE110	CNN_IP_20030408.1600.01-CE97
CE111	CNN_IP_20030408.1600.01-CE98
CE112	CNN_IP_20030408.1600.01-CE99
CE113	CNN_IP_20030408.1600.01-CE100
CE3	CNN_IP_20030408.1600.01-CE101
