CE11	CNN_LE_20030504.1200.02-1-CE1
CE12	CNN_LE_20030504.1200.02-1-CE2
CE13	CNN_LE_20030504.1200.02-1-CE3
CE14	CNN_LE_20030504.1200.02-1-CE4
CE15	CNN_LE_20030504.1200.02-1-CE5
CE16	CNN_LE_20030504.1200.02-1-CE6
CE17	CNN_LE_20030504.1200.02-1-CE7
CE18	CNN_LE_20030504.1200.02-1-CE8
CE19	CNN_LE_20030504.1200.02-1-CE9
CE20	CNN_LE_20030504.1200.02-1-CE10
CE21	CNN_LE_20030504.1200.02-1-CE11
CE22	CNN_LE_20030504.1200.02-1-CE12
CE23	CNN_LE_20030504.1200.02-1-CE13
CE24	CNN_LE_20030504.1200.02-1-CE14
CE25	CNN_LE_20030504.1200.02-1-CE15
CE1	CNN_LE_20030504.1200.02-1-CE16
CE26	CNN_LE_20030504.1200.02-1-CE17
CE27	CNN_LE_20030504.1200.02-1-CE18
CE29	CNN_LE_20030504.1200.02-1-CE19
CE30	CNN_LE_20030504.1200.02-1-CE20
CE31	CNN_LE_20030504.1200.02-1-CE21
CE32	CNN_LE_20030504.1200.02-1-CE22
CE33	CNN_LE_20030504.1200.02-1-CE23
CE34	CNN_LE_20030504.1200.02-1-CE24
CE35	CNN_LE_20030504.1200.02-1-CE25
CE36	CNN_LE_20030504.1200.02-1-CE26
CE37	CNN_LE_20030504.1200.02-1-CE27
CE38	CNN_LE_20030504.1200.02-1-CE28
CE39	CNN_LE_20030504.1200.02-1-CE29
CE40	CNN_LE_20030504.1200.02-1-CE30
CE41	CNN_LE_20030504.1200.02-1-CE31
CE42	CNN_LE_20030504.1200.02-1-CE32
CE43	CNN_LE_20030504.1200.02-1-CE33
CE44	CNN_LE_20030504.1200.02-1-CE34
CE45	CNN_LE_20030504.1200.02-1-CE35
CE46	CNN_LE_20030504.1200.02-1-CE36
CE47	CNN_LE_20030504.1200.02-1-CE37
CE48	CNN_LE_20030504.1200.02-1-CE38
CE2	CNN_LE_20030504.1200.02-1-CE39
