CE12	CNN_CF_20030303.1900.06-1-CE1
CE13	CNN_CF_20030303.1900.06-1-CE2
CE32	CNN_CF_20030303.1900.06-1-CE3
CE14	CNN_CF_20030303.1900.06-1-CE4
CE15	CNN_CF_20030303.1900.06-1-CE5
CE16	CNN_CF_20030303.1900.06-1-CE6
CE17	CNN_CF_20030303.1900.06-1-CE7
CE18	CNN_CF_20030303.1900.06-1-CE8
CE20	CNN_CF_20030303.1900.06-1-CE9
CE21	CNN_CF_20030303.1900.06-1-CE10
CE22	CNN_CF_20030303.1900.06-1-CE11
CE23	CNN_CF_20030303.1900.06-1-CE12
CE24	CNN_CF_20030303.1900.06-1-CE13
CE25	CNN_CF_20030303.1900.06-1-CE14
CE26	CNN_CF_20030303.1900.06-1-CE15
CE27	CNN_CF_20030303.1900.06-1-CE16
CE28	CNN_CF_20030303.1900.06-1-CE17
CE29	CNN_CF_20030303.1900.06-1-CE18
CE30	CNN_CF_20030303.1900.06-1-CE19
CE31	CNN_CF_20030303.1900.06-1-CE20
CE1	CNN_CF_20030303.1900.06-1-CE21
CE2	CNN_CF_20030303.1900.06-1-CE22
CE3	CNN_CF_20030303.1900.06-1-CE23
CE4	CNN_CF_20030303.1900.06-1-CE24
CE5	CNN_CF_20030303.1900.06-1-CE25
CE6	CNN_CF_20030303.1900.06-1-CE26
CE8	CNN_CF_20030303.1900.06-1-CE27
CE9	CNN_CF_20030303.1900.06-1-CE28
CE10	CNN_CF_20030303.1900.06-1-CE29
CE11	CNN_CF_20030303.1900.06-1-CE30
E12	CNN_CF_20030303.1900.06-1-E1
E13	CNN_CF_20030303.1900.06-1-E2
E14	CNN_CF_20030303.1900.06-1-E3
E15	CNN_CF_20030303.1900.06-1-E4
E16	CNN_CF_20030303.1900.06-1-E5
E17	CNN_CF_20030303.1900.06-1-E6
E18	CNN_CF_20030303.1900.06-1-E7
E19	CNN_CF_20030303.1900.06-1-E8
E22	CNN_CF_20030303.1900.06-1-E9
E23	CNN_CF_20030303.1900.06-1-E10
E24	CNN_CF_20030303.1900.06-1-E11
E25	CNN_CF_20030303.1900.06-1-E12
E26	CNN_CF_20030303.1900.06-1-E13
E27	CNN_CF_20030303.1900.06-1-E14
E28	CNN_CF_20030303.1900.06-1-E15
E29	CNN_CF_20030303.1900.06-1-E16
E30	CNN_CF_20030303.1900.06-1-E17
E31	CNN_CF_20030303.1900.06-1-E18
E1	CNN_CF_20030303.1900.06-1-E19
E32	CNN_CF_20030303.1900.06-1-E20
E33	CNN_CF_20030303.1900.06-1-E21
E34	CNN_CF_20030303.1900.06-1-E22
E35	CNN_CF_20030303.1900.06-1-E23
E36	CNN_CF_20030303.1900.06-1-E24
E37	CNN_CF_20030303.1900.06-1-E25
E39	CNN_CF_20030303.1900.06-1-E26
E2	CNN_CF_20030303.1900.06-1-E27
E3	CNN_CF_20030303.1900.06-1-E28
E4	CNN_CF_20030303.1900.06-1-E29
E5	CNN_CF_20030303.1900.06-1-E30
E6	CNN_CF_20030303.1900.06-1-E31
E38	CNN_CF_20030303.1900.06-1-E32
E8	CNN_CF_20030303.1900.06-1-E33
E9	CNN_CF_20030303.1900.06-1-E34
E10	CNN_CF_20030303.1900.06-1-E35
E11	CNN_CF_20030303.1900.06-1-E36
EM1	CNN_CF_20030303.1900.06-1-E19-1
EM20	CNN_CF_20030303.1900.06-1-E1-2
EM21	CNN_CF_20030303.1900.06-1-E33-3
EM22	CNN_CF_20030303.1900.06-1-E2-4
EM23	CNN_CF_20030303.1900.06-1-E3-5
EM25	CNN_CF_20030303.1900.06-1-E1-6
EM26	CNN_CF_20030303.1900.06-1-E4-7
EM27	CNN_CF_20030303.1900.06-1-E5-8
EM28	CNN_CF_20030303.1900.06-1-E3-9
EM29	CNN_CF_20030303.1900.06-1-E1-10
EM30	CNN_CF_20030303.1900.06-1-E6-11
EM31	CNN_CF_20030303.1900.06-1-E7-12
EM32	CNN_CF_20030303.1900.06-1-E8-13
EM33	CNN_CF_20030303.1900.06-1-E5-14
EM34	CNN_CF_20030303.1900.06-1-E5-15
EM35	CNN_CF_20030303.1900.06-1-E33-16
EM37	CNN_CF_20030303.1900.06-1-E9-17
EM38	CNN_CF_20030303.1900.06-1-E1-18
EM39	CNN_CF_20030303.1900.06-1-E33-19
EM40	CNN_CF_20030303.1900.06-1-E33-20
EM41	CNN_CF_20030303.1900.06-1-E36-21
EM42	CNN_CF_20030303.1900.06-1-E36-22
EM43	CNN_CF_20030303.1900.06-1-E36-23
EM44	CNN_CF_20030303.1900.06-1-E33-24
EM45	CNN_CF_20030303.1900.06-1-E10-25
EM46	CNN_CF_20030303.1900.06-1-E11-26
EM47	CNN_CF_20030303.1900.06-1-E36-27
EM48	CNN_CF_20030303.1900.06-1-E12-28
EM49	CNN_CF_20030303.1900.06-1-E31-29
EM50	CNN_CF_20030303.1900.06-1-E13-30
EM51	CNN_CF_20030303.1900.06-1-E31-31
EM52	CNN_CF_20030303.1900.06-1-E31-32
EM53	CNN_CF_20030303.1900.06-1-E14-33
EM54	CNN_CF_20030303.1900.06-1-E15-34
EM55	CNN_CF_20030303.1900.06-1-E16-35
EM56	CNN_CF_20030303.1900.06-1-E17-36
EM57	CNN_CF_20030303.1900.06-1-E14-37
EM58	CNN_CF_20030303.1900.06-1-E17-38
