CE12	CNN_CF_20030305.1900.06-1-CE1
CE13	CNN_CF_20030305.1900.06-1-CE2
CE14	CNN_CF_20030305.1900.06-1-CE3
CE15	CNN_CF_20030305.1900.06-1-CE4
CE16	CNN_CF_20030305.1900.06-1-CE5
CE17	CNN_CF_20030305.1900.06-1-CE6
CE18	CNN_CF_20030305.1900.06-1-CE7
CE19	CNN_CF_20030305.1900.06-1-CE8
CE20	CNN_CF_20030305.1900.06-1-CE9
CE21	CNN_CF_20030305.1900.06-1-CE10
CE22	CNN_CF_20030305.1900.06-1-CE11
CE23	CNN_CF_20030305.1900.06-1-CE12
CE24	CNN_CF_20030305.1900.06-1-CE13
CE25	CNN_CF_20030305.1900.06-1-CE14
CE26	CNN_CF_20030305.1900.06-1-CE15
CE27	CNN_CF_20030305.1900.06-1-CE16
CE28	CNN_CF_20030305.1900.06-1-CE17
CE29	CNN_CF_20030305.1900.06-1-CE18
CE30	CNN_CF_20030305.1900.06-1-CE19
CE31	CNN_CF_20030305.1900.06-1-CE20
CE32	CNN_CF_20030305.1900.06-1-CE21
CE33	CNN_CF_20030305.1900.06-1-CE22
CE1	CNN_CF_20030305.1900.06-1-CE23
CE34	CNN_CF_20030305.1900.06-1-CE24
CE35	CNN_CF_20030305.1900.06-1-CE25
CE2	CNN_CF_20030305.1900.06-1-CE26
CE3	CNN_CF_20030305.1900.06-1-CE27
CE4	CNN_CF_20030305.1900.06-1-CE28
CE5	CNN_CF_20030305.1900.06-1-CE29
CE6	CNN_CF_20030305.1900.06-1-CE30
CE7	CNN_CF_20030305.1900.06-1-CE31
CE8	CNN_CF_20030305.1900.06-1-CE32
CE9	CNN_CF_20030305.1900.06-1-CE33
CE10	CNN_CF_20030305.1900.06-1-CE34
CE11	CNN_CF_20030305.1900.06-1-CE35
E12	CNN_CF_20030305.1900.06-1-E1
E13	CNN_CF_20030305.1900.06-1-E2
E14	CNN_CF_20030305.1900.06-1-E3
E15	CNN_CF_20030305.1900.06-1-E4
E16	CNN_CF_20030305.1900.06-1-E5
E17	CNN_CF_20030305.1900.06-1-E6
E18	CNN_CF_20030305.1900.06-1-E7
E19	CNN_CF_20030305.1900.06-1-E8
E20	CNN_CF_20030305.1900.06-1-E9
E21	CNN_CF_20030305.1900.06-1-E10
E22	CNN_CF_20030305.1900.06-1-E11
E23	CNN_CF_20030305.1900.06-1-E12
E24	CNN_CF_20030305.1900.06-1-E13
E25	CNN_CF_20030305.1900.06-1-E14
E26	CNN_CF_20030305.1900.06-1-E15
E27	CNN_CF_20030305.1900.06-1-E16
E28	CNN_CF_20030305.1900.06-1-E17
E29	CNN_CF_20030305.1900.06-1-E18
E30	CNN_CF_20030305.1900.06-1-E19
E1	CNN_CF_20030305.1900.06-1-E20
E31	CNN_CF_20030305.1900.06-1-E21
E32	CNN_CF_20030305.1900.06-1-E22
E33	CNN_CF_20030305.1900.06-1-E23
E34	CNN_CF_20030305.1900.06-1-E24
E35	CNN_CF_20030305.1900.06-1-E25
E36	CNN_CF_20030305.1900.06-1-E26
E37	CNN_CF_20030305.1900.06-1-E27
E38	CNN_CF_20030305.1900.06-1-E28
E39	CNN_CF_20030305.1900.06-1-E29
E2	CNN_CF_20030305.1900.06-1-E30
E3	CNN_CF_20030305.1900.06-1-E31
E4	CNN_CF_20030305.1900.06-1-E32
E5	CNN_CF_20030305.1900.06-1-E33
E6	CNN_CF_20030305.1900.06-1-E34
E7	CNN_CF_20030305.1900.06-1-E35
E8	CNN_CF_20030305.1900.06-1-E36
E9	CNN_CF_20030305.1900.06-1-E37
E10	CNN_CF_20030305.1900.06-1-E38
E11	CNN_CF_20030305.1900.06-1-E39
EM1	CNN_CF_20030305.1900.06-1-E20-1
EM20	CNN_CF_20030305.1900.06-1-E39-2
EM21	CNN_CF_20030305.1900.06-1-E2-3
EM22	CNN_CF_20030305.1900.06-1-E38-4
EM23	CNN_CF_20030305.1900.06-1-E3-5
EM24	CNN_CF_20030305.1900.06-1-E4-6
EM25	CNN_CF_20030305.1900.06-1-E38-7
EM26	CNN_CF_20030305.1900.06-1-E5-8
EM27	CNN_CF_20030305.1900.06-1-E38-9
EM28	CNN_CF_20030305.1900.06-1-E6-10
EM29	CNN_CF_20030305.1900.06-1-E7-11
EM30	CNN_CF_20030305.1900.06-1-E6-12
EM31	CNN_CF_20030305.1900.06-1-E38-13
