CE38	CNR20001127.1700.0591-CE1
CE16	CNR20001127.1700.0591-CE2
CE17	CNR20001127.1700.0591-CE3
CE19	CNR20001127.1700.0591-CE4
CE18	CNR20001127.1700.0591-CE5
CE20	CNR20001127.1700.0591-CE6
CE22	CNR20001127.1700.0591-CE7
CE23	CNR20001127.1700.0591-CE8
CE24	CNR20001127.1700.0591-CE9
CE25	CNR20001127.1700.0591-CE10
CE26	CNR20001127.1700.0591-CE11
CE28	CNR20001127.1700.0591-CE12
CE29	CNR20001127.1700.0591-CE13
CE27	CNR20001127.1700.0591-CE14
CE30	CNR20001127.1700.0591-CE15
CE31	CNR20001127.1700.0591-CE16
CE53	CNR20001127.1700.0591-CE17
CE32	CNR20001127.1700.0591-CE18
CE33	CNR20001127.1700.0591-CE19
CE34	CNR20001127.1700.0591-CE20
CE35	CNR20001127.1700.0591-CE21
CE65	CNR20001127.1700.0591-CE22
CE36	CNR20001127.1700.0591-CE23
CE37	CNR20001127.1700.0591-CE24
CE39	CNR20001127.1700.0591-CE25
CE64	CNR20001127.1700.0591-CE26
CE21	CNR20001127.1700.0591-CE27
CE12	CNR20001127.1700.0591-CE28
CE40	CNR20001127.1700.0591-CE29
CE66	CNR20001127.1700.0591-CE30
CE41	CNR20001127.1700.0591-CE31
CE43	CNR20001127.1700.0591-CE32
CE44	CNR20001127.1700.0591-CE33
CE45	CNR20001127.1700.0591-CE34
CE46	CNR20001127.1700.0591-CE35
CE48	CNR20001127.1700.0591-CE36
CE49	CNR20001127.1700.0591-CE37
CE47	CNR20001127.1700.0591-CE38
CE50	CNR20001127.1700.0591-CE39
CE51	CNR20001127.1700.0591-CE40
CE52	CNR20001127.1700.0591-CE41
CE54	CNR20001127.1700.0591-CE42
CE57	CNR20001127.1700.0591-CE43
CE58	CNR20001127.1700.0591-CE44
CE59	CNR20001127.1700.0591-CE45
CE55	CNR20001127.1700.0591-CE46
CE56	CNR20001127.1700.0591-CE47
CE60	CNR20001127.1700.0591-CE48
CE61	CNR20001127.1700.0591-CE49
CE62	CNR20001127.1700.0591-CE50
CE63	CNR20001127.1700.0591-CE51
CE1	CNR20001127.1700.0591-CE52
CE2	CNR20001127.1700.0591-CE53
CE3	CNR20001127.1700.0591-CE54
CE42	CNR20001127.1700.0591-CE55
CE4	CNR20001127.1700.0591-CE56
CE5	CNR20001127.1700.0591-CE57
CE6	CNR20001127.1700.0591-CE58
CE8	CNR20001127.1700.0591-CE59
CE7	CNR20001127.1700.0591-CE60
CE10	CNR20001127.1700.0591-CE61
CE11	CNR20001127.1700.0591-CE62
CE9	CNR20001127.1700.0591-CE63
CE15	CNR20001127.1700.0591-CE64
CE14	CNR20001127.1700.0591-CE65
CE13	CNR20001127.1700.0591-CE66
E79	CNR20001127.1700.0591-E1
E15	CNR20001127.1700.0591-E2
E16	CNR20001127.1700.0591-E3
E17	CNR20001127.1700.0591-E4
E18	CNR20001127.1700.0591-E5
E19	CNR20001127.1700.0591-E6
E20	CNR20001127.1700.0591-E7
E21	CNR20001127.1700.0591-E8
E22	CNR20001127.1700.0591-E9
E23	CNR20001127.1700.0591-E10
E24	CNR20001127.1700.0591-E11
E25	CNR20001127.1700.0591-E12
E26	CNR20001127.1700.0591-E13
E27	CNR20001127.1700.0591-E14
E28	CNR20001127.1700.0591-E15
E81	CNR20001127.1700.0591-E16
E30	CNR20001127.1700.0591-E17
E31	CNR20001127.1700.0591-E18
E32	CNR20001127.1700.0591-E19
E33	CNR20001127.1700.0591-E20
E34	CNR20001127.1700.0591-E21
E85	CNR20001127.1700.0591-E22
E1	CNR20001127.1700.0591-E23
E36	CNR20001127.1700.0591-E24
E38	CNR20001127.1700.0591-E25
E39	CNR20001127.1700.0591-E26
E84	CNR20001127.1700.0591-E27
E41	CNR20001127.1700.0591-E28
E43	CNR20001127.1700.0591-E29
E44	CNR20001127.1700.0591-E30
E45	CNR20001127.1700.0591-E31
E46	CNR20001127.1700.0591-E32
E86	CNR20001127.1700.0591-E33
E48	CNR20001127.1700.0591-E34
E49	CNR20001127.1700.0591-E35
E50	CNR20001127.1700.0591-E36
E51	CNR20001127.1700.0591-E37
E52	CNR20001127.1700.0591-E38
E53	CNR20001127.1700.0591-E39
E54	CNR20001127.1700.0591-E40
E55	CNR20001127.1700.0591-E41
E56	CNR20001127.1700.0591-E42
E57	CNR20001127.1700.0591-E43
E58	CNR20001127.1700.0591-E44
E59	CNR20001127.1700.0591-E45
E60	CNR20001127.1700.0591-E46
E61	CNR20001127.1700.0591-E47
E63	CNR20001127.1700.0591-E48
E64	CNR20001127.1700.0591-E49
E65	CNR20001127.1700.0591-E50
E66	CNR20001127.1700.0591-E51
E67	CNR20001127.1700.0591-E52
E68	CNR20001127.1700.0591-E53
E69	CNR20001127.1700.0591-E54
E70	CNR20001127.1700.0591-E55
E71	CNR20001127.1700.0591-E56
E72	CNR20001127.1700.0591-E57
E73	CNR20001127.1700.0591-E58
E2	CNR20001127.1700.0591-E59
E74	CNR20001127.1700.0591-E60
E76	CNR20001127.1700.0591-E61
E77	CNR20001127.1700.0591-E62
E78	CNR20001127.1700.0591-E63
E3	CNR20001127.1700.0591-E64
E4	CNR20001127.1700.0591-E65
E5	CNR20001127.1700.0591-E66
E6	CNR20001127.1700.0591-E67
E7	CNR20001127.1700.0591-E68
E8	CNR20001127.1700.0591-E69
E9	CNR20001127.1700.0591-E70
E10	CNR20001127.1700.0591-E71
E11	CNR20001127.1700.0591-E72
E12	CNR20001127.1700.0591-E73
E13	CNR20001127.1700.0591-E74
E14	CNR20001127.1700.0591-E75
EM69	CNR20001127.1700.0591-E1-1
EM18	CNR20001127.1700.0591-E2-2
EM20	CNR20001127.1700.0591-E70-3
EM19	CNR20001127.1700.0591-E3-4
EM21	CNR20001127.1700.0591-E4-5
EM22	CNR20001127.1700.0591-E5-6
EM23	CNR20001127.1700.0591-E6-7
EM24	CNR20001127.1700.0591-E23-8
EM25	CNR20001127.1700.0591-E7-9
EM27	CNR20001127.1700.0591-E8-10
EM28	CNR20001127.1700.0591-E9-11
EM29	CNR20001127.1700.0591-E9-12
EM107	CNR20001127.1700.0591-E41-13
EM31	CNR20001127.1700.0591-E10-14
EM32	CNR20001127.1700.0591-E23-15
EM33	CNR20001127.1700.0591-E11-16
EM80	CNR20001127.1700.0591-E22-17
EM35	CNR20001127.1700.0591-E12-18
EM37	CNR20001127.1700.0591-E13-19
EM39	CNR20001127.1700.0591-E70-20
EM40	CNR20001127.1700.0591-E14-21
EM38	CNR20001127.1700.0591-E15-22
EM116	CNR20001127.1700.0591-E16-23
EM41	CNR20001127.1700.0591-E17-24
EM42	CNR20001127.1700.0591-E23-25
EM43	CNR20001127.1700.0591-E70-26
EM44	CNR20001127.1700.0591-E17-27
EM45	CNR20001127.1700.0591-E18-28
EM117	CNR20001127.1700.0591-E40-29
EM46	CNR20001127.1700.0591-E70-30
EM47	CNR20001127.1700.0591-E18-31
EM48	CNR20001127.1700.0591-E19-32
EM49	CNR20001127.1700.0591-E20-33
EM50	CNR20001127.1700.0591-E21-34
EM51	CNR20001127.1700.0591-E23-35
EM118	CNR20001127.1700.0591-E16-36
EM52	CNR20001127.1700.0591-E70-37
EM53	CNR20001127.1700.0591-E70-38
EM54	CNR20001127.1700.0591-E12-39
EM55	CNR20001127.1700.0591-E70-40
