CE10	CTV20001227.1330.0447-CE1
CE11	CTV20001227.1330.0447-CE2
CE12	CTV20001227.1330.0447-CE3
CE13	CTV20001227.1330.0447-CE4
CE14	CTV20001227.1330.0447-CE5
CE15	CTV20001227.1330.0447-CE6
CE16	CTV20001227.1330.0447-CE7
CE17	CTV20001227.1330.0447-CE8
CE2	CTV20001227.1330.0447-CE9
CE4	CTV20001227.1330.0447-CE10
CE5	CTV20001227.1330.0447-CE11
CE6	CTV20001227.1330.0447-CE12
CE7	CTV20001227.1330.0447-CE13
CE3	CTV20001227.1330.0447-CE14
CE8	CTV20001227.1330.0447-CE15
CE9	CTV20001227.1330.0447-CE16
CE1	CTV20001227.1330.0447-CE17
E11	CTV20001227.1330.0447-E1
E12	CTV20001227.1330.0447-E2
E13	CTV20001227.1330.0447-E3
E14	CTV20001227.1330.0447-E4
E15	CTV20001227.1330.0447-E5
E17	CTV20001227.1330.0447-E6
E18	CTV20001227.1330.0447-E7
E19	CTV20001227.1330.0447-E8
E20	CTV20001227.1330.0447-E9
E1	CTV20001227.1330.0447-E10
E2	CTV20001227.1330.0447-E11
E3	CTV20001227.1330.0447-E12
E4	CTV20001227.1330.0447-E13
E5	CTV20001227.1330.0447-E14
E6	CTV20001227.1330.0447-E15
E7	CTV20001227.1330.0447-E16
E8	CTV20001227.1330.0447-E17
E10	CTV20001227.1330.0447-E18
EM1	CTV20001227.1330.0447-E18-1
EM20	CTV20001227.1330.0447-E1-2
EM21	CTV20001227.1330.0447-E18-3
EM22	CTV20001227.1330.0447-E1-4
EM23	CTV20001227.1330.0447-E18-5
EM24	CTV20001227.1330.0447-E15-6
EM25	CTV20001227.1330.0447-E2-7
EM26	CTV20001227.1330.0447-E10-8
EM27	CTV20001227.1330.0447-E18-9
EM28	CTV20001227.1330.0447-E11-10
EM29	CTV20001227.1330.0447-E12-11
EM30	CTV20001227.1330.0447-E13-12
EM31	CTV20001227.1330.0447-E3-13
EM32	CTV20001227.1330.0447-E3-14
EM33	CTV20001227.1330.0447-E16-15
EM34	CTV20001227.1330.0447-E10-16
EM35	CTV20001227.1330.0447-E18-17
EM36	CTV20001227.1330.0447-E4-18
EM37	CTV20001227.1330.0447-E5-19
EM38	CTV20001227.1330.0447-E11-20
EM39	CTV20001227.1330.0447-E12-21
EM40	CTV20001227.1330.0447-E13-22
EM41	CTV20001227.1330.0447-E3-23
EM42	CTV20001227.1330.0447-E16-24
EM43	CTV20001227.1330.0447-E3-25
EM44	CTV20001227.1330.0447-E3-26
EM45	CTV20001227.1330.0447-E6-27
EM46	CTV20001227.1330.0447-E7-28
EM47	CTV20001227.1330.0447-E16-29
EM48	CTV20001227.1330.0447-E3-30
EM49	CTV20001227.1330.0447-E10-31
EM50	CTV20001227.1330.0447-E18-32
EM51	CTV20001227.1330.0447-E15-33
EM52	CTV20001227.1330.0447-E8-34
EM53	CTV20001227.1330.0447-E9-35
EM2	CTV20001227.1330.0447-E10-36
EM3	CTV20001227.1330.0447-E11-37
EM5	CTV20001227.1330.0447-E12-38
EM6	CTV20001227.1330.0447-E13-39
EM7	CTV20001227.1330.0447-E14-40
EM4	CTV20001227.1330.0447-E15-41
EM8	CTV20001227.1330.0447-E16-42
EM9	CTV20001227.1330.0447-E15-43
EM15	CTV20001227.1330.0447-E17-44
EM10	CTV20001227.1330.0447-E16-45
EM11	CTV20001227.1330.0447-E11-46
EM12	CTV20001227.1330.0447-E12-47
EM13	CTV20001227.1330.0447-E13-48
EM14	CTV20001227.1330.0447-E14-49
EM16	CTV20001227.1330.0447-E18-50
EM17	CTV20001227.1330.0447-E15-51
EM18	CTV20001227.1330.0447-E11-52
EM19	CTV20001227.1330.0447-E16-53
R1	CTV20001227.1330.0447-R1
R2	CTV20001227.1330.0447-R2
R3	CTV20001227.1330.0447-R3
R4	CTV20001227.1330.0447-R4
R5	CTV20001227.1330.0447-R5
R6	CTV20001227.1330.0447-R6
R7	CTV20001227.1330.0447-R7
R8	CTV20001227.1330.0447-R8
RM1	CTV20001227.1330.0447-R1-1
RM2	CTV20001227.1330.0447-R2-1
RM3	CTV20001227.1330.0447-R3-1
RM4	CTV20001227.1330.0447-R3-2
RM5	CTV20001227.1330.0447-R1-2
RM6	CTV20001227.1330.0447-R1-3
RM7	CTV20001227.1330.0447-R1-4
RM8	CTV20001227.1330.0447-R8-1
V1	CTV20001227.1330.0447-EV1
V2	CTV20001227.1330.0447-EV2
V3	CTV20001227.1330.0447-EV3
V4	CTV20001227.1330.0447-EV4
V5	CTV20001227.1330.0447-EV5
V6	CTV20001227.1330.0447-EV6
V9	CTV20001227.1330.0447-EV7
V10	CTV20001227.1330.0447-EV8
V7	CTV20001227.1330.0447-EV9
VM1	CTV20001227.1330.0447-EV1-1
VM2	CTV20001227.1330.0447-EV2-1
VM3	CTV20001227.1330.0447-EV2-2
VM4	CTV20001227.1330.0447-EV3-1
VM5	CTV20001227.1330.0447-EV4-1
VM6	CTV20001227.1330.0447-EV5-1
VM7	CTV20001227.1330.0447-EV6-1
VM9	CTV20001227.1330.0447-EV7-1
VM10	CTV20001227.1330.0447-EV8-1
VM12	CTV20001227.1330.0447-EV2-3
VM8	CTV20001227.1330.0447-EV9-1
VM13	CTV20001227.1330.0447-EV2-4
Q1	CTV20001227.1330.0447-T1
Q2	CTV20001227.1330.0447-T2
Q4	CTV20001227.1330.0447-V1
Q6	CTV20001227.1330.0447-V2
Q8	CTV20001227.1330.0447-V3
Q10	CTV20001227.1330.0447-V4
Q12	CTV20001227.1330.0447-V5
Q14	CTV20001227.1330.0447-V6
Q16	CTV20001227.1330.0447-V7
Q5	CTV20001227.1330.0447-T3
Q7	CTV20001227.1330.0447-T4
Q9	CTV20001227.1330.0447-T5
Q11	CTV20001227.1330.0447-T6
Q13	CTV20001227.1330.0447-T7
Q15	CTV20001227.1330.0447-T8
Q17	CTV20001227.1330.0447-T9
Q18	CTV20001227.1330.0447-T10
Q20	CTV20001227.1330.0447-T11
Q3	CTV20001227.1330.0447-V8
Q19	CTV20001227.1330.0447-V9
QM4	CTV20001227.1330.0447-V1-1
QM6	CTV20001227.1330.0447-V2-1
QM8	CTV20001227.1330.0447-V3-1
QM10	CTV20001227.1330.0447-V4-1
QM12	CTV20001227.1330.0447-V5-1
QM14	CTV20001227.1330.0447-V6-1
