CE10	CBS20001227.0800.0590-CE1
CE11	CBS20001227.0800.0590-CE2
CE12	CBS20001227.0800.0590-CE3
CE14	CBS20001227.0800.0590-CE4
CE13	CBS20001227.0800.0590-CE5
CE15	CBS20001227.0800.0590-CE6
CE16	CBS20001227.0800.0590-CE7
CE1	CBS20001227.0800.0590-CE8
CE2	CBS20001227.0800.0590-CE9
CE3	CBS20001227.0800.0590-CE10
CE5	CBS20001227.0800.0590-CE11
CE6	CBS20001227.0800.0590-CE12
CE4	CBS20001227.0800.0590-CE13
CE7	CBS20001227.0800.0590-CE14
CE8	CBS20001227.0800.0590-CE15
CE9	CBS20001227.0800.0590-CE16
E12	CBS20001227.0800.0590-E1
E13	CBS20001227.0800.0590-E2
E14	CBS20001227.0800.0590-E3
E15	CBS20001227.0800.0590-E4
E16	CBS20001227.0800.0590-E5
E17	CBS20001227.0800.0590-E6
E19	CBS20001227.0800.0590-E7
E1	CBS20001227.0800.0590-E8
E2	CBS20001227.0800.0590-E9
E3	CBS20001227.0800.0590-E10
E4	CBS20001227.0800.0590-E11
E5	CBS20001227.0800.0590-E12
E6	CBS20001227.0800.0590-E13
E7	CBS20001227.0800.0590-E14
E8	CBS20001227.0800.0590-E15
E10	CBS20001227.0800.0590-E16
E11	CBS20001227.0800.0590-E17
EM1	CBS20001227.0800.0590-E8-1
EM20	CBS20001227.0800.0590-E2-2
EM22	CBS20001227.0800.0590-E9-3
EM23	CBS20001227.0800.0590-E9-4
EM24	CBS20001227.0800.0590-E14-5
EM25	CBS20001227.0800.0590-E9-6
EM26	CBS20001227.0800.0590-E3-7
EM27	CBS20001227.0800.0590-E14-8
EM28	CBS20001227.0800.0590-E9-9
EM29	CBS20001227.0800.0590-E9-10
EM30	CBS20001227.0800.0590-E8-11
EM31	CBS20001227.0800.0590-E9-12
EM32	CBS20001227.0800.0590-E12-13
EM34	CBS20001227.0800.0590-E9-14
EM35	CBS20001227.0800.0590-E12-15
EM36	CBS20001227.0800.0590-E4-16
EM37	CBS20001227.0800.0590-E5-17
EM38	CBS20001227.0800.0590-E6-18
EM39	CBS20001227.0800.0590-E9-19
EM40	CBS20001227.0800.0590-E4-20
EM41	CBS20001227.0800.0590-E2-21
EM42	CBS20001227.0800.0590-E7-22
EM43	CBS20001227.0800.0590-E9-23
EM33	CBS20001227.0800.0590-E14-24
EM6	CBS20001227.0800.0590-E14-25
EM14	CBS20001227.0800.0590-E15-26
EM2	CBS20001227.0800.0590-E9-27
EM3	CBS20001227.0800.0590-E10-28
EM5	CBS20001227.0800.0590-E9-29
EM4	CBS20001227.0800.0590-E11-30
EM7	CBS20001227.0800.0590-E12-31
EM8	CBS20001227.0800.0590-E13-32
EM9	CBS20001227.0800.0590-E14-33
EM10	CBS20001227.0800.0590-E9-34
EM11	CBS20001227.0800.0590-E9-35
EM12	CBS20001227.0800.0590-E11-36
EM13	CBS20001227.0800.0590-E15-37
EM15	CBS20001227.0800.0590-E9-38
EM16	CBS20001227.0800.0590-E16-39
EM17	CBS20001227.0800.0590-E14-40
EM18	CBS20001227.0800.0590-E17-41
EM19	CBS20001227.0800.0590-E13-42
EM21	CBS20001227.0800.0590-E1-43
R1	CBS20001227.0800.0590-R1
R3	CBS20001227.0800.0590-R2
R4	CBS20001227.0800.0590-R3
R5	CBS20001227.0800.0590-R4
R7	CBS20001227.0800.0590-R5
R10	CBS20001227.0800.0590-R6
R9	CBS20001227.0800.0590-R7
R11	CBS20001227.0800.0590-R8
R12	CBS20001227.0800.0590-R9
R14	CBS20001227.0800.0590-R10
R15	CBS20001227.0800.0590-R11
R16	CBS20001227.0800.0590-R12
R2	CBS20001227.0800.0590-R13
R13	CBS20001227.0800.0590-R14
RM1	CBS20001227.0800.0590-R1-1
RM3	CBS20001227.0800.0590-R2-1
RM4	CBS20001227.0800.0590-R3-1
RM5	CBS20001227.0800.0590-R4-1
RM7	CBS20001227.0800.0590-R5-1
RM10	CBS20001227.0800.0590-R6-1
RM9	CBS20001227.0800.0590-R4-2
RM11	CBS20001227.0800.0590-R8-1
RM12	CBS20001227.0800.0590-R9-1
RM14	CBS20001227.0800.0590-R10-1
RM15	CBS20001227.0800.0590-R11-1
RM16	CBS20001227.0800.0590-R12-1
RM2	CBS20001227.0800.0590-R13-1
RM13	CBS20001227.0800.0590-R13-2
V1	CBS20001227.0800.0590-EV1
V2	CBS20001227.0800.0590-EV2
V3	CBS20001227.0800.0590-EV3
V4	CBS20001227.0800.0590-EV4
V5	CBS20001227.0800.0590-EV5
V6	CBS20001227.0800.0590-EV6
V7	CBS20001227.0800.0590-EV7
V8	CBS20001227.0800.0590-EV8
V9	CBS20001227.0800.0590-EV9
V10	CBS20001227.0800.0590-EV10
VM11	CBS20001227.0800.0590-EV2-1
VM1	CBS20001227.0800.0590-EV1-1
VM2	CBS20001227.0800.0590-EV2-2
VM3	CBS20001227.0800.0590-EV3-1
VM4	CBS20001227.0800.0590-EV4-1
VM5	CBS20001227.0800.0590-EV5-1
VM6	CBS20001227.0800.0590-EV6-1
VM7	CBS20001227.0800.0590-EV7-1
VM8	CBS20001227.0800.0590-EV8-1
VM9	CBS20001227.0800.0590-EV9-1
VM10	CBS20001227.0800.0590-EV10-1
Q1	CBS20001227.0800.0590-T1
Q2	CBS20001227.0800.0590-T2
Q3	CBS20001227.0800.0590-T3
Q4	CBS20001227.0800.0590-T4
Q5	CBS20001227.0800.0590-T5
Q6	CBS20001227.0800.0590-T6
Q7	CBS20001227.0800.0590-T7
Q8	CBS20001227.0800.0590-T8
Q9	CBS20001227.0800.0590-T9
Q10	CBS20001227.0800.0590-T10
Q11	CBS20001227.0800.0590-T11
