CE13	CTS20001005.1800.0151-CE1
CE12	CTS20001005.1800.0151-CE2
CE14	CTS20001005.1800.0151-CE3
CE16	CTS20001005.1800.0151-CE4
CE15	CTS20001005.1800.0151-CE5
CE17	CTS20001005.1800.0151-CE6
CE2	CTS20001005.1800.0151-CE7
CE1	CTS20001005.1800.0151-CE8
CE3	CTS20001005.1800.0151-CE9
CE4	CTS20001005.1800.0151-CE10
CE5	CTS20001005.1800.0151-CE11
CE6	CTS20001005.1800.0151-CE12
CE7	CTS20001005.1800.0151-CE13
CE8	CTS20001005.1800.0151-CE14
CE9	CTS20001005.1800.0151-CE15
CE10	CTS20001005.1800.0151-CE16
CE11	CTS20001005.1800.0151-CE17
E12	CTS20001005.1800.0151-E1
E20	CTS20001005.1800.0151-E2
E21	CTS20001005.1800.0151-E3
E23	CTS20001005.1800.0151-E4
E17	CTS20001005.1800.0151-E5
E18	CTS20001005.1800.0151-E6
E19	CTS20001005.1800.0151-E7
E1	CTS20001005.1800.0151-E8
E2	CTS20001005.1800.0151-E9
E3	CTS20001005.1800.0151-E10
E4	CTS20001005.1800.0151-E11
E5	CTS20001005.1800.0151-E12
E6	CTS20001005.1800.0151-E13
E7	CTS20001005.1800.0151-E14
E8	CTS20001005.1800.0151-E15
E9	CTS20001005.1800.0151-E16
E10	CTS20001005.1800.0151-E17
E11	CTS20001005.1800.0151-E18
EM1	CTS20001005.1800.0151-E8-1
EM20	CTS20001005.1800.0151-E3-2
EM29	CTS20001005.1800.0151-E4-3
EM23	CTS20001005.1800.0151-E1-4
EM21	CTS20001005.1800.0151-E3-5
EM24	CTS20001005.1800.0151-E1-6
EM25	CTS20001005.1800.0151-E5-7
EM27	CTS20001005.1800.0151-E5-8
EM26	CTS20001005.1800.0151-E6-9
EM28	CTS20001005.1800.0151-E1-10
EM22	CTS20001005.1800.0151-E3-11
EM30	CTS20001005.1800.0151-E1-12
EM31	CTS20001005.1800.0151-E7-13
EM2	CTS20001005.1800.0151-E9-14
EM18	CTS20001005.1800.0151-E2-15
EM3	CTS20001005.1800.0151-E10-16
EM4	CTS20001005.1800.0151-E10-17
EM5	CTS20001005.1800.0151-E11-18
EM6	CTS20001005.1800.0151-E12-19
EM7	CTS20001005.1800.0151-E13-20
EM8	CTS20001005.1800.0151-E14-21
EM9	CTS20001005.1800.0151-E14-22
EM10	CTS20001005.1800.0151-E15-23
EM11	CTS20001005.1800.0151-E16-24
EM12	CTS20001005.1800.0151-E17-25
EM13	CTS20001005.1800.0151-E14-26
EM14	CTS20001005.1800.0151-E9-27
EM15	CTS20001005.1800.0151-E14-28
EM16	CTS20001005.1800.0151-E14-29
EM17	CTS20001005.1800.0151-E18-30
EM19	CTS20001005.1800.0151-E1-31
R1	CTS20001005.1800.0151-R1
RM1	CTS20001005.1800.0151-R1-1
V1	CTS20001005.1800.0151-EV1
VM1	CTS20001005.1800.0151-EV1-1
Q1	CTS20001005.1800.0151-T1
Q2	CTS20001005.1800.0151-T2
Q3	CTS20001005.1800.0151-T3
Q4	CTS20001005.1800.0151-V1
Q5	CTS20001005.1800.0151-T4
Q6	CTS20001005.1800.0151-V2
Q7	CTS20001005.1800.0151-T5
Q9	CTS20001005.1800.0151-T6
Q8	CTS20001005.1800.0151-V3
Q12	CTS20001005.1800.0151-T7
Q13	CTS20001005.1800.0151-T8
Q14	CTS20001005.1800.0151-T9
Q10	CTS20001005.1800.0151-V4
Q11	CTS20001005.1800.0151-V5
QM4	CTS20001005.1800.0151-V1-1
QM6	CTS20001005.1800.0151-V2-1
QM8	CTS20001005.1800.0151-V3-1
QM10	CTS20001005.1800.0151-V4-1
QM11	CTS20001005.1800.0151-V5-1
