CE11	CBS20001120.1000.0823-CE1
CE12	CBS20001120.1000.0823-CE2
CE13	CBS20001120.1000.0823-CE3
CE14	CBS20001120.1000.0823-CE4
CE15	CBS20001120.1000.0823-CE5
CE16	CBS20001120.1000.0823-CE6
CE17	CBS20001120.1000.0823-CE7
CE18	CBS20001120.1000.0823-CE8
CE19	CBS20001120.1000.0823-CE9
CE1	CBS20001120.1000.0823-CE10
CE20	CBS20001120.1000.0823-CE11
CE21	CBS20001120.1000.0823-CE12
CE22	CBS20001120.1000.0823-CE13
CE23	CBS20001120.1000.0823-CE14
CE24	CBS20001120.1000.0823-CE15
CE2	CBS20001120.1000.0823-CE16
CE3	CBS20001120.1000.0823-CE17
CE4	CBS20001120.1000.0823-CE18
CE5	CBS20001120.1000.0823-CE19
CE6	CBS20001120.1000.0823-CE20
CE8	CBS20001120.1000.0823-CE21
CE7	CBS20001120.1000.0823-CE22
CE9	CBS20001120.1000.0823-CE23
CE10	CBS20001120.1000.0823-CE24
E12	CBS20001120.1000.0823-E1
E13	CBS20001120.1000.0823-E2
E14	CBS20001120.1000.0823-E3
E15	CBS20001120.1000.0823-E4
E16	CBS20001120.1000.0823-E5
E17	CBS20001120.1000.0823-E6
E18	CBS20001120.1000.0823-E7
E19	CBS20001120.1000.0823-E8
E20	CBS20001120.1000.0823-E9
E21	CBS20001120.1000.0823-E10
E29	CBS20001120.1000.0823-E11
E23	CBS20001120.1000.0823-E12
E24	CBS20001120.1000.0823-E13
E26	CBS20001120.1000.0823-E14
E27	CBS20001120.1000.0823-E15
E28	CBS20001120.1000.0823-E16
E2	CBS20001120.1000.0823-E17
E3	CBS20001120.1000.0823-E18
E25	CBS20001120.1000.0823-E19
E6	CBS20001120.1000.0823-E20
E7	CBS20001120.1000.0823-E21
E8	CBS20001120.1000.0823-E22
E9	CBS20001120.1000.0823-E23
E10	CBS20001120.1000.0823-E24
E11	CBS20001120.1000.0823-E25
EM3	CBS20001120.1000.0823-E19-1
EM16	CBS20001120.1000.0823-E1-2
EM17	CBS20001120.1000.0823-E2-3
EM18	CBS20001120.1000.0823-E24-4
EM19	CBS20001120.1000.0823-E23-5
EM20	CBS20001120.1000.0823-E1-6
EM21	CBS20001120.1000.0823-E17-7
EM22	CBS20001120.1000.0823-E18-8
EM23	CBS20001120.1000.0823-E17-9
EM24	CBS20001120.1000.0823-E3-10
EM25	CBS20001120.1000.0823-E4-11
EM26	CBS20001120.1000.0823-E1-12
EM27	CBS20001120.1000.0823-E17-13
EM28	CBS20001120.1000.0823-E18-14
EM31	CBS20001120.1000.0823-E3-15
EM32	CBS20001120.1000.0823-E21-16
EM33	CBS20001120.1000.0823-E20-17
EM34	CBS20001120.1000.0823-E5-18
EM35	CBS20001120.1000.0823-E6-19
EM36	CBS20001120.1000.0823-E23-20
EM37	CBS20001120.1000.0823-E7-21
EM38	CBS20001120.1000.0823-E8-22
EM39	CBS20001120.1000.0823-E9-23
EM29	CBS20001120.1000.0823-E17-24
EM40	CBS20001120.1000.0823-E10-25
EM41	CBS20001120.1000.0823-E21-26
EM47	CBS20001120.1000.0823-E11-27
EM42	CBS20001120.1000.0823-E12-28
EM43	CBS20001120.1000.0823-E13-29
EM50	CBS20001120.1000.0823-E15-30
EM51	CBS20001120.1000.0823-E14-31
EM52	CBS20001120.1000.0823-E16-32
EM53	CBS20001120.1000.0823-E16-33
EM54	CBS20001120.1000.0823-E16-34
EM1	CBS20001120.1000.0823-E17-35
EM45	CBS20001120.1000.0823-E8-36
EM2	CBS20001120.1000.0823-E18-37
EM8	CBS20001120.1000.0823-E19-38
EM30	CBS20001120.1000.0823-E18-39
EM44	CBS20001120.1000.0823-E19-40
EM46	CBS20001120.1000.0823-E8-41
EM4	CBS20001120.1000.0823-E20-42
EM5	CBS20001120.1000.0823-E21-43
EM6	CBS20001120.1000.0823-E22-44
EM7	CBS20001120.1000.0823-E23-45
EM48	CBS20001120.1000.0823-E23-46
EM49	CBS20001120.1000.0823-E14-47
EM9	CBS20001120.1000.0823-E21-48
EM10	CBS20001120.1000.0823-E20-49
EM11	CBS20001120.1000.0823-E23-50
EM12	CBS20001120.1000.0823-E24-51
EM13	CBS20001120.1000.0823-E23-52
EM14	CBS20001120.1000.0823-E17-53
EM15	CBS20001120.1000.0823-E25-54
R1	CBS20001120.1000.0823-R1
R2	CBS20001120.1000.0823-R2
R3	CBS20001120.1000.0823-R3
R5	CBS20001120.1000.0823-R4
R6	CBS20001120.1000.0823-R5
R7	CBS20001120.1000.0823-R6
R8	CBS20001120.1000.0823-R7
R9	CBS20001120.1000.0823-R8
R11	CBS20001120.1000.0823-R9
R10	CBS20001120.1000.0823-R10
R12	CBS20001120.1000.0823-R11
R13	CBS20001120.1000.0823-R12
R14	CBS20001120.1000.0823-R13
R16	CBS20001120.1000.0823-R14
R15	CBS20001120.1000.0823-R15
R17	CBS20001120.1000.0823-R16
R18	CBS20001120.1000.0823-R17
R19	CBS20001120.1000.0823-R18
R4	CBS20001120.1000.0823-R19
RM1	CBS20001120.1000.0823-R1-1
RM2	CBS20001120.1000.0823-R2-1
RM3	CBS20001120.1000.0823-R3-1
RM5	CBS20001120.1000.0823-R4-1
RM6	CBS20001120.1000.0823-R5-1
RM7	CBS20001120.1000.0823-R6-1
RM8	CBS20001120.1000.0823-R5-2
RM9	CBS20001120.1000.0823-R8-1
RM11	CBS20001120.1000.0823-R1-2
RM10	CBS20001120.1000.0823-R10-1
RM12	CBS20001120.1000.0823-R1-3
RM13	CBS20001120.1000.0823-R1-4
RM14	CBS20001120.1000.0823-R13-1
RM16	CBS20001120.1000.0823-R14-1
RM15	CBS20001120.1000.0823-R15-1
RM17	CBS20001120.1000.0823-R16-1
RM18	CBS20001120.1000.0823-R17-1
RM19	CBS20001120.1000.0823-R18-1
RM4	CBS20001120.1000.0823-R2-2
V1	CBS20001120.1000.0823-EV1
V2	CBS20001120.1000.0823-EV2
V3	CBS20001120.1000.0823-EV3
V4	CBS20001120.1000.0823-EV4
V6	CBS20001120.1000.0823-EV5
V8	CBS20001120.1000.0823-EV6
V7	CBS20001120.1000.0823-EV7
VM1	CBS20001120.1000.0823-EV1-1
VM2	CBS20001120.1000.0823-EV2-1
VM3	CBS20001120.1000.0823-EV2-2
VM4	CBS20001120.1000.0823-EV2-3
VM5	CBS20001120.1000.0823-EV1-2
VM6	CBS20001120.1000.0823-EV3-1
VM7	CBS20001120.1000.0823-EV1-3
VM8	CBS20001120.1000.0823-EV4-1
VM11	CBS20001120.1000.0823-EV5-1
VM13	CBS20001120.1000.0823-EV2-4
VM14	CBS20001120.1000.0823-EV6-1
VM15	CBS20001120.1000.0823-EV2-5
VM9	CBS20001120.1000.0823-EV2-6
VM12	CBS20001120.1000.0823-EV7-1
Q1	CBS20001120.1000.0823-T1
Q2	CBS20001120.1000.0823-T2
Q3	CBS20001120.1000.0823-T3
Q4	CBS20001120.1000.0823-T4
