CE13	CTV20001009.1330.0695-CE1
CE14	CTV20001009.1330.0695-CE2
CE15	CTV20001009.1330.0695-CE3
CE16	CTV20001009.1330.0695-CE4
CE17	CTV20001009.1330.0695-CE5
CE18	CTV20001009.1330.0695-CE6
CE19	CTV20001009.1330.0695-CE7
CE9	CTV20001009.1330.0695-CE8
CE10	CTV20001009.1330.0695-CE9
CE8	CTV20001009.1330.0695-CE10
CE1	CTV20001009.1330.0695-CE11
CE2	CTV20001009.1330.0695-CE12
CE4	CTV20001009.1330.0695-CE13
CE3	CTV20001009.1330.0695-CE14
CE5	CTV20001009.1330.0695-CE15
CE6	CTV20001009.1330.0695-CE16
CE7	CTV20001009.1330.0695-CE17
CE11	CTV20001009.1330.0695-CE18
CE12	CTV20001009.1330.0695-CE19
E11	CTV20001009.1330.0695-E1
E12	CTV20001009.1330.0695-E2
E13	CTV20001009.1330.0695-E3
E14	CTV20001009.1330.0695-E4
E15	CTV20001009.1330.0695-E5
E24	CTV20001009.1330.0695-E6
E17	CTV20001009.1330.0695-E7
E20	CTV20001009.1330.0695-E8
E21	CTV20001009.1330.0695-E9
E23	CTV20001009.1330.0695-E10
E1	CTV20001009.1330.0695-E11
E2	CTV20001009.1330.0695-E12
E3	CTV20001009.1330.0695-E13
E4	CTV20001009.1330.0695-E14
E5	CTV20001009.1330.0695-E15
E6	CTV20001009.1330.0695-E16
E7	CTV20001009.1330.0695-E17
E8	CTV20001009.1330.0695-E18
E9	CTV20001009.1330.0695-E19
E10	CTV20001009.1330.0695-E20
EM19	CTV20001009.1330.0695-E1-1
EM20	CTV20001009.1330.0695-E2-2
EM21	CTV20001009.1330.0695-E3-3
EM22	CTV20001009.1330.0695-E4-4
EM23	CTV20001009.1330.0695-E5-5
EM24	CTV20001009.1330.0695-E11-6
EM26	CTV20001009.1330.0695-E15-7
EM10	CTV20001009.1330.0695-E7-8
EM13	CTV20001009.1330.0695-E8-9
EM11	CTV20001009.1330.0695-E9-10
EM14	CTV20001009.1330.0695-E15-11
EM9	CTV20001009.1330.0695-E10-12
EM1	CTV20001009.1330.0695-E11-13
EM2	CTV20001009.1330.0695-E12-14
EM3	CTV20001009.1330.0695-E13-15
EM4	CTV20001009.1330.0695-E14-16
EM5	CTV20001009.1330.0695-E15-17
EM6	CTV20001009.1330.0695-E16-18
EM8	CTV20001009.1330.0695-E16-19
EM7	CTV20001009.1330.0695-E17-20
EM12	CTV20001009.1330.0695-E15-21
EM25	CTV20001009.1330.0695-E6-22
EM15	CTV20001009.1330.0695-E12-23
EM16	CTV20001009.1330.0695-E18-24
EM17	CTV20001009.1330.0695-E19-25
EM18	CTV20001009.1330.0695-E20-26
R1	CTV20001009.1330.0695-R1
R7	CTV20001009.1330.0695-R2
R8	CTV20001009.1330.0695-R3
R6	CTV20001009.1330.0695-R4
R2	CTV20001009.1330.0695-R5
R3	CTV20001009.1330.0695-R6
R4	CTV20001009.1330.0695-R7
R5	CTV20001009.1330.0695-R8
RM1	CTV20001009.1330.0695-R1-1
RM7	CTV20001009.1330.0695-R2-1
RM8	CTV20001009.1330.0695-R3-1
RM6	CTV20001009.1330.0695-R4-1
RM2	CTV20001009.1330.0695-R5-1
RM3	CTV20001009.1330.0695-R6-1
RM4	CTV20001009.1330.0695-R7-1
RM5	CTV20001009.1330.0695-R8-1
Q1	CTV20001009.1330.0695-T1
Q2	CTV20001009.1330.0695-T2
Q3	CTV20001009.1330.0695-T3
Q4	CTV20001009.1330.0695-T4
Q6	CTV20001009.1330.0695-V1
Q5	CTV20001009.1330.0695-T5
Q7	CTV20001009.1330.0695-V2
QM6	CTV20001009.1330.0695-V1-1
QM7	CTV20001009.1330.0695-V2-1
