CE10	CNR20001127.1700.0075-CE1
CE11	CNR20001127.1700.0075-CE2
CE13	CNR20001127.1700.0075-CE3
CE14	CNR20001127.1700.0075-CE4
CE15	CNR20001127.1700.0075-CE5
CE3	CNR20001127.1700.0075-CE6
CE8	CNR20001127.1700.0075-CE7
CE9	CNR20001127.1700.0075-CE8
CE1	CNR20001127.1700.0075-CE9
CE2	CNR20001127.1700.0075-CE10
CE16	CNR20001127.1700.0075-CE11
CE5	CNR20001127.1700.0075-CE12
CE6	CNR20001127.1700.0075-CE13
CE7	CNR20001127.1700.0075-CE14
CE4	CNR20001127.1700.0075-CE15
E13	CNR20001127.1700.0075-E1
E14	CNR20001127.1700.0075-E2
E15	CNR20001127.1700.0075-E3
E16	CNR20001127.1700.0075-E4
E17	CNR20001127.1700.0075-E5
E18	CNR20001127.1700.0075-E6
E21	CNR20001127.1700.0075-E7
E22	CNR20001127.1700.0075-E8
E27	CNR20001127.1700.0075-E9
E28	CNR20001127.1700.0075-E10
E1	CNR20001127.1700.0075-E11
E2	CNR20001127.1700.0075-E12
E20	CNR20001127.1700.0075-E13
E7	CNR20001127.1700.0075-E14
E8	CNR20001127.1700.0075-E15
E9	CNR20001127.1700.0075-E16
E10	CNR20001127.1700.0075-E17
E11	CNR20001127.1700.0075-E18
E12	CNR20001127.1700.0075-E19
EM1	CNR20001127.1700.0075-E11-1
EM18	CNR20001127.1700.0075-E1-2
EM21	CNR20001127.1700.0075-E1-3
EM19	CNR20001127.1700.0075-E2-4
EM22	CNR20001127.1700.0075-E14-5
EM23	CNR20001127.1700.0075-E14-6
EM24	CNR20001127.1700.0075-E3-7
EM25	CNR20001127.1700.0075-E4-8
EM27	CNR20001127.1700.0075-E14-9
EM29	CNR20001127.1700.0075-E5-10
EM30	CNR20001127.1700.0075-E14-11
EM32	CNR20001127.1700.0075-E6-12
EM33	CNR20001127.1700.0075-E6-13
EM34	CNR20001127.1700.0075-E14-14
EM37	CNR20001127.1700.0075-E14-15
EM4	CNR20001127.1700.0075-E8-16
EM16	CNR20001127.1700.0075-E10-17
EM28	CNR20001127.1700.0075-E19-18
EM31	CNR20001127.1700.0075-E14-19
EM35	CNR20001127.1700.0075-E14-20
EM36	CNR20001127.1700.0075-E14-21
EM2	CNR20001127.1700.0075-E12-22
EM38	CNR20001127.1700.0075-E13-23
EM3	CNR20001127.1700.0075-E12-24
EM6	CNR20001127.1700.0075-E12-25
EM39	CNR20001127.1700.0075-E14-26
EM40	CNR20001127.1700.0075-E14-27
EM7	CNR20001127.1700.0075-E14-28
EM9	CNR20001127.1700.0075-E14-29
EM8	CNR20001127.1700.0075-E15-30
EM10	CNR20001127.1700.0075-E16-31
EM41	CNR20001127.1700.0075-E7-32
EM13	CNR20001127.1700.0075-E16-33
EM11	CNR20001127.1700.0075-E17-34
EM12	CNR20001127.1700.0075-E18-35
EM5	CNR20001127.1700.0075-E19-36
EM14	CNR20001127.1700.0075-E14-37
EM15	CNR20001127.1700.0075-E14-38
EM17	CNR20001127.1700.0075-E9-39
EM20	CNR20001127.1700.0075-E14-40
R2	CNR20001127.1700.0075-R1
R1	CNR20001127.1700.0075-R2
R4	CNR20001127.1700.0075-R3
R3	CNR20001127.1700.0075-R4
RM2	CNR20001127.1700.0075-R1-1
RM1	CNR20001127.1700.0075-R2-1
RM4	CNR20001127.1700.0075-R3-1
RM3	CNR20001127.1700.0075-R4-1
Q3	CNR20001127.1700.0075-T1
Q1	CNR20001127.1700.0075-T2
Q2	CNR20001127.1700.0075-T3
Q5	CNR20001127.1700.0075-T4
Q4	CNR20001127.1700.0075-T5
Q6	CNR20001127.1700.0075-T6
Q8	CNR20001127.1700.0075-T7
Q7	CNR20001127.1700.0075-T8
Q9	CNR20001127.1700.0075-T9
